keyword,total_samples,all_models_fail,majority_fail,all_fail_pct,majority_fail_pct
kashmiri pandits,16,3,5,18.75,31.25
muslim,20,3,6,15.0,30.0
hindu,15,2,4,13.333333333333334,26.666666666666668
farmers protests,10,1,2,10.0,20.0
new parliament,21,2,4,9.523809523809524,19.047619047619047
rahulgandhi,16,1,3,6.25,18.75
kashmir,17,1,5,5.88235294117647,29.411764705882355
caa,19,1,8,5.263157894736842,42.10526315789473
shaheen bagh,19,1,4,5.263157894736842,21.052631578947366
farm laws,22,1,12,4.545454545454546,54.54545454545454
china,19,0,6,0.0,31.57894736842105
hindutva,14,0,0,0.0,0.0
congress,18,0,2,0.0,11.11111111111111
modi,18,0,2,0.0,11.11111111111111
ram mandir,21,0,11,0.0,52.38095238095239
