keyword,bert,roberta,pyabsa,mistral_base,mistral_fewshot,mistral_lora
caa,0.3157894736842105,0.5789473684210527,0.5263157894736842,0.42105263157894735,0.5263157894736842,0.8947368421052632
china,0.5263157894736842,0.5263157894736842,0.631578947368421,0.6842105263157895,0.7894736842105263,0.7368421052631579
congress,0.5,0.5555555555555556,0.5,0.8888888888888888,0.8888888888888888,0.8888888888888888
farm laws,0.45454545454545453,0.36363636363636365,0.3181818181818182,0.36363636363636365,0.45454545454545453,0.7272727272727273
farmers protests,0.5,0.5,0.5,0.7,0.7,0.8
hindu,0.6666666666666666,0.6666666666666666,0.4666666666666667,0.2857142857142857,0.2,0.6666666666666666
hindutva,0.7142857142857143,0.7857142857142857,0.6428571428571429,0.5714285714285714,0.6428571428571429,0.8571428571428571
kashmir,0.6470588235294118,0.47058823529411764,0.5294117647058824,0.47058823529411764,0.5294117647058824,0.5882352941176471
kashmiri pandits,0.6875,0.6875,0.75,0.3125,0.375,0.625
modi,0.7777777777777778,0.8333333333333334,0.5555555555555556,0.8333333333333334,0.8888888888888888,0.9444444444444444
muslim,0.4,0.4,0.5,0.55,0.631578947368421,0.7894736842105263
new parliament,0.47619047619047616,0.6190476190476191,0.5714285714285714,0.7368421052631579,0.8095238095238095,0.8571428571428571
rahulgandhi,0.625,0.625,0.8125,0.6428571428571429,0.6875,0.8125
ram mandir,0.5238095238095238,0.5238095238095238,0.38095238095238093,0.5555555555555556,0.6190476190476191,0.7142857142857143
shaheen bagh,0.5789473684210527,0.5789473684210527,0.5263157894736842,0.5882352941176471,0.631578947368421,0.7894736842105263
