original_author,polarity_avg,label_0_5
1stIndiaNews,-0.5300831636269202,Pro OPP
23pradeepsingh,0.9849411231884058,Pro Ruling
30guptavivek,-0.9810397646219285,Pro OPP
AAI_Official,0.49746071812237574,Neutral
AAPExpress,-0.9812159374607196,Pro OPP
AAPKA_RK,-0.9886235399646988,Pro OPP
ABPNews,-0.30574942965246266,Neutral
AHindinews,0.46126809051419676,Neutral
AIRNewsHindi,0.8500429444749831,Pro Ruling
AMISHDEVGAN,0.8952344283130227,Pro Ruling
AMIT_GUJJU,0.9448314082887281,Pro Ruling
ANI,0.3459398569949808,Neutral
ANILGALGALIRTI,8.752374882209368e-05,Neutral
ANINewsUP,0.6312242901112776,Pro Ruling
ARanganathan72,0.9110653456544365,Pro Ruling
Aabhas24,0.9656856913250261,Pro Ruling
AadeshRawal,-0.9764895066631498,Pro OPP
AartiTikoo,0.9335248847624595,Pro Ruling
Abhina_Prakash,0.8433982590560509,Pro Ruling
Abhinav_Pan,-0.8633736264506913,Pro OPP
AbhishBanerj,0.9520284169199162,Pro Ruling
AbpGanga,-0.06500042095486143,Neutral
AchryConfucious,-0.9865771812080537,Pro OPP
AdalatLive,0.9934640522875817,Pro Ruling
AdityaMenon22,-0.9571255960973695,Pro OPP
AdityaRajKaul,0.8439422136778374,Pro Ruling
Advaidism,-0.9382820468182012,Pro OPP
AdvaitaKala,0.7669283994864979,Pro Ruling
AgriGoI,0.926232061073984,Pro Ruling
Ajaykumar00009,-0.9886430365373596,Pro OPP
AjeetBhartii,0.9244505494505495,Pro Ruling
AjiHaaan,0.9914135647901882,Pro Ruling
AkashvaniAIR,0.9208385711832762,Pro Ruling
Akhilesh_parody,-0.9916338840807762,Pro OPP
AlokTiwari9335,0.8679424130567078,Pro Ruling
AltNewsHindi,-0.9879690565440349,Pro OPP
AmanChopra_,0.9047309696912559,Pro Ruling
AmanKayamHai_,0.7691228366510046,Pro Ruling
AmanWadud,-0.9950980392156863,Pro OPP
AmarUjalaNews,-0.10278076802675457,Neutral
AmdavadAMC,0.9759714407836295,Pro Ruling
AmitShahOffice,0.9661656415243935,Pro Ruling
Amitjanhit,-0.9892598552571352,Pro OPP
Anand_Dasa88,-0.9977456212370006,Pro OPP
Aneela_7,-0.9946942645605116,Pro OPP
AninBanerjee,0.8285714285714285,Pro Ruling
AnumaVidisha,-0.9699823009960694,Pro OPP
AnupamPKher,0.8976592788286202,Pro Ruling
AnupamkPandey,0.9436244362443624,Pro Ruling
Anurag_Dwary,-0.9484504541630396,Pro OPP
AparBharat,0.8915348330682986,Pro Ruling
Arun2981,-0.9702533426340263,Pro OPP
ArunAnandLive,1.0,Pro Ruling
ArvinderSoin,-0.00891100590525959,Neutral
AsYouNotWish,0.9671173437816484,Pro Ruling
AshishSinghLIVE,-0.7974758160399679,Pro OPP
AshokShrivasta6,0.9788891592733365,Pro Ruling
Ashok_Kashmir,-0.9657657401382762,Pro OPP
AshrafFem,-0.9651871307614882,Pro OPP
AshwiniBhide,0.3993362193362193,Neutral
AshwiniUpadhyay,0.9714348601249911,Pro Ruling
AskAnshul,0.972355224308008,Pro Ruling
Asthakaushik05,0.8684339757316203,Pro Ruling
AudaciousQuest_,-0.9967339539537232,Pro OPP
AvdheshanandG,0.8512115432982751,Pro Ruling
AwanishSharan,-0.004275861806882546,Neutral
BASFOriginal,-1.0,Pro OPP
BBCHindi,-0.8935210685689086,Pro OPP
BBTheorist,0.9092949867491524,Pro Ruling
BDUTT,-0.8778920476218557,Pro OPP
BSEIndia,0.7502673796791444,Pro Ruling
BabelePiyush,-0.9984964772820557,Pro OPP
BabitaPhogat,0.8252168958392194,Pro Ruling
BajrangPunia,-0.003936482255394946,Neutral
BattaKashmiri,0.9681187485728153,Pro Ruling
BefittingFacts,0.8670577742009464,Pro Ruling
BeingSalmanKhan,-0.27254024783249703,Neutral
Being_Humor,0.9740015140051568,Pro Ruling
Benarasiyaa,-0.9017501548382201,Pro OPP
BesuraTaansane,0.9839237008157673,Pro Ruling
BhagwaanUvacha,0.967948717948718,Pro Ruling
Bhairavi_Jani,0.20427744425385935,Neutral
BharadwajSpeaks,0.9322466695033567,Pro Ruling
Bharat24Liv,0.4976994666945519,Neutral
BhavikaKapoor5,-0.9955886143975453,Pro OPP
Bhimarmy_BEM,-0.9393669985775249,Pro OPP
BhootSantosh,-0.989631988880936,Pro OPP
BiharTakChannel,-0.31590465986933397,Neutral
BloodDonorsIn,0.019328113115559237,Neutral
BloomsburyIndia,0.6027777777777777,Pro Ruling
BoltaHindustan,-0.9647172155623884,Pro OPP
BramhRakshas,-0.9905895900013908,Pro OPP
BrutIndia,-0.7901836962233404,Pro OPP
ByRakeshSimha,0.9586573030290065,Pro Ruling
CMMadhyaPradesh,0.5180385729836534,Pro Ruling
CMOGuj,0.9705278988258512,Pro Ruling
CMOMaharashtra,-0.14875039921264735,Neutral
CMOfficeUP,0.9201018471017091,Pro Ruling
CMofKarnataka,0.4931663446708612,Neutral
CNBCTV18News,0.10645252698950075,Neutral
CNNnews18,0.13051764849725755,Neutral
COVIDNewsByMIB,0.957975485384867,Pro Ruling
CPMumbaiPolice,-0.5433516884282749,Pro OPP
CestMoiz,0.9045715173287253,Pro Ruling
Chatterj1Asking,0.9524272837965395,Pro Ruling
Chellaney,0.18262131305141555,Neutral
ChhattisgarhCMO,-0.9936091164682849,Pro OPP
ChiefSecyUP,0.7818448805232946,Pro Ruling
ChitnisPurva,-0.9653527223949759,Pro OPP
Cryptic_Miind,-0.9583610093143992,Pro OPP
DCDeoghar,-0.9356957845899866,Pro OPP
DC_Hazaribag,-0.9199217794603965,Pro OPP
DC_Ranchi,-0.9207303076014954,Pro OPP
DChaurasia2312,0.9514243355377898,Pro Ruling
DDIndialive,0.9479305061945726,Pro Ruling
DDNational,0.889806447267723,Pro Ruling
DDNewsChennai,0.9675790207467929,Pro Ruling
DDNewsGujarati,0.9648264731303328,Pro Ruling
DDNewsHindi,0.9722191507841864,Pro Ruling
DDNewslive,0.9321218067519075,Pro Ruling
DDUttarPradesh,0.787577274389415,Pro Ruling
DGPMaharashtra,-0.40495974812689306,Neutral
DG_PIB,0.9583766439191937,Pro Ruling
DIPR_UK,0.9914786967418546,Pro Ruling
DRDO_India,0.9145328261728541,Pro Ruling
DaaruBaazMehta,-0.9804384760860189,Pro OPP
DainikBhaskar,-0.5797246986428318,Pro OPP
DeccanHerald,-0.552305291442416,Pro OPP
DeekshaNRaut,-0.9811889177454804,Pro OPP
DeepakSEditor,-0.9317372812860575,Pro OPP
DeepikaBhardwaj,0.6081529529867209,Pro Ruling
DeepikaSRajawat,-0.9789622684336058,Pro OPP
DefenceMinIndia,0.976091630221605,Pro Ruling
DelhiPolice,0.5239894335997183,Pro Ruling
DesiStupides,-0.9823484002655034,Pro OPP
Dharmendra_Lko,0.8506883647474851,Pro Ruling
DilliDurAst,-0.9581307422937789,Pro OPP
Dilsedesh,-0.9940592318491591,Pro OPP
DineshKumarLive,-0.6168883971885486,Pro OPP
DivyaSoti,0.9533701713301614,Pro Ruling
DoJ_India,0.9960079840319361,Pro Ruling
DrDatta01,-0.9728147905043212,Pro OPP
DrNehalVaidya,-0.9239145832297828,Pro OPP
DrVijayChormare,-0.9907149489322191,Pro OPP
DuttYogi,0.9208279841826985,Pro Ruling
ETNOWlive,0.4135431450864779,Neutral
EastMojo,-0.2522829571105635,Neutral
EconomicTimes,0.0017803346541130707,Neutral
EduMinOfIndia,0.9272459956816235,Pro Ruling
ErikSolheim,0.3984774877471321,Neutral
ExSecular,0.9504136763604104,Pro Ruling
FarahKhanAli,-0.9794871794871794,Pro OPP
FinMinIndia,0.9847461226511316,Pro Ruling
FinancialXpress,0.04709558883306505,Neutral
FitBharat,0.9140427732014226,Pro Ruling
FltLtAnoopVerma,0.9411895348062879,Pro Ruling
FollowCII,0.7695223576690746,Pro Ruling
FrustIndian,0.9548121284920135,Pro Ruling
Gabbar0099,-0.9315861315861316,Pro OPP
GabbbarSingh,0.5316975976199241,Pro Ruling
Gajjusay,0.925910864678845,Pro Ruling
GaonConnection,-0.5343893371767113,Pro OPP
GaurangBhardwa1,0.8161380857014643,Pro Ruling
Geeta_Mohan,-0.13408875978927293,Neutral
GemsOfBollywood,0.9765405066372088,Pro Ruling
GoI_MeitY,0.9453622236445904,Pro Ruling
GorakhnathMndr,0.9107439600463165,Pro Ruling
Gujju_Er,0.9551222719030938,Pro Ruling
HMOIndia,0.9497366162727411,Pro Ruling
HTMumbai,-0.6748987854251012,Pro OPP
HansrajMeena,-0.9588220200972215,Pro OPP
HarshadaSwakul,-0.9932432432432432,Pro OPP
HashTagCricket,0.9400755858003988,Pro Ruling
HemanNamo,0.9748797245565113,Pro Ruling
HeritageTimesIN,-0.975,Pro OPP
HinduEcosystem_,0.9448996594862036,Pro Ruling
HinduITCell,0.9834351327768469,Pro Ruling
HindustaniTweet,0.9839958925588848,Pro Ruling
HistoryCell,-0.9800258557941965,Pro OPP
IAF_MCC,0.8195513319948161,Pro Ruling
IASassociation,0.2255800792303339,Neutral
IAbhay_Pratap,0.9802335961453169,Pro Ruling
IBC24News,-0.43642484176641716,Neutral
IFazilaBaloch,0.9304605248879563,Pro Ruling
IMinakshiJoshi,0.8147004858664519,Pro Ruling
INCTharoorian,-0.9992469879518072,Pro OPP
IPRD_Bihar,0.8616857873513328,Pro Ruling
ITBP_official,0.8874160811365165,Pro Ruling
IamNaveenKapoor,0.7092749058965593,Pro Ruling
IasAlok,0.7711397058823529,Pro Ruling
ImRaina,0.4659903315198566,Neutral
IncomeTaxIndia,0.9355273378726985,Pro Ruling
IndiaAheadNews,0.009764191414848133,Neutral
IndiaHistorypic,0.010622175440932703,Neutral
IndiaNewsUP_UK,0.47472848788638267,Neutral
IndiaSports,0.9458056478405316,Pro Ruling
IndiaTVHindi,0.3663744645078419,Neutral
IndiaToday,-0.3993015645794783,Neutral
Indiametdept,0.6620290643702389,Pro Ruling
IndianExpress,-0.5544949359634808,Pro OPP
IndianFootball,-0.039338316670868845,Neutral
IndianSinghh,0.9510683525746747,Pro Ruling
IndianTechGuide,0.8443774733637747,Pro Ruling
IndiasMuslims,-1.0,Pro OPP
InfoDeptUP,0.9594092830590688,Pro Ruling
InfoDivPune,-0.2976355058152293,Neutral
InfoNashik,-0.26900235538679473,Neutral
InfoVidarbha,-0.18217988907644084,Neutral
Info_Pune,-0.11650249800509735,Neutral
Interceptors,0.44551830662917613,Neutral
