original_author,year,opposition,other,ruling,polarity_yearly
1stIndiaNews,2020.0,3517,107,853,-0.6096109839816933
1stIndiaNews,2021.0,4831,1437,1159,-0.6130217028380635
1stIndiaNews,2022.0,3954,2040,1356,-0.48926553672316386
1stIndiaNews,2023.0,1219,555,512,-0.40843443096476023
23pradeepsingh,2020.0,1,3,63,0.96875
23pradeepsingh,2021.0,1,4,68,0.9710144927536232
23pradeepsingh,2022.0,0,1,130,1.0
23pradeepsingh,2023.0,0,1,47,1.0
30guptavivek,2020.0,628,21,8,-0.9748427672955975
30guptavivek,2021.0,746,44,11,-0.9709379128137384
30guptavivek,2022.0,183,9,2,-0.9783783783783784
30guptavivek,2023.0,8,1,0,-1.0
AAI_Official,2020.0,23,6,219,0.8099173553719008
AAI_Official,2021.0,54,21,337,0.7237851662404092
AAI_Official,2022.0,81,50,147,0.2894736842105263
AAI_Official,2023.0,15,1,21,0.16666666666666666
AAPExpress,2020.0,1525,16,4,-0.9947678221059516
AAPExpress,2021.0,1796,11,39,-0.9574931880108992
AAPExpress,2022.0,504,49,7,-0.9726027397260274
AAPExpress,2023.0,17,0,0,-1.0
AAPKA_RK,2020.0,196,3,3,-0.9698492462311558
AAPKA_RK,2021.0,517,10,4,-0.9846449136276392
AAPKA_RK,2022.0,456,26,0,-1.0
AAPKA_RK,2023.0,54,5,0,-1.0
ABPNews,2020.0,3714,403,2634,-0.17013232514177692
ABPNews,2021.0,3359,556,1822,-0.2966608762787107
ABPNews,2022.0,2559,462,1618,-0.2252813023701221
ABPNews,2023.0,2562,338,785,-0.5309232148192411
AHindinews,2020.0,843,189,1882,0.38128440366972477
AHindinews,2021.0,1970,817,5339,0.4609385688876727
AHindinews,2022.0,1801,1873,5687,0.5189636752136753
AHindinews,2023.0,1129,828,3246,0.4838857142857143
AIRNewsHindi,2020.0,39,22,270,0.7475728155339806
AIRNewsHindi,2021.0,33,37,423,0.8552631578947368
AIRNewsHindi,2022.0,11,34,474,0.954639175257732
AIRNewsHindi,2023.0,7,14,82,0.8426966292134831
AMISHDEVGAN,2020.0,200,74,1747,0.7945557267591166
AMISHDEVGAN,2021.0,133,146,2782,0.9087478559176673
AMISHDEVGAN,2022.0,81,203,2299,0.9319327731092437
AMISHDEVGAN,2023.0,12,39,430,0.9457013574660633
AMIT_GUJJU,2020.0,10,54,487,0.959758551307847
AMIT_GUJJU,2021.0,17,85,1030,0.9675262655205349
AMIT_GUJJU,2022.0,39,81,689,0.8928571428571429
AMIT_GUJJU,2023.0,3,10,144,0.9591836734693877
ANI,2020.0,9731,1656,20290,0.35172046234302656
ANI,2021.0,15669,3930,35477,0.38728346302741173
ANI,2022.0,13827,4227,33181,0.41171715452688906
ANI,2023.0,5850,2110,9405,0.23303834808259588
ANILGALGALIRTI,2020.0,123,121,146,0.08550185873605948
ANILGALGALIRTI,2021.0,153,213,112,-0.15471698113207547
ANILGALGALIRTI,2022.0,114,50,171,0.2
ANILGALGALIRTI,2023.0,65,7,50,-0.13043478260869565
ANINewsUP,2020.0,360,71,1168,0.5287958115183246
ANINewsUP,2021.0,715,283,2291,0.5242847638057219
ANINewsUP,2022.0,281,159,2376,0.7884832517877305
ANINewsUP,2023.0,38,29,202,0.6833333333333333
ARanganathan72,2020.0,67,57,1444,0.9113170086035738
ARanganathan72,2021.0,120,220,3573,0.9350121852152722
ARanganathan72,2022.0,201,598,8286,0.952633439377872
ARanganathan72,2023.0,167,220,1992,0.8452987494210282
Aabhas24,2020.0,9,3,179,0.9042553191489362
Aabhas24,2021.0,5,17,330,0.9701492537313433
Aabhas24,2022.0,2,22,341,0.9883381924198251
Aabhas24,2023.0,0,6,56,1.0
AadeshRawal,2020.0,6248,605,40,-0.9872773536895675
AadeshRawal,2021.0,23800,3255,353,-0.9707696766447232
AadeshRawal,2022.0,21749,3269,346,-0.9686806969902693
AadeshRawal,2023.0,3240,737,34,-0.9792302993280391
AartiTikoo,2020.0,31,18,492,0.8814531548757171
AartiTikoo,2021.0,19,19,680,0.9456366237482118
AartiTikoo,2022.0,9,33,336,0.9478260869565217
AartiTikoo,2023.0,1,3,48,0.9591836734693877
Abhina_Prakash,2020.0,7,11,629,0.9779874213836478
Abhina_Prakash,2021.0,62,92,1750,0.9315673289183223
Abhina_Prakash,2022.0,75,164,1054,0.8671390611160319
Abhina_Prakash,2023.0,26,18,103,0.5968992248062015
Abhinav_Pan,2020.0,69,4,9,-0.7692307692307693
Abhinav_Pan,2021.0,11139,1200,586,-0.900042643923241
Abhinav_Pan,2022.0,2110,576,174,-0.8476357267950964
Abhinav_Pan,2023.0,397,130,13,-0.9365853658536586
AbhishBanerj,2020.0,32,20,520,0.8840579710144928
AbhishBanerj,2021.0,33,79,2178,0.9701492537313433
AbhishBanerj,2022.0,4,52,1891,0.995778364116095
AbhishBanerj,2023.0,17,15,795,0.958128078817734
AbpGanga,2020.0,34,4,42,0.10526315789473684
AbpGanga,2021.0,293,43,159,-0.29646017699115046
AbpGanga,2022.0,149,18,194,0.13119533527696792
AbpGanga,2023.0,48,13,32,-0.2
