Aspect,Rank,Total_Tweets,Pro_Ruling_Count,Pro_Ruling_Pct,Pro_Opp_Count,Pro_Opp_Pct,Percentile,In_Top_10_Pct,Source
congress,3,93534,24833,26.55,44260,47.32,100.0,Yes,Primary
rahulgandhi,8,40095,3416,8.52,34934,87.13,99.99,Yes,Primary
china,23,22078,8877,40.21,8341,37.78,99.98,Yes,Primary
hindu,24,21438,15428,71.97,4984,23.25,99.98,Yes,Primary
kashmir,28,19770,12194,61.68,3886,19.66,99.97,Yes,Primary
muslim,44,14487,6794,46.9,6661,45.98,99.95,Yes,Primary
democracy,50,12763,4609,36.12,6772,53.06,99.95,Yes,Primary
ayodhya,160,5912,4146,70.13,932,15.78,99.83,Yes,Primary
unemployment,246,4296,521,12.13,3233,75.26,99.75,Yes,Primary
hindutva,263,4094,1730,42.26,1951,47.66,99.73,Yes,Primary
farm_laws,320,3573,1117,31.26,2456,68.74,99.67,Yes,Fallback
inflation,336,3431,967,28.21,1679,48.94,99.65,Yes,Primary
mahotsav,424,2854,2758,96.64,57,2.03,99.56,Yes,Primary
islamists,614,2085,2018,96.79,12,0.58,99.36,Yes,Primary
lynching,743,1775,1208,68.06,449,25.35,99.23,Yes,Primary
ram_mandir,823,1615,1337,82.79,278,17.21,99.15,Yes,Fallback
minorities,824,1614,640,39.71,776,48.08,99.15,Yes,Primary
hathras,942,1457,343,23.61,982,67.4,99.02,Yes,Primary
caa,951,1442,727,50.42,474,32.94,99.01,Yes,Primary
shaheen_bagh,976,1414,891,63.01,523,36.99,98.99,Yes,Fallback
bhakts,1023,1359,139,10.3,1197,88.08,98.94,Yes,Primary
spyware,1075,1314,98,7.46,1109,84.47,98.89,Yes,Primary
farmers_protests,1282,1114,286,25.67,828,74.33,98.67,Yes,Fallback
gdp,1452,994,244,24.55,678,68.21,98.49,Yes,Primary
kashmiri_pandits,1484,973,650,66.8,323,33.2,98.46,Yes,Fallback
balochistan,1500,957,919,96.03,8,0.94,98.45,Yes,Primary
new_parliament,1565,910,674,74.07,236,25.93,98.38,Yes,Fallback
aatmanirbhar,1617,883,780,88.34,43,4.87,98.32,Yes,Primary
modi,1846,768,201,26.3,561,73.05,98.09,Yes,Primary
msp,1904,741,516,69.64,141,19.16,98.03,Yes,Primary
dictatorship,2273,617,100,16.21,409,66.29,97.64,Yes,Primary
sharia,2323,605,572,94.55,17,2.81,97.59,Yes,Primary
demonetisation,2522,555,57,10.45,420,75.68,97.39,Yes,Primary
suicides,2760,504,86,17.26,381,75.6,97.14,Yes,Primary
sangh,4184,300,219,73.33,78,26.0,95.66,Yes,Primary
