keyword,count
india,80623
congress,44257
rahulgandhi,34933
farmers,31007
delhi,21888
indian,18028
protest,14958
minister,14952
media,13709
oxygen,11736
government,10388
police,10163
elections,9304
gujarat,8648
election,8643
china,8341
tweet,7978
leader,7926
mumbai,7435
maharashtra,7230
pradesh,7032
yatra,6996
govt,6926
vaccine,6855
court,6783
democracy,6772
muslim,6661
coronavirus,6564
video,6536
gandhi,6314
pandemic,6230
arrested,6160
birthday,6099
leaders,6033
muslims,5707
hyderabad,5458
party,5441
president,5049
mr,5049
rss,5037
narendramodi,5022
workers,4993
journalists,4993
hindu,4984
ktrtrs,4879
opposition,4802
indians,4800
tweets,4739
lockdown,4716
women,4656
shah,4497
justice,4376
hate,4356
goswami,4334
parliament,4280
vaccination,4252
protesting,4200
protests,4140
vaccines,4117
journalist,4024
politics,3985
kashmir,3887
meeting,3886
singh,3883
whatsapp,3865
rally,3830
amp,3712
farm,3710
hospital,3697
haryana,3695
deaths,3684
fake,3657
2021,3612
breaking,3587
2022,3569
narendra,3568
jail,3546
chinese,3541
arrest,3481
did,3439
died,3419
now,3411
thewire_in,3302
unemployment,3233
farmer,3195
journalism,3102
sonia,3062
not,3057
bail,3045
wave,3042
ministers,3037
2020,3015
killed,3014
never,2977
this,2958
students,2958
vote,2934
watch,2922
speech,2876
tv,2873
assam,2872
happy,2862
cartoon,2848
trump,2824
family,2822
scam,2816
political,2809
dead,2764
cases,2749
petrol,2735
who,2726
tax,2692
priyankagandhi,2689
power,2676
pakistan,2660
virus,2624
rape,2622
propaganda,2618
leadership,2618
price,2613
day,2609
resign,2605
cell,2602
news,2583
you,2574
new,2570
join,2550
corruption,2535
khan,2535
dr,2527
economy,2524
back,2505
office,2494
flag,2482
channels,2445
free,2441
union,2391
priyanka,2375
committee,2361
high,2333
seats,2325
bengal,2324
team,2302
down,2260
tamil,2249
chief,2249
covid,2233
will,2231
accused,2220
soldiers,2219
death,2219
bharat,2214
facebook,2214
health,2185
violence,2180
assembly,2180
congratulations,2167
yogi,2156
crisis,2150
army,2143
twitter,2125
bhai,2091
chhattisgarh,2055
morning,2016
hindus,1994
ndtv,1992
meet,1983
anniversary,1954
hindutva,1951
boycott,1948
tomorrow,1946
covid19,1931
press,1928
good,1923
failed,1916
attack,1915
why,1899
shame,1897
hospitals,1890
cabinet,1889
tractor,1875
should,1867
account,1858
security,1857
supreme,1855
time,1852
change,1845
state,1845
budget,1836
thackeray,1836
is,1830
stop,1825
constitution,1811
support,1786
pay,1786
shashitharoor,1783
no,1782
migrant,1780
riots,1778
fuel,1777
conference,1776
recovery,1772
old,1769
today,1760
fight,1746
thank,1746
lies,1729
detained,1724
stay,1721
poor,1719
channel,1714
growth,1711
border,1691
judge,1686
bank,1682
suicide,1679
inflation,1679
secretary,1675
he,1667
airport,1664
schools,1660
up,1659
our,1655
raise,1653
train,1642
save,1635
safe,1622
country,1619
suspended,1609
tweeted,1595
murder,1594
prime,1588
bollywood,1588
indiatoday,1584
goa,1579
doctors,1579
silence,1578
kya,1565
speaking,1563
politician,1556
every,1540
senior,1539
polls,1534
paid,1526
100,1521
politicians,1520
mishra,1515
joins,1505
thread,1504
mask,1499
hypocrisy,1499
best,1497
shortage,1496
campaign,1490
us,1488
judiciary,1479
corona,1469
cost,1467
taliban,1460
love,1460
if,1456
fear,1455
worst,1451
lost,1432
jobs,1431
governor,1421
fire,1415
last,1413
beds,1411
condolences,1409
your,1406
scared,1405
reaches,1405
rate,1385
wing,1374
temple,1366
officer,1362
ventilators,1347
case,1346
real,1346
we,1337
teachers,1333
2024,1332
bills,1331
complaint,1328
biggest,1326
migrants,1326
ukraine,1324
silent,1315
kcr,1310
threat,1300
voters,1298
difference,1295
prices,1294
deleted,1285
water,1281
nothing,1277
candidate,1274
would,1271
shameful,1266
vaccinated,1265
youth,1263
republic,1263
gas,1262
diesel,1260
hope,1260
trust,1255
keep,1255
electoral,1251
both,1246
hai,1244
only,1237
money,1235
bangladesh,1234
independence,1230
father,1229
better,1228
trolls,1218
future,1218
didn,1217
fraud,1217
phone,1209
hours,1203
agriculture,1201
meets,1200
terrorists,1199
credit,1199
bhakts,1197
rallies,1190
hijab,1185
bed,1183
nation,1178
god,1178
chandigarh,1174
disaster,1173
corrupt,1168
crime,1168
resignation,1167
judges,1165
electricity,1165
worker,1162
raped,1158
bjp,1156
waiting,1155
pmoindia,1155
children,1153
freedom,1153
zero,1145
voice,1139
terrorist,1127
mamata,1126
she,1124
interview,1124
governance,1121
cow,1121
railway,1119
onreality_check,1119
burning,1118
harassment,1114
next,1114
gate,1110
spyware,1110
yadavtejashwi,1108
patients,1106
heart,1105
youtube,1103
pawankhera,1102
black,1098
incompetent,1094
mother,1091
apologise,1090
twitterindia,1087
wrestlers,1085
buses,1082
nationalism,1080
increased,1080
allegations,1079
officers,1076
one,1068
dying,1068
volunteers,1067
national,1066
anchors,1064
home,1062
bridge,1062
with,1060
attacked,1058
data,1058
states,1056
commission,1055
mumbaipolice,1053
plasma,1048
cops,1047
blood,1045
banned,1039
exams,1037
manmohan,1036
app,1036
the,1036
crowd,1036
retweet,1033
blame,1028
cricket,1023
wife,1023
million,1021
charge,1015
trending,1015
tamilnadu,1014
poverty,1014
delhipolice,1014
kangana,1013
food,1010
videos,1008
destroyed,1008
job,1006
coal,1006
activists,1003
protesters,997
candidates,996
tweeting,996
resigned,996
strength,994
out,994
strike,993
zoo_bear,989
still,987
pilot,985
victim,984
hathras,982
yadav,981
name,977
private,969
removed,968
leave,968
roads,963
quit,963
anchor,960
pchidambaram_in,960
test,956
kisan,952
residence,951
charges,949
hindi,948
house,946
hunger,945
punjabi,944
patient,942
hashtag,939
headquarters,938
highest,937
path,935
jharkhand,933
bhagwantmann,933
ayodhya,933
low,931
banks,924
voting,907
hello,905
emergency,904
religious,900
conspiracy,899
life,898
apology,896
worse,894
criminal,893
left,893
mrs,892
bus,889
afghanistan,888
democratic,888
supriyashrinate,884
faith,880
manipur,876
pain,874
proud,874
protestors,873
tested,872
shut,871
girl,869
newindianxpress,868
pm,866
irani,864
face,864
prasad,862
card,861
elected,861
long,856
families,855
days,852
testing,848
visit,847
bhushan,847
toolkit,846
dkshivakumar,844
parties,838
mosque,837
activist,835
kharge,834
year,834
raghav_chadha,830
shameless,830
ashokgehlot51,829
record,829
beaten,828
share,827
win,827
tests,826
jihad,826
saffron,823
fascism,823
march,823
woman,822
won,820
monsoon,820
appointed,819
less,816
curfew,816
roadshow,815
courts,815
river,815
rains,815
fighting,811
may,810
education,807
ke,806
joined,805
his,805
don,804
warning,804
funds,803
neither,801
spin,794
lie,791
mein,789
month,785
arnab,784
always,781
daughter,781
truth,781
votes,779
refused,779
release,778
needs,777
road,776
minorities,776
bjp4india,773
ram,773
supporters,772
stadium,770
it,768
murdered,767
taxes,767
coward,762
aap,762
poll,762
positivity,760
where,759
hero,758
recovered,758
under,756
russia,756
week,755
friends,755
model,749
without,749
panchayat,748
night,747
delete,747
attacks,746
actor,745
hockey,742
fought,740
award,740
worth,740
israel,737
commissioner,735
of,732
live,732
peace,731
ambani,730
altnews,728
trains,727
religion,727
just,726
fir,725
pray,719
mcd,719
vs,717
work,716
alliance,715
accounts,715
dalit,714
man,714
law,713
pmo,713
campaigning,713
foundation,712
chairman,710
defeat,710
solidarity,707
masks,706
viral,706
loss,705
ban,705
failure,704
debt,703
pic,700
make,699
read,699
lapdog,696
courage,696
listen,693
remember,692
exam,692
celebrations,692
fascist,690
respect,690
statue,688
can,688
coming,685
ambulance,684
celebrate,683
starts,682
debates,682
prayers,682
hatred,682
months,682
chandrashekar,681
gdp,678
khalid,678
boot,676
empathy,676
reporters,675
photo,675
incindia,674
numbers,674
yoga,672
king,672
employment,671
conversation,669
constituency,667
done,666
student,666
instagram,665
disqualification,665
drug,664
closed,664
voted,663
celebrities,663
misinformation,662
picture,662
pressure,660
kumar,660
nahi,660
rapists,659
hand,659
largest,658
safety,658
mamataofficial,656
late,656
sit,656
oil,656
demand,655
break,655
phase,654
drugs,654
cut,652
leaked,651
debate,651
oh,645
delay,645
killing,645
here,644
pollution,644
troops,643
certificate,643
retired,642
run,640
ventilator,639
sikh,639
exit,638
diwali,637
hearing,636
himachal,635
protect,635
vision,634
covaxin,634
doctor,633
go,632
tribute,632
missing,630
raids,629
bill,629
dangerous,628
lakhs,628
call,627
ne,625
ghar,625
him,624
ambedkar,622
sir,622
gold,622
parliamentary,621
first,621
cash,621
demolition,621
sacked,620
meetings,620
detention,619
teleprompter,618
brother,618
labour,616
soon,616
years,615
custody,615
governments,613
patriotism,613
war,613
defamation,613
himself,613
govts,612
sitting,612
wire,609
mohammed,609
bangalore,608
british,608
members,607
compensation,606
bench,606
changed,606
richest,606
liberals,605
spine,605
flags,605
criminals,604
secular,603
cylinder,603
contempt,603
ji,602
pics,601
against,601
lawyers,599
tribal,599
hemantsorenjmm,598
camera,598
citizens,598
system,597
judicial,597
quarantine,597
liquor,595
sister,594
sri,594
ghaziabad,594
session,593
joke,593
lowest,592
blind,592
donate,591
threatened,591
shahrukh,589
flight,584
digital,584
unemployed,584
employees,584
for,583
my,583
tractors,582
boss,582
nobody,582
trolling,581
wishes,581
big,581
driver,581
sleep,580
start,578
jairam_ramesh,576
mob,576
terror,576
cartoons,575
terrorism,574
lying,574
swamy,574
pregnant,573
thanks,573
secularism,573
delegation,573
bring,572
suspend,572
infrastructure,571
france,570
troll,569
deep,569
millions,568
increase,568
leaves,567
incompetence,567
phones,567
celebrating,567
timesnow,566
school,566
blaming,565
drive,565
threats,564
appeal,564
repealed,564
double,563
abuse,562
evidence,562
modi,561
broke,561
genocide,560
bonds,560
parade,560
petition,560
sedition,560
all,559
in,559
suffering,558
strong,557
me,557
pakistani,556
forces,556
constitutional,555
gone,555
ignore,554
running,554
pbhushan1,554
gaye,552
editor,551
income,551
central,550
virtual,550
control,550
blocked,549
level,549
deputy,548
kiba,547
ministry,547
weak,546
apne,545
ready,545
crowds,543
liar,542
general,542
true,542
duty,542
ms,542
wins,540
tears,540
launch,540
mismanagement,539
remove,539
healthcare,538
streets,538
defence,538
population,537
promises,537
chidambaram,536
energy,536
cannot,536
bulldozer,535
university,535
victims,535
citizenship,535
2019,534
faruqui,534
feel,533
victory,532
stalin,531
check,531
follow,531
injured,531
amitmalviya,531
railways,531
history,530
1000,530
congrats,528
mafia,528
posters,528
max,527
light,527
bad,526
index,526
market,524
sold,524
tea,523
car,522
desh,521
remain,520
policemen,519
age,518
class,514
stopped,514
christmas,513
resigns,513
confidence,513
tributes,512
tonight,511
reporter,511
director,510
sanghi,510
before,510
rssurjewala,510
elderly,509
her,509
ratetvdebate,509
pension,509
ignored,508
french,508
dalits,508
rice,507
lead,507
rahul,506
nirbhaya,506
saved,506
wrong,505
what,505
kanganateam,505
lawyer,505
hinduism,504
shot,504
teacher,504
filed,503
companies,502
inaugurated,502
ambassador,502
cylinders,502
loans,501
loan,500
tmc,500
ahmedabad,500
ki,500
company,498
reduced,498
losing,498
liberty,497
weeks,496
defend,495
arrests,495
worried,494
sharing,494
denied,493
salary,492
minority,491
flood,491
grateful,491
koi,491
chair,488
speak,488
dissent,488
mubarak,488
public,488
aircraft,487
adjournment,487
responsible,487
milk,486
caught,483
made,482
warrior,481
tejasvi_surya,480
paying,480
happiness,480
group,479
speeches,479
ashamed,479
letter,479
allahabad,479
fascists,478
walk,477
damage,477
demolished,477
awards,477
burnt,476
raha,475
caa,475
rich,475
flyover,474
rain,474
officials,474
vaccinate,474
afraid,474
telegraph,473
shocking,472
enter,472
hike,470
offices,470
lose,469
song,468
embassy,468
followers,467
disgusting,466
stronger,465
current,465
ticket,464
unbelievable,464
parents,464
investigation,464
repeal,463
demands,463
sorry,463
50,463
key,462
assaulted,462
ncb,461
beard,461
voter,461
seat,461
hotel,459
40,458
withdraw,458
copy,458
two,457
anil,457
remembering,456
stand,456
countries,456
cm,456
words,456
ladakh,455
huge,455
cremated,455
rights,455
internet,454
masjid,453
stayed,453
reality,453
lynching,450
winning,449
fails,449
dismissed,448
nirmala,448
midnight,447
floods,447
they,447
joining,446
prison,446
fighter,444
sikhs,443
child,443
miss,443
yesterday,443
shekhargupta,443
thousands,443
tragedy,442
airports,442
show,442
economic,442
order,441
turn,441
star,440
jawaharlal,440
missed,440
retirement,439
siddiqui,439
zindabad,439
dish,439
festival,438
started,438
said,438
again,437
help,436
guilty,435
surveillance,435
sunday_standard,435
biotech,435
ideology,435
medical,435
baby,434
changes,433
citizen,433
marriage,433
healthy,432
daily,432
riot,432
bhi,432
frontpage,432
great,431
city,431
zubair,431
evening,431
comedian,430
calls,430
bar,429
dog,429
cancelled,428
couple,428
kcvenugopalmp,428
punjabis,428
village,428
burn,428
ambulances,428
nawab,427
few,426
olympics,426
protested,426
krishna,426
cop,425
forest,425
majority,425
martyred,424
campus,424
whip,423
wait,423
charging,423
medal,423
attacking,422
after,422
labourers,422
nepal,421
warriors,420
climate,420
demonetisation,420
bhupeshbaghel,419
welcome,418
traffic,418
reporting,417
heartbreaking,417
print,417
500,416
comments,416
donations,416
dev_fadnavis,416
must,416
files,415
speaks,415
lakhimpurkheri,414
mass,414
so,414
raid,413
camp,413
reforms,413
verdict,412
exposed,412
supporter,411
transfer,411
delayed,410
msisodia,409
dictatorship,409
anger,409
found,408
january,408
beautiful,407
bigger,407
cctv,406
district,406
ration,406
unions,406
arrogance,405
privacy,404
shankar,403
fastest,403
unity,403
currency,402
minutes,402
islamophobia,402
update,401
slogans,401
wheat,401
alone,400
refuses,400
hurt,400
shooting,399
obama,399
mirror,399
conscience,399
telegram,398
buy,398
certificates,397
vaccinations,397
baar,395
rural,395
fast,395
stock,395
captain,394
at,394
houses,393
more,393
open,393
resumes,393
postpone,393
cold,392
spotted,392
kanhaiyakumar,392
cremation,392
cancel,392
mayor,391
bagh,390
schedule,389
file,389
shashi,389
massacre,389
gayi,389
investment,389
regime,388
disqualified,388
humanity,388
defending,386
social,386
charged,386
telangana,385
punishment,385
greetings,384
ceremony,384
iron,384
extend,384
welfare,383
revolution,382
mrsgandhi,382
snooping,382
gulf_news,382
to,382
wedding,382
centre,382
movie,382
bungalow,382
suicides,381
message,381
lynched,381
wake,381
enters,380
ghmconline,379
temples,379
leaving,379
brilliant,379
arresting,379
tokyo,378
girls,377
blue,377
dictator,377
corporate,376
yourself,376
waste,376
signed,376
barricades,376
story,375
jobless,375
park,374
chandrachud,374
fighters,374
relief,372
canada,372
blamed,371
womens,371
warned,371
ghazipur,371
bharatiya,371
highway,370
book,370
registered,369
pandits,369
districts,369
srinagar,369
google,369
walks,368
rw,368
unconstitutional,367
half,367
agnipath,367
lunch,366
donation,366
liberal,366
well,366
floor,366
laughing,365
accountability,364
red,364
kanhaiya,363
enough,363
privatisation,363
much,362
cross,362
cambridge,362
engine,362
negative,361
traitors,361
reservation,361
charanjitchanni,361
from,360
lapdogs,360
responsibility,360
hacked,360
saving,359
wah,359
guest,359
spineless,358
electric,358
sources,358
defeated,358
martyrs,358
full,357
military,357
cheap,357
caption,357
chairperson,357
bandh,357
apps,356
petitions,356
raises,356
crying,356
laws,355
blessings,355
camps,355
israeli,354
innovation,354
send,353
transparency,353
convicts,352
mobile,352
notice,352
pharma,352
darpok56inch,352
port,351
doses,351
dropped,351
discrimination,351
moose,351
on,350
bhakt,350
version,350
business,350
wayanad,350
ho,350
foreign,350
slow,349
nationalists,349
horse,348
hiding,348
brazil,348
people,348
extortion,348
bless,348
white,347
sector,347
newssting1,347
polling,347
criticism,347
gratitude,347
heroes,347
ajitpawarspeaks,347
protection,346
names,346
force,345
sleeping,344
germany,344
scandal,344
head,343
saheb,343
medicines,343
amishdevgan,343
palestine,343
moliticsindia,342
planes,342
eyes,342
mahapanchayat,341
mujhe,341
alive,341
tour,340
oath,340
wine,339
urban,339
adani,338
valley,338
replace,338
expressway,338
capitalists,338
ground,337
flights,337
poster,337
everyone,337
trinamool,337
international,337
growing,336
sunday,336
nationalist,336
adjourned,336
staff,336
sell,336
failures,336
panic,336
kumbh,335
dark,335
ye,334
pandit,334
agencies,334
connect,334
canadian,333
masked,333
culprits,333
walking,332
elephant,332
angry,331
rattles,331
beef,331
loses,331
cameras,329
forgive,329
proof,329
sending,329
donated,328
