keyword,Pro Ruling,Pro OPP,Total,Pro_Opposition_Pct
rahulgandhi,3417,34933,40095,87.13
yatra,1286,6996,9324,75.03
mr,377,5049,5482,92.1
ktrtrs,140,4879,5270,92.58
unemployment,521,3233,4296,75.26
thewire_in,458,3302,3799,86.92
cartoon,291,2848,3178,89.62
priyankagandhi,205,2689,3023,88.95
speaking,472,1563,2082,75.07
electoral,365,1251,1785,70.08
reaches,188,1405,1732,81.12
kcr,160,1310,1539,85.12
trolls,292,1218,1535,79.35
incompetent,320,1094,1517,72.12
pawankhera,66,1102,1421,77.55
pchidambaram_in,199,960,1371,70.02
bhakts,140,1197,1359,88.08
yadavtejashwi,53,1108,1330,83.31
spyware,98,1110,1314,84.47
anchor,267,960,1257,76.37
anchors,118,1064,1187,89.64
bhagwantmann,172,933,1155,80.78
onreality_check,0,1119,1119,100.0
ashokgehlot51,166,829,1112,74.55
spin,191,794,1038,76.49
dkshivakumar,37,844,1010,83.56
mrs,86,892,981,90.93
chandrashekar,72,681,914,74.51
newindianxpress,25,868,899,96.55
boot,136,676,858,78.79
contempt,142,603,838,71.96
jairam_ramesh,138,576,807,71.38
unemployed,153,584,807,72.37
hemantsorenjmm,111,598,796,75.13
incompetence,186,567,774,73.26
modi,202,561,768,73.05
crowds,144,543,763,71.17
oh,82,645,748,86.23
lapdog,26,696,722,96.4
amitmalviya,130,531,718,73.96
pbhushan1,113,554,708,78.25
teleprompter,81,618,705,87.66
sanghi,171,510,685,74.45
rahul,150,506,683,74.08
dissent,138,488,678,71.98
cartoons,87,575,665,86.47
beard,154,461,648,71.14
help,132,436,601,72.55
ms,41,542,596,90.94
liberty,78,497,594,83.67
lakhimpurkheri,62,414,575,72.0
demonetisation,58,420,555,75.68
telegram,134,398,544,73.16
telegraph,52,473,534,88.58
snooping,47,382,514,74.32
dictator,105,377,511,73.78
ratetvdebate,0,509,509,100.0
suicides,87,381,504,75.6
walks,64,368,503,73.16
spotted,89,392,497,78.87
regime,73,388,488,79.51
mrsgandhi,91,382,486,78.6
gulf_news,99,382,483,79.09
bhakt,131,350,483,72.46
wine,113,339,481,70.48
kcvenugopalmp,8,428,474,90.3
ajitpawarspeaks,119,347,468,74.15
ye,131,334,465,71.83
ok,131,326,464,70.26
kanhaiyakumar,35,392,455,86.15
mahapanchayat,39,341,454,75.11
fears,84,325,454,71.59
sunday_standard,0,435,447,97.32
saurabh_mlagk,56,316,443,71.33
frontpage,0,432,432,100.0
amishdevgan,79,343,427,80.33
charanjitchanni,49,361,424,85.14
hindenburg,64,327,419,78.04
lapdogs,58,360,418,86.12
cambridge,29,362,415,87.23
useless,105,292,411,71.05
wah,44,359,408,87.99
dalal,88,309,398,77.64
withheld,100,280,395,70.89
capitalists,41,338,394,85.79
dilipkpandey,38,327,391,83.63
adani,46,338,390,86.67
ghmconline,0,379,383,98.96
rip,34,312,381,81.89
rihanna,105,262,369,71.0
chronology,106,256,365,70.14
bano,47,292,363,80.44
hug,40,286,361,79.22
internal,81,256,361,70.91
pmcares,65,290,359,80.78
gogoi,20,304,357,85.15
rohini_sgh,99,251,353,71.1
darpok56inch,0,352,352,100.0
sarkar,78,269,349,77.08
newssting1,1,347,348,99.71
catastrophe,26,306,347,88.18
moliticsindia,0,342,342,100.0
srinivasiyc,70,252,338,74.56
cares,85,249,335,74.33
heartless,42,281,333,84.38
hashtags,96,234,333,70.27
rattles,1,331,333,99.4
dr_suraina,60,250,328,76.22
supremacists,13,303,326,92.94
wordle,8,317,326,97.24
ncp_nmcspeaks,60,250,325,76.92
kaun,83,229,315,72.7
peacock,52,226,315,71.75
toh,52,253,310,81.61
lao,17,292,310,94.19
