keyword,Pro Ruling,Pro OPP,Total,Pro_Ruling_Pct
narendramodi,120396,5022,128703,93.55
president,27761,5049,37423,74.18
kiba,27844,547,28535,97.58
hindu,15429,4984,21438,71.97
hindus,15810,1994,18587,85.06
live,13033,732,14265,91.36
governor,7466,1421,10018,74.53
condolences,7545,1409,9912,76.12
app,7494,1036,8827,84.9
fights,6522,239,7109,91.74
yoga,5766,672,7058,81.69
injured,5479,531,6722,81.51
called,6336,147,6530,97.03
volunteers,5074,1067,6255,81.12
ayodhya,4146,933,5912,70.13
nation,3981,1178,5576,71.4
digital,4433,584,5323,83.28
foundation,4112,712,5299,77.6
infrastructure,4113,571,5028,81.8
presents,4888,41,5006,97.64
mohfw_india,4615,191,4966,92.93
liberals,3967,605,4646,85.39
education,3348,807,4613,72.58
youtube,3164,1103,4510,70.16
summit,3934,159,4461,88.19
medal,3288,423,4444,73.99
celebrations,3145,692,4348,72.33
tokyo,3241,378,4313,75.14
reforms,3688,413,4310,85.57
temples,3358,379,4145,81.01
mamataofficial,3198,656,4022,79.51
awards,3110,477,3976,78.22
launch,2853,540,3937,72.47
g20,3423,168,3923,87.25
railways,2837,531,3914,72.48
pib_india,3826,9,3841,99.61
tourism,3144,314,3770,83.4
largest,2683,658,3663,73.25
000,3392,163,3642,93.14
ahmedabad,2643,500,3597,73.48
tributes,2737,512,3574,76.58
mib_india,3315,83,3420,96.93
pmnrf,3314,36,3362,98.57
vision,2409,634,3325,72.45
pakistani,2277,556,3187,71.45
cyclone,2306,293,3170,72.74
nsitharaman,2734,233,3165,86.38
festival,2239,438,3089,72.48
myogiadityanath,2671,299,3048,87.63
secularism,2197,573,2941,74.7
tribal,2062,599,2904,71.01
address,2460,224,2873,85.62
healthcare,2173,538,2855,76.11
mahotsav,2758,58,2854,96.64
innovation,2293,354,2851,80.43
ceremony,2135,384,2769,77.1
invest,2249,310,2759,81.52
solar,2162,215,2687,80.46
gandhinagar,2259,162,2679,84.32
schedule,2107,389,2676,78.74
greetings,2063,384,2674,77.15
bereaved,2421,154,2662,90.95
dharma,2306,261,2652,86.95
celebrating,1900,567,2633,72.16
talks,2089,246,2591,80.63
hinduism,1884,504,2538,74.23
amitshah,2365,141,2530,93.48
japan,1773,278,2492,71.15
aatmanirbharbharatka,2471,0,2472,99.96
islamic,1998,249,2458,81.29
warriors,1792,420,2418,74.11
bhavan,2284,49,2414,94.61
canada,1696,372,2386,71.08
beneficiaries,2021,152,2380,84.92
cm,1870,456,2374,78.77
inaugurated,1648,502,2353,70.04
raksha,2166,113,2338,92.64
islam,1870,287,2323,80.5
inspiring,1933,252,2315,83.5
swami,1791,254,2302,77.8
metro,1582,314,2244,70.5
genocide,1601,560,2235,71.63
urban,1668,339,2227,74.9
manufacturing,1698,289,2190,77.53
bhupendrapbjp,2150,3,2155,99.77
sector,1499,347,2099,71.41
dev_fadnavis,1578,416,2099,75.18
islamists,2018,12,2085,96.79
liberal,1666,366,2076,80.25
timesnow,1426,566,2017,70.7
fm,1510,226,2015,74.94
begins,1601,225,1972,81.19
development,1546,307,1969,78.52
chakra,1747,59,1944,89.87
sports,1455,232,1943,74.88
rail,1392,311,1932,72.05
connectivity,1710,82,1928,88.69
at,1464,394,1920,76.25
connect,1409,334,1914,73.62
technology,1737,78,1901,91.37
training,1361,270,1894,71.86
ecosystem,1568,225,1890,82.96
exports,1406,307,1872,75.11
friendship,1540,140,1865,82.57
fastest,1299,403,1851,70.18
projects,1699,68,1848,91.94
quotes,1662,140,1845,90.08
accident,1298,303,1842,70.47
stone,1343,307,1821,73.75
festivals,1432,216,1733,82.63
fighters,1220,374,1729,70.56
episode,1344,263,1691,79.48
paralympics,1245,63,1683,73.98
cheer4,1545,64,1670,92.51
dhankhar,1360,102,1669,81.49
g20org,1658,4,1669,99.34
quad,1313,83,1597,82.22
welcomed,1356,113,1593,85.12
dreams,1206,265,1590,75.85
youngsters,1261,229,1582,79.71
funding,1096,283,1564,70.08
startups,1372,84,1563,87.78
bhagwat,1330,102,1550,85.81
awarded,1133,157,1544,73.38
pride,1180,204,1543,76.47
floral,1201,219,1540,77.99
maharaj,1108,235,1533,72.28
construction,1092,255,1531,71.33
tune,1464,29,1526,95.94
marathi,1178,191,1502,78.43
celebration,1096,249,1500,73.07
missile,1062,98,1490,71.28
northeast,1104,143,1487,74.24
plants,1137,166,1480,76.82
islamist,1354,41,1480,91.49
cards,1047,223,1472,71.13
lynched,1016,381,1442,70.46
boost,1063,208,1436,74.03
vocal,1193,179,1433,83.25
resilience,1191,135,1432,83.17
shri,991,76,1412,70.18
naxal,1183,141,1412,83.78
bhagwan,1111,231,1404,79.13
ayurveda,1223,118,1400,87.36
gift,998,254,1393,71.64
version,971,350,1382,70.26
heritage,1160,115,1358,85.42
renewable,1207,67,1358,88.88
portal,1054,201,1353,77.9
milestone,1103,64,1353,81.52
strengthening,1165,129,1344,86.68
rioters,976,290,1342,72.73
scientists,995,194,1337,74.42
making,965,228,1323,72.94
5g,1058,74,1313,80.58
sanskrit,1107,122,1312,84.38
housing,1049,190,1311,80.02
msmes,964,261,1305,73.87
yojana,1112,110,1288,86.34
ansari,962,222,1285,74.86
payment,896,249,1277,70.16
crackers,920,180,1275,72.16
culture,1001,187,1255,79.76
pfi,920,48,1253,73.42
addresses,976,201,1244,78.46
ppc2021,1243,0,1243,100.0
shakti,1147,79,1242,92.35
empowerment,1001,197,1236,80.99
isis,987,161,1233,80.05
community,899,208,1220,73.69
heights,959,162,1210,79.26
strengthen,951,186,1209,78.66
eve,1117,49,1203,92.85
investors,871,214,1196,72.83
approves,957,78,1186,80.69
soil,827,185,1177,70.26
sustainable,1026,84,1170,87.69
colleges,839,189,1155,72.64
leftist,1075,60,1154,93.15
bond,838,188,1142,73.38
reform,876,144,1138,76.98
revenue,855,150,1135,75.33
