source_row,tweet,tweet_label,subjects,subjects_scored,keyword,label_norm,matched keyword,stance ,stance reason
717821,Those asking for political rallies to stop &amp; kumbh mela to be cut short won’t breathe a word about 5-month-old farmers’ protests. #Superspreaders in #Covid-hit #Punjab are a protected species?,Pro Ruling,"['protests', 'farmers', 'spreaders']","[{'text': 'protests', 'score': 0.3905}, {'text': 'farmers', 'score': 0.3259}, {'text': 'spreaders', 'score': 0.2562}]",farmers protests,Pro Ruling,farmers protests,Against,farmers protest is a super spreader of covid. 
1487834,"Breaking: India reacts to comments by Rihanna, Greta and others on farmers protests in India. MEA says,""temptation of sensationalist social media hashtags and comments, especially when resorted to by celebrities and others, is neither accurate nor responsible. "" https://t.co/7A0V0Jazzw",Pro Ruling,"['india', 'protests', 'hashtags']","[{'text': 'india', 'score': 0.4438}, {'text': 'protests', 'score': 0.4009}, {'text': 'hashtags', 'score': 0.3044}]",farmers protests,Pro Ruling,farmers protests,Against,condems foreign celebrities for sensationalising farmers protest.
571770,Protesters heckle Republic Bharat and Zee News journalists for reporting about the farmers' protests https://t.co/WGcix7k3Ea,Pro Ruling,"['protesters', 'journalists', 'farmers']","[{'text': 'protesters', 'score': 0.5599}, {'text': 'journalists', 'score': 0.483}, {'text': 'farmers', 'score': 0.2625}]",farmers protests,Pro Ruling,farmers protests,neutral ,no stance taken. 
1012783,"Khalistani Sponsored Farmers’ Protests Links With Diljit Dosanjh’s Web Of Shell Companies
 
 https://t.co/ARVzzPnc3D",Pro Ruling,"['protests', 'farmers', 'shell']","[{'text': 'protests', 'score': 0.4749}, {'text': 'farmers', 'score': 0.3949}, {'text': 'shell', 'score': 0.1551}]",farmers protests,Pro Ruling,farmers protests,Against,accuses farmers protest of being sponsored by Khalistanis. 
543384,"The above four incidents have happened in the last 6 days.
 
 Punjab needs to be on high alert. Pakistan is using farmers' protests for its own Khalistan agenda against India.",Pro Ruling,"['pakistan', 'protests', 'farmers']","[{'text': 'pakistan', 'score': 0.5321}, {'text': 'protests', 'score': 0.3965}, {'text': 'farmers', 'score': 0.3443}]",farmers protests,Pro Ruling,farmers protests,Against,says farmers protest is being used by Pakistan to further its Khalistani agenda. 
914238,"#JustIn | The next round of talks between #farmers and Central Government over the #FarmLaws, to be held on 19th January.
 
 #FarmersProtests 
 (ANI)",Pro Ruling,"['farmers', 'protests', 'next']","[{'text': 'farmers', 'score': 0.5247}, {'text': 'protests', 'score': 0.3939}, {'text': 'next', 'score': 0.2594}]",farmers protests,Pro Ruling,farmers protests,neutral ,no stance taken. 
1150883,"Farmers protests. 
 
 Free liquor distribution https://t.co/QXh9sQWATi",Pro Ruling,"['farmers', 'liquor', 'protests']","[{'text': 'farmers', 'score': 0.5226}, {'text': 'liquor', 'score': 0.5209}, {'text': 'protests', 'score': 0.4869}]",farmers protests,Pro Ruling,farmers protests,Against,claims that farmers protest equals to the distribution of free alcohol. 
1308074,"In name of ""Farmers protests "" more hooliganism - see how they break barricades &amp; misuse tricolour as a ḍanḍa to scare cops 
 
 WILL FANCY DRESS KISAN NETAS LIKE YOYA AND HANNAN MOLLAH CONDEMN IT?
 
 ⁦@amitmalviya⁩ ⁦@AmitShah⁩ ⁦@myogiadityanath⁩ https://t.co/JxZefFnxVy",Pro Ruling,"['hooliganism', 'farmers', 'break']","[{'text': 'hooliganism', 'score': 0.6617}, {'text': 'farmers', 'score': 0.4004}, {'text': 'break', 'score': 0.1586}]",farmers protests,Pro Ruling,farmers protests,Against,says there is more vandalism and hooliganism is being propogated in the name of farmers protest. 
1403928,"A girl from West Bengal came to join farmers' protest.
 
 She was raped by protestors at the protest site at Tikri border. Later, she died due to COVID-19.
 
 And, no outrage by so called farmers' leaders as they are busy in massage machines &amp; tattoo parlour.
 
 Are these our Anndatas?",Pro Ruling,"['farmers', 'protestors', 'raped']","[{'text': 'farmers', 'score': 0.4148}, {'text': 'protestors', 'score': 0.4094}, {'text': 'raped', 'score': 0.2766}]",farmers protests,Pro Ruling,farmers protests,Against,says how a girl was raped by protesters in the farmers protest. 
1688352,"All-in all expert Pratap Bhanu Mehta, who was actually exhorting the people to come out on the street during farmers protests and stage a revolution, now dispensing gyan on Covid containment strategies.",Pro Ruling,"['protests', 'farmers', 'dispensing']","[{'text': 'protests', 'score': 0.5068}, {'text': 'farmers', 'score': 0.3839}, {'text': 'dispensing', 'score': 0.3495}]",farmers protests,Pro Ruling,farmers protests,Against,implying that farmers protest led to spread of covid. 
2458395,"Muskan turns out to be the daughter of a PFI leader &amp; Aliya the cousin of a PFI member. The farmers protests weren’t about farmers. These protests aren’t about education. The cause changes, but the goal remains the same: To cause violence, disruption, &amp; try to malign India.",Pro Ruling,"['protests', 'farmers', 'daughter']","[{'text': 'protests', 'score': 0.4572}, {'text': 'farmers', 'score': 0.3407}, {'text': 'daughter', 'score': 0.258}]",farmers protests,Pro Ruling,farmers protests,Against,claims that the farmers protest is not about farmers but about causing disruption and violence. 
1296420,"Deep Sidhu arrested!
 
 So if he was a BJP agent why did Delhi police arrest him? And strangely Lakha Singh was spotted at a farmer's protest site! Hmmmmm so who is shielding these ""agents"" ??",Pro Ruling,"['singh', 'arrested', 'protest']","[{'text': 'singh', 'score': 0.4202}, {'text': 'arrested', 'score': 0.3852}, {'text': 'protest', 'score': 0.1537}]",farmers protests,Pro Ruling,farmers protests,neutral ,no stance taken. 
313284,"Bhartiya Kisan Union is leading organiser of farmers protests demanding roll back of Farms Bills. In 2019, @BKU_KisanUnion demanded: abolition of APMCs, full freedom to trade, full freedom to sell, rent &amp; lease farmland, contract farming, repeal of 9th schedule, futures trading. https://t.co/HEZtH5yL83",Pro Ruling,"['farmers', 'bku_kisanunion', 'protests']","[{'text': 'farmers', 'score': 0.4816}, {'text': 'bku_kisanunion', 'score': 0.4317}, {'text': 'protests', 'score': 0.4221}]",farmers protests,Pro Ruling,farmers protests,neutral ,no stance takenn only news delivered. 
1173853,"The ugly truth of ""Farmers"" protests https://t.co/EBa2zmowuT",Pro Ruling,"['farmers', 'protests', 'ugly']","[{'text': 'farmers', 'score': 0.6188}, {'text': 'protests', 'score': 0.5646}, {'text': 'ugly', 'score': 0.2415}]",farmers protests,Pro Ruling,farmers protests,Against ,"title shows agenda to expose the ""ugly truth"" behind farmers protest. "
1766681,"Farmers protests. 
 
 Free liquor distribution https://t.co/QXh9sQWATi",Pro Ruling,"['farmers', 'liquor', 'protests']","[{'text': 'farmers', 'score': 0.5226}, {'text': 'liquor', 'score': 0.5209}, {'text': 'protests', 'score': 0.4869}]",farmers protests,Pro Ruling,farmers protests,Against ,farmers protest equals the distribution of free alcohol. 
587139,"After brutally suppressing protests by indigenous tribes in Canada, PM Justin Trudeau pontificates over farmers’ protests in India
 
 https://t.co/ajV0F02joU",Pro Ruling,"['protests', 'canada', 'farmers']","[{'text': 'protests', 'score': 0.4856}, {'text': 'canada', 'score': 0.4653}, {'text': 'farmers', 'score': 0.3024}]",farmers protests,Pro Ruling,farmers protests,neutral ,no stance taken. 
