source_row,tweet,tweet_label,subjects,subjects_scored,keyword,label_norm,keyword_cat,stance,stance reason
717201,"Kashmir Updates
 
 ➡️Around 150 Kashmiri Pandits who lost their land to others during 1991 exodus.
 
 Property rights of these Pandits were restored by MHA after abrogation of Article 370. 
 
 ➡️Around 1700 migrants returned back to Kashmir &amp; got jobs under PM Development Package.",Pro Ruling,"['kashmir', 'restored', 'migrants']","[{'text': 'kashmir', 'score': 0.5323}, {'text': 'restored', 'score': 0.4846}, {'text': 'migrants', 'score': 0.2603}]",kashmiri pandits,Pro Ruling,kashmiri pandits,Neutral,Stating an event
1994227,"#KashmirFilesClash | @shaziailmi, National Spokesperson BJP, takes on Akshay Marathe, Spokesperson AAP, on AAP's statements on The Kashmir Files and on Kashmiri Pandits; Tune in #LIVE here - https://t.co/YyXSvvu9Tr https://t.co/nz2BQo9bLx",Pro Ruling,"['kashmir', 'clash', 'files']","[{'text': 'kashmir', 'score': 0.5804}, {'text': 'clash', 'score': 0.3967}, {'text': 'files', 'score': 0.2606}]",kashmiri pandits,Pro Ruling,kashmiri pandits,Neutral,Mentions Kashmiri Pandits but without polar language (factual/neutral tone)
1675342,Powerful image from Jantar Mantar. Kashmiri Pandits protesting against recent killing. https://t.co/hxdnpSQuhu,Pro Ruling,"['protesting', 'pandits', 'killing']","[{'text': 'protesting', 'score': 0.5353}, {'text': 'pandits', 'score': 0.4693}, {'text': 'killing', 'score': 0.3513}]",kashmiri pandits,Pro Ruling,kashmiri pandits,Neutral,Mentions Kashmiri Pandits but without polar language (factual/neutral tone)
364949,Mehbooba Mufti’s politics is a true prototype of communal politics that mainstream politicians in Kashmir have been practising. Kashmiri Pandits were driven out &amp; ethnically cleansed by PDP’s friends in JKLF &amp; Hizbul Mujahideen terror outfits. They are not “away” for a picnic. https://t.co/jtwPRiDA0c,Pro Ruling,"['kashmir', 'politicians', 'cleansed']","[{'text': 'kashmir', 'score': 0.5687}, {'text': 'politicians', 'score': 0.3849}, {'text': 'cleansed', 'score': 0.1048}]",kashmiri pandits,Pro Ruling,kashmiri pandits,Favour,Favour cues: ['terror']
2582617,"SC that had all the time, even at midnight, to hear mercy pleas of terrorists but rejected plea seeking probe into Kashmir's Hindu genocide citing time bar. Now, in face of proof another plea has been filed by Kashmiri pandits seeking a probe. Will milords make time for justice?",Pro Ruling,"['justice', 'kashmir', 'midnight']","[{'text': 'justice', 'score': 0.3606}, {'text': 'kashmir', 'score': 0.2837}, {'text': 'midnight', 'score': 0.1936}]",kashmiri pandits,Pro Ruling,kashmiri pandits,Favour,favoring kashmiri pandits 
1399978,"It is a WRAP for #TheKashmirFiles. Gut wrenching, sad &amp; truthful experience. A true story that waited for 30 years to be told! Thank you @vivekagnihotri #PallaviJoshi for making this film. Thank you cast &amp; the crew for your love &amp; dedication. Jai Ho!!🙏 #Exodus #KashmiriPandits https://t.co/G3gnMADNCW",Pro Ruling,"['kashmir', 'cast', 'wrenching']","[{'text': 'kashmir', 'score': 0.5557}, {'text': 'cast', 'score': 0.4147}, {'text': 'wrenching', 'score': 0.2721}]",kashmiri pandits,Pro Ruling,kashmiri pandits,Favour,"talking positively about a movie ""kashmir files"" which went over kashmiri pandits"
757942,"Policies are getting changed since last 7 yrs
 
 But much more time is needed to change certain mindset
 
 Eg: We say Kashmiri Pandits were thrown in 1990; Actually Kashmiri Hindus were thrown
 
 Let's start saying it
 
 We're systemically made to think in wrong way; But let us change it",Pro Ruling,"['hindus', 'changed', 'thrown']","[{'text': 'hindus', 'score': 0.4743}, {'text': 'changed', 'score': 0.356}, {'text': 'thrown', 'score': 0.189}]",kashmiri pandits,Pro Ruling,kashmiri pandits,Neutral,Mentions Kashmiri Pandits but without polar language (factual/neutral tone)
2250339,"Since #RahulBhat’s killing, the massive spontaneous protests by Kashmiri Pandits in Kashmir is a clear indicator that our younger generations are ready to take charge. We deserve new leadership that is connected to the ground &amp; has the pulse of our community. Our youth must lead.",Pro Ruling,"['kashmir', 'leadership', 'protests']","[{'text': 'kashmir', 'score': 0.455}, {'text': 'leadership', 'score': 0.3668}, {'text': 'protests', 'score': 0.3208}]",kashmiri pandits,Pro Ruling,kashmiri pandits,Neutral,Mentions Kashmiri Pandits but without polar language (factual/neutral tone)
2644527,Handshake with a terrorist and a murderer of Indian Air Force officers and Kashmiri Pandits - Yasin Malik. Just leaving it here. #TheKashmirFiles https://t.co/McZN5rBfia,Pro Ruling,"['kashmir', 'handshake', 'murderer']","[{'text': 'kashmir', 'score': 0.6439}, {'text': 'handshake', 'score': 0.4799}, {'text': 'murderer', 'score': 0.2865}]",kashmiri pandits,Pro Ruling,kashmiri pandits,Neutral,Mentions Kashmiri Pandits but without polar language (factual/neutral tone)
2607840,"Will @ArvindKejriwal be wearing the same shirt he wore while making fun of the slaughter of Kashmiri Pandits and mocking at The Kashmir Files?
 More the fool those who are impressed by this person’s repulsive politics.
 #KashmiriHindus https://t.co/lZIK4bDZ5I https://t.co/tskBPvKbce",Pro Ruling,"['hindus', 'politics', 'repulsive']","[{'text': 'hindus', 'score': 0.4963}, {'text': 'politics', 'score': 0.2101}, {'text': 'repulsive', 'score': 0.1531}]",kashmiri pandits,Pro Ruling,kashmiri pandits,Neutral,Mentions Kashmiri Pandits but without polar language (factual/neutral tone)
2041595,"#SanjayRaut continues to shame the legacy of Aadarniya #BalasahebThackeray . 
 Saying that the killings of #KashmiriPandit ‘s increased post the release of #KashmirFiles is an insult to us . 
 He doesn’t fail to expose himself .",Pro Ruling,"['shame', 'kashmir', 'increased']","[{'text': 'shame', 'score': 0.4471}, {'text': 'kashmir', 'score': 0.4394}, {'text': 'increased', 'score': 0.0215}]",kashmiri pandits,Pro Ruling,kashmiri pandits,Neutral,Mentions Kashmiri Pandits but without polar language (factual/neutral tone)
1197394,"This was the reaction of a Kashmiri Hindu woman when Article 370 was abrogated.
 
 Kashmiri Pandits still want to return to their homeland. They're refugees in their own nation, awaiting their rehabilitation. https://t.co/URKSTpywGM",Pro Ruling,"['refugees', 'hindu', 'return']","[{'text': 'refugees', 'score': 0.4803}, {'text': 'hindu', 'score': 0.441}, {'text': 'return', 'score': 0.2577}]",kashmiri pandits,Pro Ruling,kashmiri pandits,Favour,"Favour cues: ['rehabilitation', 'return']"
1906594,"2008: India Today Conclave invited separatist Yasin Malik. India Today mentioned that he's a strong advocate for the right of return of Kashmiri Hindus.
 
 2015: Yasin Malik protested against the colonies for Kashmiri Pandits.
 
 2017: Yasin Malik assaulted India Today's Journalist.",Pro Ruling,"['hindus', 'separatist', 'journalist']","[{'text': 'hindus', 'score': 0.4598}, {'text': 'separatist', 'score': 0.4083}, {'text': 'journalist', 'score': 0.2708}]",kashmiri pandits,Pro Ruling,kashmiri pandits,Favour,seen to be fighting for kashmiri pandits return 
