source_row,tweet,tweet_label,_label_norm,keyword,subjects,subjects_scored,STANCE ,Reasoning 
,"Did our former PM Dr. Manmohan Sigh not remark that democracy is being harmed due to protests on Telangana issue?

Atal Ji created not one but three states. The entire process was done in an amicable manner, unlike what happened during the creation of Telangana: PM @narendramodi",Pro Ruling,,modi,"['narendramodi', 'protests', 'states']","[{'text': 'narendramodi', 'score': 0.4407}, {'text': 'protests', 'score': 0.3252}, {'text': 'states', 'score': 0.2692}]",for ,shows under congress there is disorder but under BJP there was amicability in state creation. 
,"#modi_rojgaar_do is trending. for good reason. He promised 2 Cr new jobs/Year. Instead, he destroyed 2 Cr existing jobs/Year. Saw a KM long line of young men in queue at Palampur today for a few army jobs.
BJP tries to employ them in their troll army to divert them to Communalism",Pro OPP,,modi,"['modirojgaardo', 'employ', 'trending']","[{'text': 'modirojgaardo', 'score': 0.4132}, {'text': 'employ', 'score': 0.3171}, {'text': 'trending', 'score': 0.2526}]",against ,Modi destroyed jobs. wants young men to turn towards communalism.
,"Don’t allow pliable media &amp; @narendramodi to spin this as an act of largesse. Bereft of a shred of remorse, unapologetic for the violence wreaked on #FarmersProtest_Martyrs It is simply the ground realities of Punjab &amp; #UPElections2022 that’s compelled him #जीता_किसान_हारा_अभिमान https://t.co/WSrjI8GreG",Pro OPP,,modi,"['narendramodi', 'protest', 'media']","[{'text': 'narendramodi', 'score': 0.6044}, {'text': 'protest', 'score': 0.4142}, {'text': 'media', 'score': 0.3509}]",against ,shows media is pliable under modi and that modi is spinning false tales on farmers protest. 
,Many many congrats to Gautam Adani &amp; @narendramodi truly an achievement https://t.co/MaFazk1ujh,Pro OPP,,modi,"['congrats', 'narendramodi', 'amp']","[{'text': 'congrats', 'score': 0.6029}, {'text': 'narendramodi', 'score': 0.5716}, {'text': 'amp', 'score': 0.2994}]",for ,celebratory towards Modi's achievement
,PM @narendramodi talks about something interesting which he received from Tamil Nadu... #MannKiBaat https://t.co/uQYhK7E2Hx,Pro Ruling,,modi,"['narendramodi', 'kiba', 'talks']","[{'text': 'narendramodi', 'score': 0.689}, {'text': 'kiba', 'score': 0.5269}, {'text': 'talks', 'score': 0.3749}]",neutral ,no stance taken. 
,"Looking ahead, we could create a common Research Platform, to coordinate research on controlling epidemic diseases within our South Asian region. The Indian Council of Medical Research can offer help coordinating such an exercise: PM @narendramodi #SAARCfightsCorona",Pro Ruling,,modi,"['diseases', 'narendramodi', 'coordinating']","[{'text': 'diseases', 'score': 0.4143}, {'text': 'narendramodi', 'score': 0.2936}, {'text': 'coordinating', 'score': 0.2554}]",for ,shows modi taking initiative towards R&D and regional cooperation. 
,PM @narendramodi praying to Sant Tukaram Ji in Pune. The ideals of Sant Tukaram motivate several people. He inspires us to serve others and nurture a compassionate society. https://t.co/SzxGtwOAuM,Pro Ruling,,modi,"['praying', 'narendramodi', 'us']","[{'text': 'praying', 'score': 0.5899}, {'text': 'narendramodi', 'score': 0.5221}, {'text': 'us', 'score': 0.1059}]",for ,modi is a good example and inspiring. 
,Was Prime Minister @narendramodi knowingly dissembling? Or was he incorrectly briefed? Or does the government believe it can say anything and get away with it in this post-truth world? 4/4,Pro OPP,,modi,"['narendramodi', 'government', 'dissembling']","[{'text': 'narendramodi', 'score': 0.4581}, {'text': 'government', 'score': 0.3227}, {'text': 'dissembling', 'score': 0.2394}]",against ,calls out modi on his incorrect truths and words. 
,"So @narendramodi is off to the #Matua shrine to prey on a persecuted community for electoral gain. The man is manic in his quest for power, and content to bastardise religion for personal gain. May the Matuas not be fooled by him &amp; say #NoVoteToBJP for the #WestBengalElections https://t.co/Hwrv5mDuB6",Pro OPP,,modi,"['narendramodi', 'elections', 'persecuted']","[{'text': 'narendramodi', 'score': 0.6179}, {'text': 'elections', 'score': 0.3242}, {'text': 'persecuted', 'score': 0.3185}]",against ,shows modi as a predator of votes willing to do anything for power. calls him manic. 
,"So disoriented post #NupurSharma that @BJP4India needs to bring back the pea sheller, @drharshvardhan to cheerlead @narendramodi with these nonsensical lies 🙄 https://t.co/60rjyX3vqF",Pro OPP,,modi,"['narendramodi', 'lies', 'cheerlead']","[{'text': 'narendramodi', 'score': 0.6419}, {'text': 'lies', 'score': 0.417}, {'text': 'cheerlead', 'score': 0.2067}]",against ,modi and his supporters spread nonsensical lies. 
