source_row,tweet,tweet_label,subjects,subjects_scored,keyword,label_norm,keyword_cat,stance,stance_reason,Unnamed: 10
1776494,"This day in 1989,Chinese Army marched in to Tiananmen Square with hundreds of tanks..They KILLED more than 10,000 students &amp; 2 million were SILENCED.
Why ?
Because these students were demanding democracy in China.
Harsh Truth !
Communism &amp; Democracy can NEVER exist together.. https://t.co/OJotXE3qyg",Pro Ruling,"['china', 'killed', 'army']","[{'text': 'china', 'score': 0.5092}, {'text': 'killed', 'score': 0.194}, {'text': 'army', 'score': 0.1813}]",china,Pro Ruling,china,Against ,says that democracy and communism can never exist together. brings up tianamen square massacre. ,
1746200,"The land in question was occupied by China back in 1959 when his great grandfather Jawaharlal Nehru was the Prime Minister
https://t.co/ADHBldveBO",Pro Ruling,"['china', 'prime', 'grandfather']","[{'text': 'china', 'score': 0.5531}, {'text': 'prime', 'score': 0.2547}, {'text': 'grandfather', 'score': 0.2109}]",china,Pro Ruling,china,Nuetral,no stance taken on china. ,
1725027,"So according to the much celebrated global media outlets, the Corona variants are Brazil variant, South Africa variant, UK variant, India variant and so on, but the original virus is just Covid. Not Chinese. Let that sink in.

Well played China. Well played.",Pro Ruling,"['virus', 'china', 'sink']","[{'text': 'virus', 'score': 0.4526}, {'text': 'china', 'score': 0.3899}, {'text': 'sink', 'score': 0.0353}]",china,Pro Ruling,china,Against ,says that china is playing a strategic game of blaming covid on other countries. ,
746769,I hope China gave her more than 20 lakhs for the petition.,Pro Ruling,"['china', 'petition', 'lakhs']","[{'text': 'china', 'score': 0.4772}, {'text': 'petition', 'score': 0.3211}, {'text': 'lakhs', 'score': 0.2676}]",china,Pro Ruling,china,Against ,says china is bribing people. ,
915184,"India has a greater civilisational claim than China on both #Tibet &amp; #Xinjiang. How our politicians, policy experts &amp; historians have let India down. Excellent piece by #UttamKumar. Must read https://t.co/9y1JWhMPw5",Pro Ruling,"['india', 'china', 'politicians']","[{'text': 'india', 'score': 0.5614}, {'text': 'china', 'score': 0.4954}, {'text': 'politicians', 'score': 0.1945}]",china,Pro Ruling,china,Against ,says india has a greater historical claim on both tibet and xinjiang than china. ,
352802,Quid Pro Quo? Sonia Gandhi headed Rajiv Gandhi Foundation received lakhs in donations from Embassy and Government of China: https://t.co/9KOew6gSfY via @eOrganiser,Pro Ruling,"['donations', 'china', 'government']","[{'text': 'donations', 'score': 0.4849}, {'text': 'china', 'score': 0.3116}, {'text': 'government', 'score': 0.2761}]",china,Pro Ruling,china,Nuetral,no stance taken on china. ,
1235076,"Why did the Dragon Relent: After a year-long standoff, China finally agreed to pull back due to its deteriorating internal situation, India’s brilliant tactical manoeuvering on the military front as well as its all-encompassing #AatmanirbharBharat Abhiyan https://t.co/GLX7ZRqyp7",Pro Ruling,"['china', 'pull', 'deteriorating']","[{'text': 'china', 'score': 0.5504}, {'text': 'pull', 'score': 0.2511}, {'text': 'deteriorating', 'score': 0.196}]",china,Pro Ruling,china,Against ,shows china pulled back because of india's brilliant strategy. ,
2007984,"Think for a brief moment.

US/China have been helpless to evacuate their citizens from Ukraine since the war began.

India today managed to stop THE WAR for 6 hours in Kharkiv to let rescue Indian students.

Damn positive about remaining Indian students being rescued soon. 🇮🇳",Pro Ruling,"['evacuate', 'china', 'kharkiv']","[{'text': 'evacuate', 'score': 0.4621}, {'text': 'china', 'score': 0.293}, {'text': 'kharkiv', 'score': 0.2049}]",china,Pro Ruling,china,Against ,portrays china's incompetency to protect its own citizens. ,
2216315,Is Rahul Gandhi partying with China's Ambassador to Nepal Hou Yanqi in Kathmandu ???? https://t.co/iuYf4eb6Y2,Pro Ruling,"['china', 'ambassador', 'partying']","[{'text': 'china', 'score': 0.4857}, {'text': 'ambassador', 'score': 0.3697}, {'text': 'partying', 'score': 0.2779}]",china,Pro Ruling,china,Against ,shows china as the enemy. ,
659579,"Well done Congress Party 

China’s sidekick Pakistan has supported your phraseology on Covid https://t.co/18bSbL5wXy",Pro Ruling,"['china', 'phraseology', 'supported']","[{'text': 'china', 'score': 0.4325}, {'text': 'phraseology', 'score': 0.3187}, {'text': 'supported', 'score': 0.2602}]",china,Pro Ruling,china,Against ,sarcastically mocking congress when china supported their phrasing. ,
