source_row,tweet,tweet_label,subjects,subjects_scored,keyword,label_norm,keyword_cat,stance,stance_reason,Unnamed: 10
2067140,"A Scheduled Caste child is beaten to death in @INCIndia - ruled #Rajasthan
But @RahulGandhi lackey and Congress MP @manickamtagore brazenly lies and pins gut-wrenching crime on #UttarPradesh
If he does not know one State from another, he is a true follower of his leader: Same IQ. https://t.co/6luFmyjNsx",Pro Ruling,"['rahulgandhi', 'crime', 'pins']","[{'text': 'rahulgandhi', 'score': 0.4991}, {'text': 'crime', 'score': 0.2764}, {'text': 'pins', 'score': 0.1363}]",rahulgandhi,Pro Ruling,rahulgandhi,Against ,accusing rahul gandhi of lying and pinning a gut-wrenching crime on UP. ,
1532163,According to @RahulGandhi anyone asking a lil bit tough question is working for Modi. Lol https://t.co/V4hDpylKFF,Pro Ruling,"['rahulgandhi', 'tough', 'bit']","[{'text': 'rahulgandhi', 'score': 0.4695}, {'text': 'tough', 'score': 0.4335}, {'text': 'bit', 'score': 0.1678}]",rahulgandhi,Pro Ruling,rahulgandhi,Against ,says rahul gandhi pins any tough question he is asked on being a lackey of modi's ,
1369332,"A 5 year old..She died of thirst in Rajasthan 

Imagine if this would have happened in Uttar Pradesh… till now @RahulGandhi &amp; his ilk would have blamed “cruel” @narendramodi &amp; his cruel policies

But these shameless vultures are now silent 

Shameless https://t.co/6djMmg6mRA https://t.co/1gjjJ8hN2m",Pro Ruling,"['rahulgandhi', 'thirst', 'vultures']","[{'text': 'rahulgandhi', 'score': 0.4797}, {'text': 'thirst', 'score': 0.4108}, {'text': 'vultures', 'score': 0.3058}]",rahulgandhi,Pro Ruling,rahulgandhi,Against ,calls him a shameless vulture ,
2669832,"An example of @RahulGandhi’s stupid strategy. Make Digvijaya, Rashid Alvi etc raise questions on ARMY and then label them as personal remarks. So the votes are divided amongst H&amp;M. Do you think these spineless PIDIS can ever speak a word without the meharabani of their masters. https://t.co/4cAvdifmZs",Pro Ruling,"['rahulgandhi', 'spineless', 'army']","[{'text': 'rahulgandhi', 'score': 0.3845}, {'text': 'spineless', 'score': 0.228}, {'text': 'army', 'score': 0.2279}]",rahulgandhi,Pro Ruling,rahulgandhi,Against ,calls rahul gandhi's strategies stupid. ,
2215357,Now Confirmed by none other than @ImranKhanPTI friend &amp; Bajwa Mole that @RahulGandhi went out of country for secret meet with his ISI handlers. https://t.co/GkPCmkt4Fv,Pro Ruling,"['rahulgandhi', 'secret', 'none']","[{'text': 'rahulgandhi', 'score': 0.5407}, {'text': 'secret', 'score': 0.3393}, {'text': 'none', 'score': 0.0722}]",rahulgandhi,Pro Ruling,rahulgandhi,Against ,accusing rahul gandhi of secretely meeting ISI handlers. ,
1578218,Thank you @RahulGandhi sir for your good wishes. https://t.co/r9F3VY7Ume,Pro Ruling,"['rahulgandhi', 'wishes', 'thank']","[{'text': 'rahulgandhi', 'score': 0.5671}, {'text': 'wishes', 'score': 0.5292}, {'text': 'thank', 'score': 0.5122}]",rahulgandhi,Pro Ruling,rahulgandhi,For ,thanking rahul gandhi for his good wishes. ,
2802337,"It is extraordinary that @RahulGandhi agrees to:

1) Be interviewed by a colleague/employer of a person accused by India of espionage

2) give free pass to Vivek Raghuvanshi - the person arrested by CBI for being  an alleged foreign spy. 1/2 

 https://t.co/TrkaLCMJ1s",Pro Ruling,"['rahulgandhi', 'spy', 'accused']","[{'text': 'rahulgandhi', 'score': 0.5393}, {'text': 'spy', 'score': 0.4279}, {'text': 'accused', 'score': 0.2849}]",rahulgandhi,Pro Ruling,rahulgandhi,Against ,hinting at rahul gandhi being unfaithful to the country by willingly associating with those labelled as foreign spies. ,
2868624,"Even the dachshund in your DP would have more self-respect than you @JhaSanjay, @INCIndia has thrown you out, @RahulGandhi wouldn’t throw you a scrap of attention, and yet you keep wagging your entire behind for him each time he opens his mouth. He doesn’t even need to say ‘heel’ https://t.co/OMBBcIYait",Pro Ruling,"['dachshund', 'rahulgandhi', 'wouldn']","[{'text': 'dachshund', 'score': 0.5142}, {'text': 'rahulgandhi', 'score': 0.3773}, {'text': 'wouldn', 'score': 0.3191}]",rahulgandhi,Pro Ruling,rahulgandhi,Against ,calling out Sanjay Jha for wagging his tail for rahul gandhi. ,
50582,"@RahulGandhi ""Organised Loot"" Via Corrupt #Congress 🧐 https://t.co/q8fEhGrgkB",Pro Ruling,"['corrupt', 'rahulgandhi', 'congress']","[{'text': 'corrupt', 'score': 0.5982}, {'text': 'rahulgandhi', 'score': 0.5197}, {'text': 'congress', 'score': 0.5034}]",rahulgandhi,Pro Ruling,rahulgandhi,Against ,accusing rahul gandhi of organising a loot as congress is corrupt. ,
1191146,"NO COVID IN RAJASTHAN THANKS TO MIYA @RahulGandhi .

This Was Ajmer Dargha Yesterday After Friday Prayers. https://t.co/pZMaKACUSN",Pro Ruling,"['rahulgandhi', 'prayers', 'yesterday']","[{'text': 'rahulgandhi', 'score': 0.5803}, {'text': 'prayers', 'score': 0.4697}, {'text': 'yesterday', 'score': 0.2703}]",rahulgandhi,Pro Ruling,rahulgandhi,For ,"thanks rahul gandhi for removing covid from Rajasthan. calls him ""miya"" which means friend. ",
