source_row,tweet,tweet_label,_label_norm,keyword,subjects,subjects_scored,stance,stance_reason
2021726,"Trudeau may be a two-faced neta who backed the tractor blockade in India but he has at least put ""national interest"" first to clear the trucker blockade. Indian state should have set aside its regard for the opinion of lutyens bolesheviks and cleared Singhu and Shaheen bagh.",Pro Ruling,pro ruling,shaheen bagh,"['indian', 'blockade', 'trucker']","[{'text': 'indian', 'score': 0.4011}, {'text': 'blockade', 'score': 0.3946}, {'text': 'trucker', 'score': 0.2893}]",Against ,"says that like Trudeau, Indian State should put national interest first and clear shaheen bagh. "
5280,"Shaheen Bagh protesters open up barricades to let a Hindu funeral procession pass.

Please show it to the anti nationals who call Shaheen baghis anti nationals.

#शाहीनबाग़Protest🇮🇳 https://t.co/l5ktaXzV3a",Pro OPP,pro opposition,shaheen bagh,"['protesters', 'funeral', 'baghis']","[{'text': 'protesters', 'score': 0.5251}, {'text': 'funeral', 'score': 0.4116}, {'text': 'baghis', 'score': 0.3634}]",For,shows the humanity of protesters.
608872,"FINAL #ShaheenBaghProtests update.

PRESS CONFERENCE will NOT HAPPEN, as broken by me at 10:10 pm.

Protests to continue. Road to remain closed. Protesters divided in 2 factions.

Will keep updating.",Pro OPP,pro opposition,shaheen bagh,"['protests', 'closed', 'bagh']","[{'text': 'protests', 'score': 0.4601}, {'text': 'closed', 'score': 0.4175}, {'text': 'bagh', 'score': 0.3556}]",Neutral ,"no stance taken, only news delivered "
2557183,"Since when did Shaheen Bagh become #MuslimArea?

From #Gyanvapi to #ShaheenBagh,
it’s all about the muscle power.

Here I talk to @pradip103 at @jankibaat1 !

 https://t.co/NSKyLq3LAv",Pro Ruling,pro ruling,shaheen bagh,"['muslim', 'muscle', 'power']","[{'text': 'muslim', 'score': 0.6286}, {'text': 'muscle', 'score': 0.2551}, {'text': 'power', 'score': 0.1031}]",Against ,questions since when did it become muslim area? 
2067160,"EXPLOSIVE BREAK ON ⁦@TheNewIndian_in⁩

Jahangirpuri Violence Was Continuation Of Anti CAA Protest: ⁦@DelhiPolice⁩ Charge Sheet,reports ⁦@AlokReporter⁩

“Its established incident was continuation of anti CAA-NRC of 2019-20 in Shaheen Bagh” https://t.co/aLRNGLXlcq",Pro Ruling,pro ruling,shaheen bagh,"['violence', 'bagh', 'thenewindian_in']","[{'text': 'violence', 'score': 0.5373}, {'text': 'bagh', 'score': 0.1529}, {'text': 'thenewindian_in', 'score': 0.0878}]",Neutral ,"no stance taken, only news delivered "
98702,This is with what @ArvindKejriwal stands for. Sisodia openly he said he’s with #ShaheenBagh protesters. Do you think they’ll not demand separate Delhi if won ? ☹️ https://t.co/xszKmo0gDZ,Pro Ruling,pro ruling,shaheen bagh,"['delhi', 'protesters', 'won']","[{'text': 'delhi', 'score': 0.4611}, {'text': 'protesters', 'score': 0.4597}, {'text': 'won', 'score': 0.2766}]",Against ,claims that shaheen bagh will demand a separate delhi if they won. 
93832,"VIDEO: #ShaheenBagh Protesters say- One month, one year... protests will continue. Have faith in judiciary. 

Tarannum ji who’s been here since day1 says, “Yeh lambi ladayi hai. Protests jaari rahegi.”

First reaction on SC hearing. #CitizenshipAmendmentAct #AntiCAA_NRC_NPR https://t.co/lQMD9WARVJ",Pro OPP,pro opposition,shaheen bagh,"['protests', 'day1', 'hearing']","[{'text': 'protests', 'score': 0.5042}, {'text': 'day1', 'score': 0.2979}, {'text': 'hearing', 'score': 0.1862}]",For ,shows how protesters have faith in judiciary and resilience. 
341454,"Finally! Famous Shaheen Bagh ki Dadi has reached as ""Farmers' protest"". Last time she had won prize after 51 deaths. Lets see what she is expecting now.
 https://t.co/ibDWZ2FdX6",Pro Ruling,pro ruling,shaheen bagh,"['farmers', 'bagh', 'protest']","[{'text': 'farmers', 'score': 0.3919}, {'text': 'bagh', 'score': 0.376}, {'text': 'protest', 'score': 0.3357}]",Against ,mocks how its spreading death and chaos. 
286975,"Huge crowd at Shaheen Bagh protest tonight. 😍😍

See the sea of people, salute to people of Shaheen Bagh. 

#CAA_NRCProtests #CAA_NRC_Protests 
#ShaheenBaghProtest https://t.co/5WX1wvWnFQ",Pro OPP,pro opposition,shaheen bagh,"['bagh', 'protests', 'tonight']","[{'text': 'bagh', 'score': 0.5215}, {'text': 'protests', 'score': 0.5007}, {'text': 'tonight', 'score': 0.2221}]",For ,salutes people of shaheen bagh. 
1090,Can Hindus in Pakistan do #ShaheenBagh kind of communal protest?,Pro Ruling,pro ruling,shaheen bagh,"['hindus', 'protest', 'bagh']","[{'text': 'hindus', 'score': 0.5589}, {'text': 'protest', 'score': 0.4786}, {'text': 'bagh', 'score': 0.3386}]",Against ,"calls it a ""communal protest"". "
