source_row,tweet,tweet_label,keyword,subjects,subjects_scored,stance,stance_reason,Unnamed: 10,matched keyword
1193688,"TMC is angry because Calcutta High Court ordered CBI probe into violence in Bengal.

TMC says it is transgression of states' rights.

Remember the same Mamata Banerjee had asked United Nations to interfere in India and do referendum on CAA/NRC.",Pro Ruling,caa,"['tmc', 'india', 'referendum']","[{'text': 'tmc', 'score': 0.4602}, {'text': 'india', 'score': 0.376}, {'text': 'referendum', 'score': 0.1884}]",For,suggests that CAA was not in fact a transgression of states rights.,,
2356810,Portraits of resistance: A photo book recalls the courage of the CAA-NRC protests  https://t.co/t8VwdoV5eh via @scroll_in,Pro OPP,caa,"['protests', 'caa', 'scroll_in']","[{'text': 'protests', 'score': 0.6466}, {'text': 'caa', 'score': 0.3511}, {'text': 'scroll_in', 'score': 0.277}]",Against,"""courage of CAA protests""",,
72356,"With the State unleashing unprecedented brutality on anti-#CAA protesters, #IndianMuslims are staring at desperate times https://t.co/LkrrejTLFl",Pro OPP,caa,"['muslims', 'protesters', 'state']","[{'text': 'muslims', 'score': 0.5559}, {'text': 'protesters', 'score': 0.4045}, {'text': 'state', 'score': 0.1632}]",Against,claims that state releasing unprecendented brutality on anti CAA protests,,
177531,"For those who have been eagerly waiting, please find the link below of the Special Talk on #IndiaSupportsCAA by Sh @blsanthosh Ji National General Secretary (Organisation) #BJP delivered @spmrfoundation... listen, assimilate, disseminate: 

https://t.co/2OEaYGF8ZV",Pro Ruling,caa,"['india', 'waiting', 'spmrfoundation']","[{'text': 'india', 'score': 0.5068}, {'text': 'waiting', 'score': 0.3156}, {'text': 'spmrfoundation', 'score': 0.2725}]",For,encouraging people to listen to the pro CAA speech and disseminate the information.,,
187856,"This from the anti CAA protest at august  kranti maidaan in December. ""Jo Hitler ki chaal chalega, woh Hitler ki maut marega"" https://t.co/I9HpYPQPkZ",Pro OPP,caa,"['protest', 'chaal', 'kranti']","[{'text': 'protest', 'score': 0.5711}, {'text': 'chaal', 'score': 0.4106}, {'text': 'kranti', 'score': 0.3314}]",Against,suggests that CAA is a move akin to something Hitler would pull.,,
403952,"It’s high noon &amp; the #SupremeCourt still didn’t wake up?
#CAAProtests",Pro OPP,caa,"['protests', 'court', 'noon']","[{'text': 'protests', 'score': 0.4898}, {'text': 'court', 'score': 0.3791}, {'text': 'noon', 'score': 0.3549}]",Against,showing how supreme court refuses to wake up and recognise the wrongness of CAA.,,
129405,"Anti-CAA protestors have been protesting for 2 months. There was no violence until each time the so-called ""pro-CAA"" groups showed up.

Think.",Pro OPP,caa,"['protestors', 'caa', 'until']","[{'text': 'protestors', 'score': 0.52}, {'text': 'caa', 'score': 0.461}, {'text': 'until', 'score': 0.1801}]",Against,suggests that violence is only being conducted by pro CAA groups.,,
3323,"It’s all about me, myself and I: Modi plays the victim when his politics spills blood https://t.co/rOAG4GP1MM earlier the opposition was anti Gujarat when they criticised Modi now post the religious filter CAA/NRC the world is against India.",Pro OPP,caa,"['opposition', 'india', 'blood']","[{'text': 'opposition', 'score': 0.4654}, {'text': 'india', 'score': 0.4204}, {'text': 'blood', 'score': 0.2601}]",Against,claims that modi's politics like CAA only spill blood and turn the world against India.,,
724978,"List of Anti-CAA Protestors still in prison. 17 people.

Because who—including myself—remembers every day that many have been jailed for months now.

Umar Khalid
Sharjeel Imam
Natasha Narwal
Devangana Kalita
Gulifsha Fatima
Ishrat Jahan
Khalid Saifi

#AntiCAAProtestersKoRihaKaro",Pro OPP,caa,"['protestors', 'caa', 'prison']","[{'text': 'protestors', 'score': 0.5864}, {'text': 'caa', 'score': 0.4277}, {'text': 'prison', 'score': 0.4115}]",Against,hashtag calls for the release of anti-caa protesters.,,
312283,"#DontProvokeMuslims | What we are seeing now is the govt's apathy towards the minorities, why are so many people out on the roads protesting? CAA is a black law: Waris Pathan- National Spokesperson, AIMIM
https://t.co/RZHKU3wOei",Pro Ruling,caa,"['protesting', 'muslims', 'roads']","[{'text': 'protesting', 'score': 0.4683}, {'text': 'muslims', 'score': 0.4385}, {'text': 'roads', 'score': 0.333}]",Against,"calls CAA a ""black law"" and apathy towards muslims.",,
