keyword,count,accuracy,f1_macro
caa,19,0.8947368421052632,0.8956228956228957
china,19,0.7368421052631579,0.6439560439560439
congress,18,0.8888888888888888,0.8412698412698413
farm laws,22,0.7272727272727273,0.7345029239766081
farmers protests,10,0.8,0.8222222222222223
hindu,15,0.6666666666666666,0.5925925925925926
hindutva,14,0.8571428571428571,0.562962962962963
kashmir,17,0.5882352941176471,0.3751803751803752
kashmiri pandits,16,0.625,0.4257703081232493
modi,18,0.9444444444444444,0.9111111111111111
muslim,19,0.7894736842105263,0.7854636591478696
new parliament,21,0.8571428571428571,0.8238705738705739
rahulgandhi,16,0.8125,0.8138528138528138
ram mandir,21,0.7142857142857143,0.6972222222222223
shaheen bagh,19,0.7894736842105263,0.7140350877192981
