keyword,bert,roberta,mistral_base,mistral_fewshot,mistral_lora
caa,0.3058,0.5999,0.446,0.5117,0.8956
china,0.3345,0.2963,0.5321,0.6741,0.644
congress,0.5,0.5587,0.8661,0.8661,0.8413
farm laws,0.4471,0.3336,0.3398,0.4538,0.7345
farmers protests,0.5259,0.4444,0.746,0.7111,0.8222
hindu,0.2667,0.2667,0.2238,0.1495,0.5926
hindutva,0.4967,0.5029,0.3556,0.4171,0.563
kashmir,0.4949,0.2222,0.3571,0.3739,0.3752
kashmiri pandits,0.4575,0.4575,0.265,0.3205,0.4258
modi,0.7429,0.8,0.7802,0.7917,0.9111
muslim,0.2897,0.2771,0.4899,0.5576,0.7855
new parliament,0.4684,0.5064,0.7037,0.7499,0.8239
rahulgandhi,0.5472,0.5364,0.6329,0.6556,0.819
ram mandir,0.4247,0.3562,0.4278,0.5611,0.6972
shaheen bagh,0.5271,0.5602,0.4647,0.5778,0.714
