source_row,tweet,original_author,tweet_label,_label_norm,keyword,subjects_scored
1053200,"""Is this a dictatorship? It seems government doesn't want #DelhiViolence to be discussed in Parliament and that is why this suspension. Strongly condemn this"": Adhir Ranjan Chaudhary, #Congress leader in Lok Sabha. (ANI)

More here https://t.co/Jl3ZLN5DWW https://t.co/L2Go3EPwog",ndtv,Pro OPP,pro opposition,dictatorship,"[{'text': 'dictatorship', 'score': 0.5149}, {'text': 'delhi', 'score': 0.4636}, {'text': 'suspension', 'score': 0.4424}]"
5574064,"In a democracy, if the government says that this is our stand and everyone must accept it (and you have no other option), that is not democracy but dictatorship - BJP leader (late) Sushma Swaraj. https://t.co/3NSiKl7Oqo",t_d_h_nair,Pro OPP,pro opposition,dictatorship,"[{'text': 'dictatorship', 'score': 0.6575}, {'text': 'sushma', 'score': 0.3605}, {'text': 'stand', 'score': 0.239}]"
2090097,"The BJP Govt in the centre wants the indigenous people of Lakshadweep to stay as tenants in their born land.The intention is nothing but to sell out these beautiful Islands to giant corporates in India. 

Fight against dictatorship
Save indigenous lives 

#TogetherWithLakshadweep https://t.co/qJEsRJWQNs",HansrajMeena,Pro OPP,pro opposition,dictatorship,"[{'text': 'indigenous', 'score': 0.5224}, {'text': 'stay', 'score': 0.2793}, {'text': 'corporates', 'score': 0.1375}]"
7317999,"""For multiple decades, Western countries did not supply weapons to India, and in fact, saw a military dictatorship next to us as the preferred partner,” External Affairs Minister S Jaishankar said.

https://t.co/O9zixPT9JZ",IndianExpress,Pro OPP,pro opposition,dictatorship,"[{'text': 'dictatorship', 'score': 0.3855}, {'text': 'weapons', 'score': 0.3744}, {'text': 'western', 'score': 0.2428}]"
7075123,"Islamic Regime's soldiers firing live ammunition at protesters demanding an end to the Iranian dictatorship of the Ayatollahs and the hijabi dress code for women. 
https://t.co/ObzXKgHgPL",TarekFatah,Pro Ruling,pro ruling,dictatorship,"[{'text': 'protesters', 'score': 0.4795}, {'text': 'ammunition', 'score': 0.4735}, {'text': 'hijabi', 'score': 0.2848}]"
5564770,"News is more than 15 Hindus have been arrested by Jharkhand Police for SM posts in support of #RupeshPandey, govt framing them saying you're inciting violence.. Hindus living in JH are afraid to say anything...

Complete dictatorship in Jharkhand..

#JusticeForRupeshPanday",MrSinha_,Pro Ruling,pro ruling,dictatorship,"[{'text': 'hindus', 'score': 0.5997}, {'text': 'arrested', 'score': 0.3931}, {'text': 'panday', 'score': 0.041}]"
3806596,"""Will Stand In Gandhian Style Before Dictatorship"": Rahul Gandhi https://t.co/Ta6ZjPssHL https://t.co/20jfunBLEk",ndtvfeed,Pro OPP,pro opposition,dictatorship,"[{'text': 'dictatorship', 'score': 0.5343}, {'text': 'will', 'score': 0.3031}, {'text': 'style', 'score': 0.2037}]"
2356701,"SHOCKING! 

Twitter has withheld all prominent accounts which were raising their voice in support of Farmers because of some ""legal"" request. This kind of censorship is only seen in dictatorships. 

@thecaravanindia
@HansrajMeena
@Sushant_says 
@Kisanektamorcha
@Tractor2twitr",dhruv_rathee,Pro OPP,pro opposition,dictatorship,"[{'text': 'censorship', 'score': 0.4917}, {'text': 'raising', 'score': 0.237}, {'text': 'tractor2twitr', 'score': 0.2338}]"
7340003,"This is an official handle of a national party.

Nobody will ask why Indian liberals are supporting North Korea's dictatorship.

But if one troll claiming to be Hindu RW says something bad, Washington Post and New York Times will say fascism has arrived in India. https://t.co/wiwuFj4nbl",AbhishBanerj,Pro Ruling,pro ruling,dictatorship,"[{'text': 'fascism', 'score': 0.4635}, {'text': 'indian', 'score': 0.4204}, {'text': 'troll', 'score': 0.2839}]"
7345705,"It is the right of every country to feel safe or threatened by a large nuclear State run by a dictator. Historical ties don't matter. We, too have historical ties with many who are our sworn enemies now. Won't flip because we arent a dictatorship like China; we never invade. WDTT https://t.co/z0kgJPfANU",ARanganathan72,Pro Ruling,pro ruling,dictatorship,"[{'text': 'dictatorship', 'score': 0.5275}, {'text': 'nuclear', 'score': 0.4551}, {'text': 'safe', 'score': 0.2696}]"
2807649,There is 'dictatorship' in India now. since yesterday we are being told we can't go to Uttar Pradesh - @RahulGandhi https://t.co/yVijDKhJ2p,shakeelNBT,Pro OPP,pro opposition,dictatorship,"[{'text': 'dictatorship', 'score': 0.6257}, {'text': 'india', 'score': 0.4803}, {'text': 'yesterday', 'score': 0.1237}]"
2514523,AAP volunteers detained in Ahmedabad for protesting against C R Paatil’s dictatorship in Surat. https://t.co/7BbT5WFLTM,AAPKA_RK,Pro OPP,pro opposition,dictatorship,"[{'text': 'volunteers', 'score': 0.5022}, {'text': 'detained', 'score': 0.4062}, {'text': 'ahmedabad', 'score': 0.2839}]"
5392983,"While Twitter pretended to side with democracy and human rights in the US, it went on to suppress the voices of dissent against dictatorship and majoritarianism in India. My Twitter follower count was static for more than a year - it managed to survive because of European law. https://t.co/J02pkblD6Z",ashoswai,Pro OPP,pro opposition,dictatorship,"[{'text': 'democracy', 'score': 0.3989}, {'text': 'india', 'score': 0.1903}, {'text': 'static', 'score': 0.0431}]"
4145139,"Digital dictatorship rules, okay!",vivekagnihotri,Pro Ruling,pro ruling,dictatorship,"[{'text': 'dictatorship', 'score': 0.7503}, {'text': 'digital', 'score': 0.5097}, {'text': 'rules', 'score': 0.44}]"
