source_row,tweet,original_author,tweet_label,_label_norm,keyword,subjects_scored
562973,Hundreds of #Sikh-#Americans have held peaceful protest rallies in several cities across the #US in support of the Indian #farmers who have been protesting against the new agricultural reforms in #India. #FarmLaws https://t.co/JWqAiFbeqY,NH_India,Pro OPP,pro opposition,farm laws,"[{'text': 'rallies', 'score': 0.5743}, {'text': 'sikh', 'score': 0.4227}, {'text': 'farmers', 'score': 0.3055}]"
2262725,"What transpired that Modi ji had to tk back the laws.I am no expert but,putting forth my observations. Ever since farm laws were passed in parl, geopolitics has drastically changed. PM uses his words carefully ""What I am doing is for the country"".National security is main reason.",thakkar_sameet,Pro Ruling,pro ruling,farm laws,"[{'text': 'geopolitics', 'score': 0.3997}, {'text': 'farm', 'score': 0.254}, {'text': 'changed', 'score': 0.2502}]"
431615,"Another Aam Aadmi Party leader with no clue about what's wrong with the new farm laws.

#FarmBills2020 #FarmersProtestHijacked https://t.co/d52Qd8v427",knowthenation,Pro Ruling,pro ruling,farm laws,"[{'text': 'farmers', 'score': 0.5209}, {'text': 'farmbills2020', 'score': 0.2283}, {'text': 'hijacked', 'score': 0.1349}]"
2274681,"For those who are looking a better alternative please note ;
—————————————-

✅Afghanistan has a cheaper petrol than in India.

✅There are no Farm laws.

✅There is no CAA or NRC

✅They are embracing Sharia law.",rishibagree,Pro Ruling,pro ruling,farm laws,"[{'text': 'sharia', 'score': 0.4048}, {'text': 'petrol', 'score': 0.3664}, {'text': 'cheaper', 'score': 0.2983}]"
2495865,"Farmers gather at Delhi-Ghazipur border, as protests against the #farmlaws continue (ANI) https://t.co/Wr3eCeDYPz",ndtv,Pro OPP,pro opposition,farm laws,"[{'text': 'farmers', 'score': 0.6293}, {'text': 'protests', 'score': 0.3412}, {'text': 'border', 'score': 0.2844}]"
2770176,"Govt ready for discussions on #FarmLaws provisions except for repealing them, says Agri Min 
#NarendraSinghTomar #FarmersProtest 
https://t.co/agD5o4Kt0T",NH_India,Pro OPP,pro opposition,farm laws,"[{'text': 'farmers', 'score': 0.4255}, {'text': 'protest', 'score': 0.2849}, {'text': 'ready', 'score': 0.2204}]"
2077213,"Modi's actions have cleared that the govt. has lost discharge over its responsibility. 

Also, PM has lost the moral authority to stay in power; not being capable enough to Repeal Farm Laws. #ModiResignOrRepeal https://t.co/Z6Ko3zu86t",Kisanektamorcha,Pro OPP,pro opposition,farm laws,"[{'text': 'govt', 'score': 0.4117}, {'text': 'resign', 'score': 0.396}, {'text': 'farm', 'score': 0.2572}]"
100828,"#Haryana Congress protest in Panipat area against #FarmLaws 

Haryana Congress chief Ms @kumari_selja lead the tractor rally ... https://t.co/Z039G3LB6j",Supriya23bh,Pro OPP,pro opposition,farm laws,"[{'text': 'rally', 'score': 0.5381}, {'text': 'tractor', 'score': 0.4156}, {'text': 'haryana', 'score': 0.3964}]"
1996677,"Congress Lok Sabha MP Mr Manish Tewari gives notice to raise #FarmLaws / #Farmers’ protest issue in the house 

#MonsoonSession https://t.co/OrQYDBcqDz",Supriya23bh,Pro OPP,pro opposition,farm laws,"[{'text': 'farmers', 'score': 0.3713}, {'text': 'congress', 'score': 0.2646}, {'text': 'monsoon', 'score': 0.2136}]"
1997862,"Congress workers assemble at Civil Lines, #Delhi to gherao the LG House

#FarmLaws https://t.co/VuML9BjuLG",Supriya23bh,Pro OPP,pro opposition,farm laws,"[{'text': 'congress', 'score': 0.5608}, {'text': 'workers', 'score': 0.4816}, {'text': 'delhi', 'score': 0.2375}]"
2755676,"#Congress asked all its workers, state unit chiefs and heads of frontal organizations to take part in the '#BharatBandh' called by farmer unions on September 27 to protest the Centre's three agri laws. #FarmersProtest #FarmLaws https://t.co/hJL0JEqbqh",NH_India,Pro OPP,pro opposition,farm laws,"[{'text': 'farmers', 'score': 0.4103}, {'text': 'congress', 'score': 0.3794}, {'text': 'bandh', 'score': 0.2751}]"
218912,"Congress’ MPs and MLAs from Punjab continue their protest at Jantar Mantar , #Delhi in support of Farmers protesting against #FarmLaws ... 

Congress Chief Whip in Lok Sabha Mr K Suresh joined party’s Punjab MPs ... https://t.co/NtcjZKrRrw",Supriya23bh,Pro OPP,pro opposition,farm laws,"[{'text': 'protesting', 'score': 0.417}, {'text': 'congress', 'score': 0.3617}, {'text': 'farm', 'score': 0.2374}]"
