source_row,tweet,original_author,tweet_label,_label_norm,keyword,subjects_scored
6511183,"The leader of the NATO countries, the US owes $26 trillion to the world. The top G7 NATO countries debt rose to 140% of their GDP last year. In other words, they all live off debt. Yet, they think they have the moral authority to impose sanctions on Russia. An upside down world!",AartiTikoo,Pro Ruling,pro ruling,gdp,"[{'text': 'debt', 'score': 0.4784}, {'text': 'russia', 'score': 0.3306}, {'text': 'sanctions', 'score': 0.3013}]"
7873129,"Many liberals cant believe how bad Nehruvian economics was

They keep accusing me of posting fake data

(India's per capita GDP)/(World per capita GDP)

1950s:  0.18 or 18%

1991: 0.06 or 6%

2014: 0.14 or 14%

2021: 0.18 or 18%

Nehruvians made us 3 times poorer in 40 yrs

FACT!",AbhishBanerj,Pro Ruling,pro ruling,gdp,"[{'text': 'economics', 'score': 0.3821}, {'text': 'liberals', 'score': 0.3516}, {'text': 'nehruvians', 'score': 0.2838}]"
1319682,"""Ignored Warnings"": Rahul Gandhi, Others Shred Centre Over #GDP Nosedive https://t.co/sPiIBpGqHM https://t.co/kxQ9h4IIv5",ndtv,Pro OPP,pro opposition,gdp,"[{'text': 'gandhi', 'score': 0.4216}, {'text': 'warnings', 'score': 0.4175}, {'text': 'gdp', 'score': 0.3215}]"
7872133,"Autowala @mieknathshinde &amp; Dilwala @Dev_Fadnavis makes Maharashtra number 1 state of India in terms of FDI investment. 

The journey of Maharashtra becoming the 1st Indian state with Trillion dollar GDP has began under the Visionary leadership of Our PM @narendramodi Ji. https://t.co/Den6zhQCos",thakkar_sameet,Pro Ruling,pro ruling,gdp,"[{'text': 'maharashtra', 'score': 0.5213}, {'text': 'gdp', 'score': 0.1654}, {'text': 'dollar', 'score': 0.1598}]"
2492212,"Remember, DrMMS stood up in Parliament &amp; told the nation #ModiDemonetisationScam was organized loot &amp; legalized plunder. He predicted a fall of 2% in GDP before it happened. https://t.co/dOzYXWof8Q",geetv79,Pro OPP,pro opposition,gdp,"[{'text': 'plunder', 'score': 0.3999}, {'text': 'drmms', 'score': 0.3563}, {'text': 'predicted', 'score': 0.2239}]"
3247297,"India's GDP growth Forecast FY22

OECD : 12.6 %

Moody's : 13.7% 

Goldman  sachs : 15.7%

IMF : 11.5%",MeghUpdates,Pro Ruling,pro ruling,gdp,"[{'text': 'growth', 'score': 0.5017}, {'text': 'india', 'score': 0.3553}, {'text': 'fy22', 'score': 0.1663}]"
741063,"Mrs Sonia Gandhi #CWC : #MSMEs employ close to 11 crore personnel today. They make up for one third of the GDP. If they are to be protected from #economic ruin, it is imperative that a special package be announced urgently for their survival. #Corona",Supriya23bh,Pro OPP,pro opposition,gdp,"[{'text': 'personnel', 'score': 0.4312}, {'text': 'sonia', 'score': 0.382}, {'text': 'economic', 'score': 0.2601}]"
683245,"Why have you destroyed

🔴GST

🔴GDP negative

🔴Demonstration

🔴Democracy destroyed

🔴Highest Unemployment

🔴Mismanagement of Covid19

🔴400 million fallen back to poverty

🔴Petroleum prices are all time high

 #पूछ_रहे_हैं_राम https://t.co/H8smzDF3qR",SurrbhiM,Pro OPP,pro opposition,gdp,"[{'text': 'poverty', 'score': 0.4316}, {'text': 'petroleum', 'score': 0.2469}, {'text': 'high', 'score': 0.2365}]"
7846453,.@RahulGandhi with Columbia University Students #RahulGandhiInUSA https://t.co/BGdpz0RO0U,siddharthjourno,Pro OPP,pro opposition,gdp,"[{'text': 'rahulgandhi', 'score': 0.5899}, {'text': 'students', 'score': 0.565}, {'text': 'columbia', 'score': 0.2129}]"
4071006,"Total National Debt to GDP 

2015.     68.78% 
2017.      69.42%
2019.      72.34% 
2020.     89.33% * 

2004      62%
2009.      55%
2014.       65.3% https://t.co/4TpugFOxH5",Arun2981,Pro OPP,pro opposition,gdp,"[{'text': 'debt', 'score': 0.5747}, {'text': '2020', 'score': 0.2435}, {'text': 'gdp', 'score': 0.1818}]"
2851654,"Thursday night humour: Next time when a govt official tells you ‘GDP badh raha hai’, remember he is referring to Gas, diesel, petrol! 😄 good night, shubhratri!👍",sardesairajdeep,Pro OPP,pro opposition,gdp,"[{'text': 'humour', 'score': 0.4861}, {'text': 'govt', 'score': 0.4165}, {'text': 'diesel', 'score': 0.4115}]"
7892434,"Here’s @AIPCMaha policy committee take on the #Budget

With GDP projected to plummet, resources are under-allocated to the social sector at a time of high inflation, high unemployment &amp; rising economic disparities. 

The poorer sections should have been a priority
#BudgetSession https://t.co/6wZrZ0tSqD",nandtara,Pro OPP,pro opposition,gdp,"[{'text': 'budget', 'score': 0.5532}, {'text': 'disparities', 'score': 0.3264}, {'text': 'take', 'score': 0.1136}]"
569492,Terrible news on the economy again. Advance GDP estimates peg India's growth rate at an 11 year low of 5%. https://t.co/r7BCUGEJgy,sagarikaghose,Pro OPP,pro opposition,gdp,"[{'text': 'economy', 'score': 0.4743}, {'text': 'india', 'score': 0.3127}, {'text': 'terrible', 'score': 0.2483}]"
2402768,"Centre says #GDP is rising, for them GDP is #Gas-#Diesel-#Petrol, says #RahulGandhi https://t.co/BdyGfu11B6",NH_India,Pro OPP,pro opposition,gdp,"[{'text': 'gdp', 'score': 0.4875}, {'text': 'rising', 'score': 0.4815}, {'text': 'petrol', 'score': 0.2776}]"
7544723,One more Adani racket unearthed. He got a coal mine by competing against own firm in a stage managed auction. Modi’s link will soon be fixed to all this !  https://t.co/3uGDp5z4KF,jawharsircar,Pro OPP,pro opposition,gdp,"[{'text': 'unearthed', 'score': 0.4695}, {'text': 'coal', 'score': 0.4484}, {'text': 'racket', 'score': 0.4436}]"
5409236,"India Exports to Bahrain $450M

Exports to Kuwait $1B

Total exports just 1.5B, 🇮🇳 GDP $2.7T, so not even 0.1% 🥱

They both export six times more to India. So any boycott is net loss for them not India.

The more they overdo the bigger the hit back on local converts.",arunpudur,Pro Ruling,pro ruling,gdp,"[{'text': 'bahrain', 'score': 0.515}, {'text': 'india', 'score': 0.2799}, {'text': 'loss', 'score': 0.1954}]"
6603187,75 years of Independence: India's journey from Rs 2.7 lakh crore GDP to $3.17 trillion GDP https://t.co/kwFSyMv0qI,republic,Pro Ruling,pro ruling,gdp,"[{'text': 'india', 'score': 0.5183}, {'text': 'independence', 'score': 0.4512}, {'text': 'trillion', 'score': 0.3219}]"
5756645,"India🇮🇳's @g20org presidency marks great honour &amp; greater responsibility as #G20 accounts for 85% of world’s GDP.

Read more in this article by India’s #G20 Sherpa @amitabhk87 in November 2022 edition of #MannKiBaat booklet👇 
https://t.co/sYDxajDpaJ

#AmritMahotsav @mannkibaat https://t.co/vcTKlNY91r",MIB_India,Pro Ruling,pro ruling,gdp,"[{'text': 'g20', 'score': 0.6307}, {'text': 'presidency', 'score': 0.5082}, {'text': 'india', 'score': 0.4381}]"
5908525,"Pakistan’s dwindling GDP doesn’t mean it will end up like Sri Lanka. It has IMF, nuclear leverage…

@NidhimaTaneja reports in ThePrint #GoToPakistan

https://t.co/55WDtOjWyN",ShekharGupta,Pro OPP,pro opposition,gdp,"[{'text': 'pakistan', 'score': 0.5886}, {'text': 'dwindling', 'score': 0.2504}, {'text': 'theprint', 'score': -0.0353}]"
