source_row,tweet,original_author,tweet_label,_label_norm,keyword,subjects_scored
98109,"#WATCH Congress leaders Rahul Gandhi, Priyanka Gandhi,  Adhir Ranjan Chowdhury, KC Venugopal &amp; Randeep Surjewala being taken to Buddh International Circuit in Gautam Buddh Nagar, after they were detained by UP Police on their way to Hathras. https://t.co/6XguHbmtrF",ANINewsUP,Pro Ruling,pro ruling,hathras,"[{'text': 'gandhi', 'score': 0.4479}, {'text': 'congress', 'score': 0.4473}, {'text': 'circuit', 'score': 0.1627}]"
5056662,"Meenakshi Kharbide Female Sarpanch of Adiste Village, Raigad brutally murdered and allegedly raped.

Her naked body was found in the forest-head was completely smashed.

YET ANOTHER HORRIFIC CRIME AGAINST WOMEN IN MAHARASHTRA 

But Hathras lobby silent  https://t.co/kdPKdJ0kC9",Shehzad_Ind,Pro Ruling,pro ruling,hathras,"[{'text': 'murdered', 'score': 0.5016}, {'text': 'maharashtra', 'score': 0.3854}, {'text': 'naked', 'score': 0.3323}]"
34550,"#HathrasTapes | On one side CM Yogi says 'we will ensure family gets justice', and on the other Congress people are saying 'apna media bhejenge': Gaurav Bhatia, National Spokesperson BJP &amp; Sr Advocate, SC https://t.co/RZHKU3wOei",republic,Pro Ruling,pro ruling,hathras,"[{'text': 'justice', 'score': 0.4401}, {'text': 'yogi', 'score': 0.4087}, {'text': 'tapes', 'score': 0.2432}]"
92617,"👉First they said Rape was fake news 

👉Then they forcefully set the body on fire against family's wishes and lied 

👉Then they forcefully stopped opposition leaders from walking to protest

👉Now media entry is banned in Hathras and borders have been sealed.",dhruv_rathee,Pro OPP,pro opposition,hathras,"[{'text': 'banned', 'score': 0.4192}, {'text': 'media', 'score': 0.3969}, {'text': 'lied', 'score': 0.325}]"
849301,A picture of what is happening in Hathras &amp; India...Today.... https://t.co/OMTtwFmwDg,Shehzad_Ind,Pro Ruling,pro ruling,hathras,"[{'text': 'india', 'score': 0.6198}, {'text': 'hathras', 'score': 0.5842}, {'text': 'today', 'score': 0.3901}]"
180082,Cong Gen Secy @priyankagandhi 's statement on #Hathras CBI Chargesheet...Argues it raises serious questions on UP's Adityanath Govt @ABPNews https://t.co/ZRDX0RXSSx,AshishSinghLIVE,Pro OPP,pro opposition,hathras,"[{'text': 'priyankagandhi', 'score': 0.4095}, {'text': 'abpnews', 'score': 0.3319}, {'text': 'chargesheet', 'score': 0.3317}]"
1458714,"Sorry, Bapu! #GandhiJayanti #HathrasHorror https://t.co/q95rt7JXak",satishacharya,Pro OPP,pro opposition,hathras,"[{'text': 'gandhi', 'score': 0.5982}, {'text': 'sorry', 'score': 0.5716}, {'text': 'horror', 'score': 0.5412}]"
3497417,The Hathras R¡0t Accused has Refused to be taken to UP in UP Police Vehicle,MeghUpdates,Pro Ruling,pro ruling,hathras,"[{'text': 'refused', 'score': 0.3788}, {'text': 'hathras', 'score': 0.3516}, {'text': 'police', 'score': 0.2548}]"
599191,"Gangraped and murdered by four Thakur boys in UP’s #Hathras, mother of the 19-year-old says, “Yes we Dalits have always lived in fear here. But what’s left to fear now?”.

#GroundReport by @NidhiSuresh_ and @akanksha_kumar3.

https://t.co/Mg0OgcLw34",newslaundry,Pro OPP,pro opposition,hathras,"[{'text': 'fear', 'score': 0.5298}, {'text': 'akanksha_kumar3', 'score': 0.3881}, {'text': 'murdered', 'score': 0.2873}]"
144557,"BJP demanded Delhi CM Sheila Dixit’s resignation after Nirbhaya’s  rape even though she was not in charge of law and order. In UP, CM Adityanath is in charge of everything, what’s wrong in asking for his resignation?#HathrasHorrorShocksIndia",waglenikhil,Pro OPP,pro opposition,hathras,"[{'text': 'resignation', 'score': 0.4671}, {'text': 'india', 'score': 0.4013}, {'text': 'charge', 'score': 0.0309}]"
370793,"This is mother of the victim , clarifying herself that there was only one guy who assaulted her daughter for ongoing rivalry . SHE NOWHERE MENTIONED RAPE. 
#Hathras https://t.co/OBNk6uREKQ",ankitasood13,Pro Ruling,pro ruling,hathras,"[{'text': 'assaulted', 'score': 0.5737}, {'text': 'herself', 'score': 0.3197}, {'text': 'rivalry', 'score': 0.306}]"
411546,"Hundreds At Jantar Mantar Over Hathras Case, Arvind Kejriwal To Join Protest https://t.co/bB9p4KzqJE",ndtvfeed,Pro OPP,pro opposition,hathras,"[{'text': 'protest', 'score': 0.5084}, {'text': 'hundreds', 'score': 0.3844}, {'text': 'join', 'score': 0.23}]"
2110494,"Yesterday someone told me that INC doesn’t come on the streets, Mamata does. I could only laugh in response. If you saw Mamata in Bhatta Parsaul. Hathras, India Gate, Lakhimpur Kheri and a thousand other places you’re not a critic of the INC you’re a soldier of RSS propaganda",atti_cus,Pro OPP,pro opposition,hathras,"[{'text': 'india', 'score': 0.4467}, {'text': 'streets', 'score': 0.3511}, {'text': 'laugh', 'score': 0.0748}]"
578894,Excellent decision of Allahabad High court to take cognizance of #HathrasCase. The Chief Justice there is still an individual who goes by the letter of the law.,_sabanaqvi,Pro OPP,pro opposition,hathras,"[{'text': 'court', 'score': 0.5448}, {'text': 'allahabad', 'score': 0.3704}, {'text': 'chief', 'score': 0.3452}]"
6158125,"He has taken this fight from the streets to the Parliament. Be it the *Hathras incident, Delhi rape, Rohith Vemula* – Rahul Gandhi stood strong in support of the victims' families, kept fighting, and reminded the Modi government not to treat Dalits with disdain.",SurrbhiM,Pro OPP,pro opposition,hathras,"[{'text': 'dalits', 'score': 0.5192}, {'text': 'victims', 'score': 0.1994}, {'text': 'government', 'score': 0.1593}]"
144625,"The NCW showed great alacrity in seeking reports in Kangana and Payal Ghosh case. So did union minister Ramdas Athavale. Don’t see them acting in super quick time in the Hathras gang rape case. Think about it! Good night, shubhratri!🙏",sardesairajdeep,Pro OPP,pro opposition,hathras,"[{'text': 'hathras', 'score': 0.4}, {'text': 'rape', 'score': 0.3328}, {'text': 'payal', 'score': 0.1477}]"
2251481,"Hindu Rinku Sharma mob lynched in Delhi

- No #NotInMyName protest
- No awards returned
- No actor feeling unsafe in India
- No Prime Time show
- Rahul, Kejriwal who went to Dadri, Hathras won't visit Mangolpuri in Delhi

Reason- Accused are Mohammed Islam, Danish, Zahid &amp; Mehtab",iAnkurSingh,Pro Ruling,pro ruling,hathras,"[{'text': 'lynched', 'score': 0.515}, {'text': 'india', 'score': 0.4877}, {'text': 'mohammed', 'score': 0.2727}]"
1307923,". @RahulGandhi #NikitaTomar was also a girl, she is murdered in daylight, #Haryana is @BJP4India ruled state also...Now there is no excuse in #NikitaMurderCase . Why it is not #Hathras for you &amp; congress?",prafullaketkar,Pro Ruling,pro ruling,hathras,"[{'text': 'rahulgandhi', 'score': 0.5229}, {'text': 'congress', 'score': 0.2777}, {'text': 'murdered', 'score': 0.2618}]"
1061682,"42 days - no bail for the Kerala Journalist covering the Hathras rape. Should courts do more to protect liberties?

Watch #LeftRightCentre with @VishnuNDTV at 9 PM on NDTV https://t.co/ckkNRuDDo2",ndtv,Pro OPP,pro opposition,hathras,"[{'text': 'liberties', 'score': 0.3757}, {'text': 'vishnundtv', 'score': 0.3726}, {'text': 'rape', 'score': 0.3618}]"
402836,"Even today, English TV's 99% coverage is on Sushant/Drugs &amp; not Hathras.

After outraging on twitter, their workers are HAPPILY taking part in the same filth on TV.

Will TV deploy 8 reporters in Hathras like Mumbai? Will TV workers refuse to work in protest, if they really care? https://t.co/dQgHzPTb2V",saahilmenghani,Pro OPP,pro opposition,hathras,"[{'text': 'reporters', 'score': 0.4913}, {'text': 'mumbai', 'score': 0.2388}, {'text': 'drugs', 'score': 0.1413}]"
328128,"Ms @priyankagandhi drives, as Mr @RahulGandhi leads Congress delegation to #Hathras https://t.co/9fOoddJY8d",Supriya23bh,Pro OPP,pro opposition,hathras,"[{'text': 'rahulgandhi', 'score': 0.4849}, {'text': 'congress', 'score': 0.4451}, {'text': 'drives', 'score': 0.3031}]"
209869,"#HathrasHorrorShocksIndia. Family pleading with the police in front of the ambulance. To allow the body to be taken home. The events of last night are too disturbing. First they (UP govt) fail to prevent the rape, now preventing the truth too? https://t.co/9tnnccoH1S",sanket,Pro OPP,pro opposition,hathras,"[{'text': 'horror', 'score': 0.4644}, {'text': 'india', 'score': 0.4176}, {'text': 'ambulance', 'score': 0.3308}]"
1278920,"#HathrasCase : Midnight cremation of the victim's body done without consent of the family members, as per their statement to Allahabad HC.

They wanted cremation in the morning; administration did it in night; no immediate family member participated - father's statement to HC. https://t.co/YjU0YPIjw0",LiveLawIndia,Pro OPP,pro opposition,hathras,"[{'text': 'cremation', 'score': 0.5858}, {'text': 'midnight', 'score': 0.3713}, {'text': 'allahabad', 'score': 0.285}]"
272570,"After 48 hours, media allowed in #Hathras village

@akshaydongre4 reports from ground zero https://t.co/AY07FyZwom",ndtv,Pro OPP,pro opposition,hathras,"[{'text': 'media', 'score': 0.5832}, {'text': 'zero', 'score': 0.419}, {'text': 'akshaydongre4', 'score': 0.2949}]"
922565,"Contrasting response to Hathras &amp; Balrampur cases is why we are the real alternate voice

Every publication covered Hathras. Channels reported every detail, newspapers put it on page 1. Opposition held press conferences. Student groups hit streets. None of it is ever visible in +",swati_gs,Pro Ruling,pro ruling,hathras,"[{'text': 'hathras', 'score': 0.5078}, {'text': 'newspapers', 'score': 0.3169}, {'text': 'channels', 'score': 0.1965}]"
