source_row,tweet,original_author,tweet_label,_label_norm,keyword,subjects_scored
1994332,Uttar Pradesh is the hotspot of hindutva terrorism. https://t.co/yJSgToRTfv,Gabbar0099,Pro OPP,pro opposition,hindutva,"[{'text': 'hindutva', 'score': 0.6311}, {'text': 'terrorism', 'score': 0.5204}, {'text': 'hotspot', 'score': 0.2182}]"
2577829,"Rahul Gandhi &amp; Congress consistently echo the Pakistani line on every issue - Hindutva, 370 &amp; Surgical strikes 

Today as we approach the 13th Anniversary of 26/11 the Congress must tell us what or who prevented a robust response post 26/11 like we saw  post Uri &amp; Pulwama.. https://t.co/B6S0RM2PKR",Shehzad_Ind,Pro Ruling,pro ruling,hindutva,"[{'text': 'congress', 'score': 0.5156}, {'text': 'pakistani', 'score': 0.4363}, {'text': 'surgical', 'score': 0.1566}]"
7918464,"Amit Bhai Shah In Nanded Maharashtra!

#NDAForMaharashtra 
#9YearsOfModiGovernment 
#HindutvaForMaharashtra https://t.co/2yU2d6znJS",thakkar_sameet,Pro Ruling,pro ruling,hindutva,"[{'text': 'maharashtra', 'score': 0.7623}, {'text': 'government', 'score': 0.3226}, {'text': 'years', 'score': 0.246}]"
3179982,"Hindutva needs Sedition Law against students and old people to protect itself.
And it will 'save' Hinduism? 
🤣🤣🤣🤣
Hedge your bets, girls.",devduttmyth,Pro OPP,pro opposition,hindutva,"[{'text': 'hinduism', 'score': 0.5497}, {'text': 'sedition', 'score': 0.4719}, {'text': 'protect', 'score': 0.3206}]"
6536047,"Thank You @Dev_Fadnavis for personally intervening in this issue 🙏🙏

You are a true protector of Hindutva 

Your Hindutva is from within, an integral part of your soul, unlike the B⛎RKHA of Hindutva that Shiv Sena has been wearing🤨🤨

https://t.co/ILd8yzxIgF https://t.co/ib4LMJlH0a",pallavict,Pro Ruling,pro ruling,hindutva,"[{'text': 'hindutva', 'score': 0.6541}, {'text': 'dev_fadnavis', 'score': 0.3792}, {'text': 'your', 'score': 0.3364}]"
7617208,"Karanataka has proved again that ""Sabka Sath, Sabka Vikas"" Policy doesn't work.

It's high time for Modiji to realize that for political success, he ought to resort to ""Jiska Sath, Uska Vikas"". Hindutva is the only way to power for the BJP. https://t.co/bLp79jqCqw",JaipurDialogues,Pro Ruling,pro ruling,hindutva,"[{'text': 'hindutva', 'score': 0.4765}, {'text': 'power', 'score': 0.2601}, {'text': 'resort', 'score': 0.0489}]"
2984724,"Watch  the biggest #Exclusive on 'Dismantling Global Hindutva' 

Watch Pradeep Bhandari exposing #PakAntiHinduPlot on today's Exclusive Episode of #JantaKaMukadma at 8PM on India News.
@pradip103
@IndiaNews_itv
@JMukadma https://t.co/1Yzhrr8h7Y",jankibaat1,Pro Ruling,pro ruling,hindutva,"[{'text': 'hindutva', 'score': 0.649}, {'text': 'episode', 'score': 0.3479}, {'text': 'dismantling', 'score': 0.2745}]"
1449073,"Hinduism celebrate joy (amrita)
Hindutva celebrates anger (halahal) .... 
Hindutva turns ONAM into Vaman Jayanti 
Hindutva turns AKSHAY TRUTIYA  into Parashuram Jayanti
Festivals of bounty &amp; joy into Memories of conflict &amp; war",devduttmyth,Pro OPP,pro opposition,hindutva,"[{'text': 'hindutva', 'score': 0.6711}, {'text': 'joy', 'score': 0.4409}, {'text': 'turns', 'score': 0.1568}]"
1889554,#DismantlingJihad is possible only with Hindu and Hindutva- hence the global Jihad network is waging a war on Hindus in the name of #DismantlingGlobalHindutva - yes Hindu is Hindutva and Hindutva is Hindu- both are one and same. One is body and other is soul! https://t.co/TA6iAS8740,alok_bhatt,Pro Ruling,pro ruling,hindutva,"[{'text': 'jihad', 'score': 0.6138}, {'text': 'dismantling', 'score': 0.3577}, {'text': 'network', 'score': 0.0738}]"
7876021,"Kejriwal INSULTED #VeerSavarkar &amp; Uddhavji joins hands with such people time &amp; again for power

Can you trust Uddhav Thackeray,
the man who FORGOT
own FATHER Balasaheb &amp;
FATHER of Hindutva,Veer Savarkarji?

On Veer Savarkar Punyatithi,

NEVER FORGET 

NEVER FORGIVE

LACHARSHRI🤨 https://t.co/ojPCnjUsAh https://t.co/erjc2oTeO5",pallavict,Pro Ruling,pro ruling,hindutva,"[{'text': 'uddhavji', 'score': 0.5526}, {'text': 'trust', 'score': 0.387}, {'text': 'forget', 'score': 0.2687}]"
662633,"Maryam, 10 MONTH OLD baby was also attacked by Hindutva mob in #Delhigenocide . 

She suffered fractures in shoulder/meck area on both sides.

#DelhiGenocide2020 #Delhigenocide https://t.co/gapqzec4lU",imMAK02,Pro OPP,pro opposition,hindutva,"[{'text': 'genocide', 'score': 0.496}, {'text': 'baby', 'score': 0.2888}, {'text': 'shoulder', 'score': 0.1338}]"
8076165,"The BJP-RSS will remain opposed to Caste Census, for it will bound to show that it is 10-15% of the Hindus who lord over the entire community. This can surely upset the Hindutva applecart. | Badri Raina https://t.co/wqYChk5WFa",thewire_in,Pro OPP,pro opposition,hindutva,"[{'text': 'hindus', 'score': 0.5527}, {'text': 'census', 'score': 0.3583}, {'text': 'applecart', 'score': 0.0408}]"
