source_row,tweet,original_author,tweet_label,_label_norm,keyword,subjects_scored
2578867,"#WhatAboutPandits | Amit Shah said we will rehabilitate all Kashmiri Pandits by 2023. The government, in the biggest step to integrate Kashmiri Pandits, abrogated Article 370 &amp; 35A: Sanju Verma, National Spokesperson, BJP https://t.co/RZHKU3wOei https://t.co/AkpK3JWZEy",republic,Pro Ruling,pro ruling,kashmiri pandits,"[{'text': 'pandits', 'score': 0.4518}, {'text': 'rehabilitate', 'score': 0.3617}, {'text': 'integrate', 'score': 0.2089}]"
5834238,"Those who slammed government for gross underreporting of #COVID19 deaths &amp; claim the number to be in millions

Are now beating their chest to make us believe that only 89 Kashmiri Pandits were killed in Kashmir citing ""official government data""

#TheKashmirFiles",DeepikaBhardwaj,Pro Ruling,pro ruling,kashmiri pandits,"[{'text': 'kashmir', 'score': 0.4295}, {'text': 'deaths', 'score': 0.3098}, {'text': 'underreporting', 'score': 0.1694}]"
2200835,Why did @aajtak people not let @sunilJbhat finish his statement/question. Even after 32 years people want to hush up the matter of #KashmiriPandits genocide in a hurry. National channels need to play fair! I am sorry but this was unfair and unjustified!! Disappointed! https://t.co/8lvwtXLPTx,AnupamPKher,Pro Ruling,pro ruling,kashmiri pandits,"[{'text': 'suniljbhat', 'score': 0.4325}, {'text': 'unjustified', 'score': 0.3714}, {'text': 'channels', 'score': 0.2202}]"
5581199,"“Where were U when this Happened to Kashmiri Pandits!” 
All those who have used this question as cover for vested interests,despite knowing there was no twitter back then
I ask them today.Where R You when this is happening to #KashmiriPandits ?
Why aren’t U questioning the govt?",sakshijoshii,Pro OPP,pro opposition,kashmiri pandits,"[{'text': 'twitter', 'score': 0.3658}, {'text': 'govt', 'score': 0.2311}, {'text': 'back', 'score': 0.2223}]"
788120,"Bhakts often talk of Kashmiri Pandits, but never tell what the BJP did for Kashmiri Pandits during their 12Yrs tenure.

BJP knows how to fool Bhakts, who are already fools.",DesiStupides,Pro OPP,pro opposition,kashmiri pandits,"[{'text': 'bhakts', 'score': 0.3855}, {'text': 'pandits', 'score': 0.3618}, {'text': 'fools', 'score': 0.2936}]"
5525969,"-BJP, an ally of VP Singh prevailed upon him to dismiss INC-NC Govt then &amp; that Jagmohan becomes Gov J&amp;K
-Kashmiri Pandits left J&amp;K during Jagmohan
-As per Pandits, Modi did NOTHING for them
-Congress-UPA built&amp; allotted 5242 flats in Jammu for KP's at Muthi,Purkhoo &amp; Nagrota. https://t.co/w7Apt2wiYn",rachitseth,Pro OPP,pro opposition,kashmiri pandits,"[{'text': 'singh', 'score': 0.4382}, {'text': 'congress', 'score': 0.2166}, {'text': 'nothing', 'score': 0.1997}]"
6570031,"27 families part of PM’s special package for Kashmiri Pandits are camping in the open with kids and the elderly after they were evicted from secure accommodation in the Kulgam camp.

Tanushree Pandey @TanushreePande reports for ThePrint 

Read: https://t.co/0sujzokIe3 https://t.co/nS5UzFeERQ",ThePrintIndia,Pro OPP,pro opposition,kashmiri pandits,"[{'text': 'camping', 'score': 0.5527}, {'text': 'families', 'score': 0.4622}, {'text': 'secure', 'score': 0.2114}]"
5386865,"Where are all those who were outraged about the plight of Kashmiri Pandits after a certain film came out a few months ago?

Wonder why they're so silent about the KP cause now, when they're needed.

Sad. https://t.co/EiEKHrcFFy",VishalDadlani,Pro OPP,pro opposition,kashmiri pandits,"[{'text': 'outraged', 'score': 0.2991}, {'text': 'kp', 'score': 0.2348}, {'text': 'pandits', 'score': 0.2324}]"
5077479,"First time in the History of J&amp;K, Kashmiri Pandits got two days leave on the eve of Mahashivratri. Lt. Gov. Manoj Sinha declared it.

Earlier, Farooq Abdullah and Mufti used to give two days leave on the eve of Eid but never for Hindu festivals.",abdullah_0mar,Pro Ruling,pro ruling,kashmiri pandits,"[{'text': 'hindu', 'score': 0.4615}, {'text': 'festivals', 'score': 0.2992}, {'text': 'never', 'score': 0.146}]"
2034227,"3,841 Kashmiri Pandits have returned to the valley in recent years, taken up jobs under the PM’s Rehabilitation Scheme

https://t.co/g7drSNqPhr",OpIndia_com,Pro Ruling,pro ruling,kashmiri pandits,"[{'text': 'pandits', 'score': 0.3881}, {'text': 'returned', 'score': 0.324}, {'text': 'rehabilitation', 'score': 0.2386}]"
