source_row,tweet,original_author,tweet_label,_label_norm,keyword,subjects_scored
233966,"Webinar on:
Ram Janambhoomi-500 yrs of Struggle, Legal History &amp; what it holds for future.
An interactive session today 16 Aug. at 6 pm
Register at
https://t.co/373mxQZ1NI
Full video at https://t.co/sRI7GT5Qww
#AtalBihariVajpayee 
#RamMandir https://t.co/Dnm5mDtqkm",advmonikaarora,Pro Ruling,pro ruling,ram mandir,"[{'text': 'ram', 'score': 0.483}, {'text': 'future', 'score': 0.4436}, {'text': 'struggle', 'score': 0.3842}]"
4970606,"Karnataka PFI leader warns Muslims against donating to Ram Mandir, case registered for hate speech: Read what he said

https://t.co/iPCJWdf2cr",OpIndia_com,Pro Ruling,pro ruling,ram mandir,"[{'text': 'muslims', 'score': 0.571}, {'text': 'warns', 'score': 0.2683}, {'text': 'donating', 'score': 0.2238}]"
3590965,"Ram Mandir is Constructing Under Yogi Ji Government 🚩
#भगवाधारी_योगीजी",Gajjusay,Pro Ruling,pro ruling,ram mandir,"[{'text': 'yogi', 'score': 0.6178}, {'text': 'government', 'score': 0.3531}, {'text': 'constructing', 'score': 0.2925}]"
2961592,"Ayodhya #RamMandir depicted in the Uttar Pradesh’s Tableau

https://t.co/b4Yr3yJMJw 

#RDayOnAIR #RepublicDay2021",AkashvaniAIR,Pro Ruling,pro ruling,ram mandir,"[{'text': 'ayodhya', 'score': 0.6786}, {'text': 'day2021', 'score': 0.3333}, {'text': 'air', 'score': 0.2912}]"
2235274,"People who can never even dream of traveling to Ayodhya to see Ram Mandir are donating 10/- rupees. That's how imp Prabhu Shree Ram is to them. And to us.

Jaii Shri Ram. Prabhu Ram will bless us all.",muglikar_,Pro Ruling,pro ruling,ram mandir,"[{'text': 'ayodhya', 'score': 0.5175}, {'text': 'donating', 'score': 0.3901}, {'text': 'dream', 'score': 0.2079}]"
7500872,"@ravishndtv on three Judges who gave Ram Mandir decision and later accepted favours from BJP government. 

Strong words…. https://t.co/P6jgbTjVyH",BhavikaKapoor5,Pro OPP,pro opposition,ram mandir,"[{'text': 'judges', 'score': 0.4872}, {'text': 'ravishndtv', 'score': 0.3921}, {'text': 'three', 'score': 0.29}]"
8051643,"रास्ते से हट जा दुराचारी, आ रहे हैं भगवाधारी!

Picture of Sanctum Sanctorum"" 
(Garbhagriha) of Prabhu Shree Ramlala Virajman is released by Shri Ramjanmbhoomi Trust!!

A long wait since 1527 when an INVADER Babur got Rammandir Demolished &amp; legal battle started in 1885.

FINALLY!! https://t.co/318HZaHt3v",MumbaichaDon,Pro Ruling,pro ruling,ram mandir,"[{'text': 'ramjanmbhoomi', 'score': 0.5683}, {'text': 'demolished', 'score': 0.1836}, {'text': 'trust', 'score': 0.1628}]"
826821,"On 25 December:

Peacefuls attacked the Hindus who took out a Ramnidhi Sangrahan rally in Ujjain

On 29 December:

Peacefuls attacked another rally of Hindu organization in Indore that was collecting donations for Ram Mandir 

Why so much hatred against Hindus?",mvmeet,Pro Ruling,pro ruling,ram mandir,"[{'text': 'hindus', 'score': 0.6111}, {'text': 'hatred', 'score': 0.4116}, {'text': 'rally', 'score': 0.4092}]"
2574975,"‘Your editor at NDTV has no brain, he is a bogus man’, VHP leader slams NDTV for casting aspersions on the Ram Mandir donation drive
https://t.co/3jMW7AGwOy",OpIndia_com,Pro Ruling,pro ruling,ram mandir,"[{'text': 'ndtv', 'score': 0.4788}, {'text': 'leader', 'score': 0.3196}, {'text': 'brain', 'score': 0.3177}]"
532330,"PM @narendramodi is making Ram Mandir as well leading efforts to generate clean renewable energy with Solar, Wind, Biomass Plants. India under Modi has already became World's sixth Solar Power Producer. Better luck next time @dhume  !!

https://t.co/duKaJ9P442",dhaval241086,Pro Ruling,pro ruling,ram mandir,"[{'text': 'solar', 'score': 0.4808}, {'text': 'narendramodi', 'score': 0.4377}, {'text': 'making', 'score': 0.2458}]"
6360900,Yogi Adityanath : Babua would have been so busy in making Kabristans that he would have never looked after Ram Mandir construction if he had got that chance.,NewsArenaIndia,Pro Ruling,pro ruling,ram mandir,"[{'text': 'mandir', 'score': 0.4135}, {'text': 'construction', 'score': 0.265}, {'text': 'never', 'score': 0.1444}]"
2280453,"Making strong accusations in the #RamMandirScam where clearly the waters were muddied way before the latest ₹2-18 crores land transfer #Na_Khaunga_Na_Khane_Dunga clearly has loads of exclusions 
#राम_मंदिर_घोटाला 
 https://t.co/rdSEq6uR3T",nandtara,Pro OPP,pro opposition,ram mandir,"[{'text': 'muddied', 'score': 0.4603}, {'text': 'accusations', 'score': 0.4503}, {'text': 'scam', 'score': 0.43}]"
1684359,"Ram Mandir Trust members meet PM Modi, invite him to visit Ayodhya 
https://t.co/plzNmcqvZI",ZeeNewsEnglish,Pro Ruling,pro ruling,ram mandir,"[{'text': 'ayodhya', 'score': 0.5379}, {'text': 'invite', 'score': 0.2092}, {'text': 'trust', 'score': 0.1202}]"
67149,"In the name of seniority this leader of the #ShoutingBrigade #Dushyantdave , repeatedly threatening the highest judiciary of the country since Ram mandir hearings??

#SupremeCourt 
#farewell
#JusticeArunMishra https://t.co/z750TIwPtc",vinod_bansal,Pro Ruling,pro ruling,ram mandir,"[{'text': 'judiciary', 'score': 0.5259}, {'text': 'leader', 'score': 0.4363}, {'text': 'ant', 'score': 0.1647}]"
7665177,"#9SaalDeshKeNaam 
#9SaalBemisaal by @narendramodi

46 Reformed MNREGA 
47 Crop Insurance for Farmers 
48 Foreign Black Money Act
49 Bankruptcy Code
50 Gareeb Kalyan Yojna
51 Rail Budged Merged 
52 Self Declarations accepted 
53 South Asia Satellite to counter China
54 Ram Mandir https://t.co/c47O2eq5No",seriousfunnyguy,Pro Ruling,pro ruling,ram mandir,"[{'text': 'china', 'score': 0.4379}, {'text': 'satellite', 'score': 0.3997}, {'text': 'bankruptcy', 'score': 0.1385}]"
1236836,"History created ! 🙏

#AyodhyaRamMandir",vikramsampath,Pro Ruling,pro ruling,ram mandir,"[{'text': 'ayodhya', 'score': 0.7309}, {'text': 'history', 'score': 0.5566}, {'text': 'ram', 'score': 0.5238}]"
2996626,"Kerala Congress MLA Eldhose donated ₹1000 for Ayodhya Ram Mandir's construction.

After photo went viral, he apologised to Muslim community.

He said that he's secular person &amp; didn't know donation was for Ram Mandir &amp; RSS misled him.

Didn't the secular MLA even check receipt? https://t.co/E75NE5XRff",AskAnshul,Pro Ruling,pro ruling,ram mandir,"[{'text': 'ayodhya', 'score': 0.521}, {'text': 'donation', 'score': 0.4018}, {'text': 'apologised', 'score': 0.3097}]"
516257,"This is called Secularism in India!

Can you believe that Vaishno Devi Shrine Board funds were used for Iftaar parties

To please board members of different religion, temple funds were used for Iftar party

But these can't tolerate building Ram Mandir in Hindus' money!",mvmeet,Pro Ruling,pro ruling,ram mandir,"[{'text': 'temple', 'score': 0.4942}, {'text': 'funds', 'score': 0.3269}, {'text': 'iftar', 'score': 0.2092}]"
5079317,Never seen any Bollywood actor (male/female) saying Jai Shri Ram or showing happiness for the bhoomipujan or after Ram Mandir verdict .. .. No one wanted to do thali mein ched I guess to get funds for their shitty cinema,ExSecular,Pro Ruling,pro ruling,ram mandir,"[{'text': 'bollywood', 'score': 0.567}, {'text': 'verdict', 'score': 0.2146}, {'text': 'never', 'score': 0.1159}]"
624601,"Advaniji addressing Rath yatra at Santram Mandir Ground, Nadiad (pic as shared by Gujarat Samachar) https://t.co/NBh4CZ5C3k",nanditathhakur,Pro Ruling,pro ruling,ram mandir,"[{'text': 'santram', 'score': 0.5866}, {'text': 'ground', 'score': 0.3113}, {'text': 'shared', 'score': 0.1914}]"
1071812,Ayodhya Ram Mandir to be 161-feet tall; 'L&amp;T team has reached spot to start construction' https://t.co/7Zbb1aGqy3,republic,Pro Ruling,pro ruling,ram mandir,"[{'text': 'tall', 'score': 0.4424}, {'text': 'ayodhya', 'score': 0.4178}, {'text': 'start', 'score': 0.1645}]"
497321,"We are happy collecting ₹10 also from the Rural Areas for Ram Mandir. 

Hindu means all Bharatiyas who feel Bharat is their Motherland 🙏

Every Religion Is Equally Precious.

I will be posting bank details for those who would like to donate online.

Jai Shree Ram 🚩",SunainaHoley,Pro Ruling,pro ruling,ram mandir,"[{'text': 'hindu', 'score': 0.6481}, {'text': 'donate', 'score': 0.353}, {'text': 'bank', 'score': 0.2078}]"
489374,2020: Ram Mandir construction begins. https://t.co/c8nyH1RRC0,ThePlacardGuy,Pro Ruling,pro ruling,ram mandir,"[{'text': 'ram', 'score': 0.5115}, {'text': 'construction', 'score': 0.4594}, {'text': '2020', 'score': 0.454}]"
978665,"This #Diwali 🪔 let us all dedicate 
#EkDiyaForRamMandir for bhavya Ayodhya Ram Mandir

Since Shilanyas, we have come to grip with Corona crisis, BJP has performed well in Bihar polls &amp; bypolls

Let’s pray Modiji continues to get blessed with our support on the path of #RamRajya https://t.co/AY1FcmiOoL",pallavict,Pro Ruling,pro ruling,ram mandir,"[{'text': 'ayodhya', 'score': 0.5349}, {'text': 'polls', 'score': 0.2049}, {'text': 'grip', 'score': 0.1757}]"
2372031,"Sanitation workers in UP's Shahjahanpur held protest alleging that they were ""forced"" to pay for construction of Ram Mandir in Ayodhya, reports @KanwardeepsTOI https://t.co/R59eIog9YS",Benarasiyaa,Pro OPP,pro opposition,ram mandir,"[{'text': 'workers', 'score': 0.4845}, {'text': 'protest', 'score': 0.3384}, {'text': 'ayodhya', 'score': 0.2129}]"
7500797,"""Birla was imprisoned in UP due to active participation in Ram Mandir construction movement"" read his older profile on Lok Sabha website.

The Speaker’s RSS membership &amp; jail term for involvement in Babri demolition were deleted from Lok Sabha website.

https://t.co/9pLijKFIGf",geetv79,Pro OPP,pro opposition,ram mandir,"[{'text': 'mandir', 'score': 0.3905}, {'text': 'jail', 'score': 0.3862}, {'text': 'deleted', 'score': 0.3624}]"
2261131,"Prime Minister Modi has brought focus on Hindu civilisation from the time when it was said first right on Indian resources was of Muslims. Ram circuit, chaar dham road, Kashi Vishvanath corridor, Ayodhya ram mandir. All testimony to the fact that we are heading to Hindutva glory.",indiantweeter,Pro Ruling,pro ruling,ram mandir,"[{'text': 'hindutva', 'score': 0.719}, {'text': 'minister', 'score': 0.1897}, {'text': 'circuit', 'score': 0.0411}]"
4168084,"A party that won 2014 and 2019 General elections on the issue of Ayodhya Ram mandir, lost the Panchayat elections of Ayodhya.
Too much Democracy??
#UPPanchayatElection2021",DeekshaNRaut,Pro OPP,pro opposition,ram mandir,"[{'text': 'elections', 'score': 0.5352}, {'text': 'ayodhya', 'score': 0.4619}, {'text': 'lost', 'score': 0.2411}]"
111601,"YOUR 1 VOTE TO MODI GOT U

【1】 GST
Pending for 27 years
【2】OROP
Pending for 43 years
【3】Article370
Pending for 65 years
【4 】Triple Talaq
Pending for 72 years
【5】Ram Mandir
Pending for 591 years
【6】CAA
Pending for 70 years

A POWERFUL GOVT 
CAN TAKE POWERFUL DECISIONS",mvmeet,Pro Ruling,pro ruling,ram mandir,"[{'text': 'years', 'score': 0.3763}, {'text': 'vote', 'score': 0.3664}, {'text': 'powerful', 'score': 0.1879}]"
7891397,"Time To Say; Told You First 😎

This Monsoon Session Under The Leadership Of Hon'ble PM @narendramodi Ji HM @AmitShah  Will Complete The Last Long Pending BJP Manifesto Wish Of UCC.

BJP Will Enter 2024 With All Three Done

370 ✔️ 

RAM Mandir  ✔️ 

UCC ✔️ https://t.co/UeJln2OBbF",thakkar_sameet,Pro Ruling,pro ruling,ram mandir,"[{'text': 'narendramodi', 'score': 0.4909}, {'text': 'monsoon', 'score': 0.4339}, {'text': '2024', 'score': 0.4329}]"
4367583,The vengeance with which @mybmc is removing #RamMandir banners in #Mumbai doesn't surprise me. But the visible anger has shocked many die-hard supporters. There is neither any party-level initiative on Mandir issue. The Hindutva cause is done and dusted. #SaturdayMorning,smitadeshmukh,Pro Ruling,pro ruling,ram mandir,"[{'text': 'hindutva', 'score': 0.5629}, {'text': 'mybmc', 'score': 0.3201}, {'text': 'removing', 'score': 0.2807}]"
2263641,UttarPradesh: Reportedly B0mb thrown outside ancestral home of Retired Justice who was member of SC bench which gave historic Ayodhya Ram Mandir verdict; Police investigating,MeghUpdates,Pro Ruling,pro ruling,ram mandir,"[{'text': 'thrown', 'score': 0.4438}, {'text': 'ayodhya', 'score': 0.4209}, {'text': 'bench', 'score': 0.3331}]"
1439110,"The All India Imams Council, Org of Islamic clerics affiliated to the radical Islamist outfit Popular Front of India, has threatened to deracinate idols in the Sri Ram Mandir in #Ayodhya . This #Aurangzeb &amp; #Babur Mindset is the root cause of all problem
https://t.co/HFGbzehpvi",prafullaketkar,Pro Ruling,pro ruling,ram mandir,"[{'text': 'ayodhya', 'score': 0.5222}, {'text': 'threatened', 'score': 0.2834}, {'text': 'council', 'score': 0.2512}]"
1892880,They Failed To Stop #RamMandir In Courts Now Trying To Stop It In Fake Land Scam Allegations. https://t.co/kKDLCQyohC,KreatelyMedia,Pro Ruling,pro ruling,ram mandir,"[{'text': 'failed', 'score': 0.4105}, {'text': 'allegations', 'score': 0.2502}, {'text': 'scam', 'score': 0.2397}]"
67185,"The Vishwa Hindu Parishad (@VHPDigital) has profusely thanked Prime Minister #NarendraModi (@narendramodi) for mentioning #RamMandir in his #IndependenceDay speech from the ramparts of the #RedFort on Saturday.

#74thIndependenceDay @vinod_bansal https://t.co/pfzFUw8BuT",ians_india,Pro OPP,pro opposition,ram mandir,"[{'text': 'narendramodi', 'score': 0.5583}, {'text': 'thanked', 'score': 0.5136}, {'text': 'vhpdigital', 'score': 0.2254}]"
201593,BREAKING News :  LK Advani Ji likely to go with PM Modi to Ayodhya; Ram Mandir foundation stone a silver brick. ❤🚩,narendramodi177,Pro Ruling,pro ruling,ram mandir,"[{'text': 'ayodhya', 'score': 0.5057}, {'text': 'likely', 'score': 0.2582}, {'text': 'brick', 'score': 0.1975}]"
5968302,"#BREAKING | Former Gujarat CM @ShankersinhBapu sparks a controversy with the statement, 'Ram Mandir is not an issue and it does not matter where Lord Ram stays.' Watch exclusive interview: https://t.co/GAtGCw2GdU https://t.co/Ge435hXQud",republic,Pro Ruling,pro ruling,ram mandir,"[{'text': 'ram', 'score': 0.4327}, {'text': 'stays', 'score': 0.286}, {'text': 'sparks', 'score': -0.0104}]"
7878439,"This explanation on why Ram Mandir why so many Mandirs , given by Manish Kashyap needs to reach everyone 🔥

Unfortunately he has been arrested by Bihar police for a fake tweet..appeasement at its best https://t.co/bJpejRbxpq",VlKASPR0NAM0,Pro Ruling,pro ruling,ram mandir,"[{'text': 'mandir', 'score': 0.5152}, {'text': 'arrested', 'score': 0.3525}, {'text': 'tweet', 'score': 0.3154}]"
2699282,"If RW Influncers want to come clean in #iPhoneScam then the money or the gift they earned should be doubled &amp; donated in PM Covid Care or Ram Mandir Nirman Nidhi. 

If you got 1lac as favor donate 2

Simple prove that you care for ideology above money. 🇮🇳

Retweet If You Agree !!",thakkar_sameet,Pro Ruling,pro ruling,ram mandir,"[{'text': 'donate', 'score': 0.4462}, {'text': 'phones', 'score': 0.292}, {'text': 'prove', 'score': 0.2418}]"
860521,"A Muslim woman BJP leader from Aligarh is receiving death threats for performing aarti during groundbreaking ceremony of Ram Mandir.

Posters put up across town threatening to excommunicate her from Islam.

Waiting for left liberals and feminists to justify this act of tolerance.",AsYouNotWish,Pro Ruling,pro ruling,ram mandir,"[{'text': 'muslim', 'score': 0.4828}, {'text': 'posters', 'score': 0.2643}, {'text': 'excommunicate', 'score': 0.2636}]"
