source_row,tweet,original_author,tweet_label,_label_norm,keyword,subjects_scored
3808593,"BJP leaders &amp; Ayodhya's Ram Temple Trust has been accused of a  Land Scam.

A land was purchased and registered for ₹2 cr and then sold for ₹18.5 crs in just 5 min 

This can only happen in BJP's rule but why no outrage in media ?

 #RamMandirScam
#FailedYogiSarkar https://t.co/nw4vjNLBlk",SurrbhiM,Pro OPP,pro opposition,ayodhya,"[{'text': 'temple', 'score': 0.4686}, {'text': 'scam', 'score': 0.3869}, {'text': 'accused', 'score': 0.3024}]"
2312833,Aam Aadmi Party (AAP) takes out a 'Tiranga Sankalp Yatra' in Ayodhya. Party leader and Delhi Deputy CM Manish Sisodia participating in the yatra. https://t.co/BlAhVeRInN,ANINewsUP,Pro Ruling,pro ruling,ayodhya,"[{'text': 'ayodhya', 'score': 0.5187}, {'text': 'party', 'score': 0.4476}, {'text': 'out', 'score': 0.277}]"
5367053,"National Highway 330A ~ Raebareli to Ayodhya

Phase 1 ~ Ayodhya to Jagdishpur, 4 lane, 60kms, ₹1938Cr, under construction, completion by 2022 end 📷🔻

Phase 2 ~ Jagdishpur to Raebareli, 2 lane with paved shoulder, 46kms, ₹720Cr, work started this month, completion by 2023 end https://t.co/VJestO3Vha",theupindex,Pro Ruling,pro ruling,ayodhya,"[{'text': 'highway', 'score': 0.546}, {'text': 'ayodhya', 'score': 0.4958}, {'text': '2022', 'score': 0.2346}]"
7869089,"#WATCH | Maharashtra CM Eknath Shinde and Deputy CM Devendra Fadnavis offer prayers at Ram Lala temple in Ayodhya, Uttar Pradesh https://t.co/BUR4wD8H5x",ANINewsUP,Pro Ruling,pro ruling,ayodhya,"[{'text': 'temple', 'score': 0.5627}, {'text': 'offer', 'score': 0.2184}, {'text': 'deputy', 'score': 0.1306}]"
8058811,"Seers of Ayodhya declare support to Brij Bhushan Sharan Singh. 

Can’t blame them as Khaps &amp; SGPC already interfered in this matter.",NewsArenaIndia,Pro Ruling,pro ruling,ayodhya,"[{'text': 'ayodhya', 'score': 0.6203}, {'text': 'support', 'score': 0.3612}, {'text': 'khaps', 'score': 0.321}]"
823231,"History made when we heard this Sankalpa.

""Narendra Damodardas Modi..
.....
Aham karishye!""

He was Destiny's Child!
He was destined to do #BhumiPujan for the grandest #RamMandir at Ayodhya. https://t.co/keMmGyFDji",KiranKS,Pro Ruling,pro ruling,ayodhya,"[{'text': 'ayodhya', 'score': 0.5702}, {'text': 'destined', 'score': 0.3524}, {'text': 'ipu', 'score': 0.2293}]"
5742132,"Ayodhya, Uttar Pradesh | The arrested boy was in a relationship with the victim teacher. He wanted to get out of the relationship as he was scared of getting exposed. The teacher used to threaten him of making insulting revelations about him, that's why he murder her:DIG, Ayodhya https://t.co/sFqAzau4wd",ANINewsUP,Pro Ruling,pro ruling,ayodhya,"[{'text': 'ayodhya', 'score': 0.4881}, {'text': 'murder', 'score': 0.4071}, {'text': 'teacher', 'score': 0.3757}]"
1523149,"Ayodhya: Sunni Waqf Board to lay the foundation of mosque in govt allotted land on January 26

https://t.co/T5iSoF5HNx",OpIndia_com,Pro Ruling,pro ruling,ayodhya,"[{'text': 'ayodhya', 'score': 0.5528}, {'text': 'foundation', 'score': 0.4036}, {'text': 'waqf', 'score': 0.2357}]"
1583010,"@myogiadityanath @CMOfficeUP 3. Jewar Airport: Apart from Ayodhya and Varanasi, Jewar Airport will create immense employment. Not just tourism, it will service agri and industry so will be job multiplier. https://t.co/P9CpRFYOao",PBNS_India,Pro Ruling,pro ruling,ayodhya,"[{'text': 'airport', 'score': 0.5909}, {'text': 'ayodhya', 'score': 0.3816}, {'text': 'multiplier', 'score': 0.1065}]"
1965475,"So they have finally unleashed their new MP Gogoi (Ayodhya, Rafale &amp; sexual harassment fame) to defend the Colonial law of sedition! https://t.co/dFwxT2v5ni",pbhushan1,Pro OPP,pro opposition,ayodhya,"[{'text': 'sedition', 'score': 0.3758}, {'text': 'ayodhya', 'score': 0.3285}, {'text': 'colonial', 'score': 0.2721}]"
