source_row,tweet,original_author,tweet_label,_label_norm,keyword,subjects_scored
7796404,"Pakistani media will never show this.

This is #Gwadar, Balochistan. The military crackdown in Gwadar has made the lives of innocent people miserable, with reports of brutal torture. This video shows Pakistani army caught on camera torturing a salesman. https://t.co/xeMjHuMSOi",IFazilaBaloch,Pro Ruling,pro ruling,balochistan,"[{'text': 'pakistani', 'score': 0.5786}, {'text': 'torture', 'score': 0.4613}, {'text': 'camera', 'score': 0.2847}]"
3664841,"Why is 27th March observed as a Black Day by the people of Baloch nation?

Seventy three years ago (in 1948), on this day, Pakistan sent its military to illegally occupy Balochistan, an independent nation.

Know the entire Balochistan conflict:

https://t.co/52ow76DNWw",AsYouNotWish,Pro Ruling,pro ruling,balochistan,"[{'text': 'balochistan', 'score': 0.5268}, {'text': 'day', 'score': 0.3572}, {'text': 'illegally', 'score': 0.1388}]"
3599113,"Balochistan: Over US$1 trillion worth of natural resources have been discovered in Balochistan including gold, copper, black pearl, oil, valuable stones, coal &amp; natural gas.

But we Baloch are struggling for clean drinking water.
#NoToRekoDiqAgreement
 https://t.co/yNtTJCDVUe",IFazilaBaloch,Pro Ruling,pro ruling,balochistan,"[{'text': 'balochistan', 'score': 0.6251}, {'text': 'worth', 'score': 0.1537}, {'text': 'gas', 'score': 0.1463}]"
3299545,Everyone knows that #pakistan is supporting #khalistan  movement ... every INDIAN in India or outside INDIA  need to support #FreeBalochistan  movement ...and make sure #baloch people are free,noconversion,Pro Ruling,pro ruling,balochistan,"[{'text': 'balochistan', 'score': 0.5589}, {'text': 'india', 'score': 0.3135}, {'text': 'free', 'score': 0.1468}]"
988372,Balochistan: A land forgotten by the world https://t.co/EbxHNuF9lP #FreeBalochistan https://t.co/BjTmYjAe3j,friendsofrss,Pro Ruling,pro ruling,balochistan,"[{'text': 'balochistan', 'score': 0.8732}, {'text': 'land', 'score': 0.3053}, {'text': 'free', 'score': 0.2045}]"
7761277,Balochistan is not Pakistan !! https://t.co/Y624I0rK6y,BattaKashmiri,Pro Ruling,pro ruling,balochistan,"[{'text': 'balochistan', 'score': 0.6158}, {'text': 'pakistan', 'score': 0.4065}, {'text': 'not', 'score': 0.3117}]"
6546363,"@Malala You have nothing to say about what’s happening in Balochistan or to Uyghurs but now you want to sermonise us?

Every educational institution has UNIFORM

The girls had SIGNED it

Tom, Musl!m lady cop or a lady doctor wants to wear hijab ?

Where does it end?

See these pictures https://t.co/hrGH1ZpeqI",pallavict,Pro Ruling,pro ruling,balochistan,"[{'text': 'balochistan', 'score': 0.5498}, {'text': 'hijab', 'score': 0.4356}, {'text': 'sermonise', 'score': 0.3173}]"
1375187,"This is occupied Balochistan.

Baloch burning the flag of China and Pakistan.

Baloch want freedom from Pakistan.
#FreeBalochistan

#BalochistanIsNotPakistan https://t.co/2c1QIhZfwB",IFazilaBaloch,Pro Ruling,pro ruling,balochistan,"[{'text': 'balochistan', 'score': 0.7537}, {'text': 'flag', 'score': 0.3579}, {'text': 'free', 'score': 0.0971}]"
7935797,"This is the situation of Quetta, Balochistan.

The Baloch protestors have blocked the entire road. 

The protest is against of illegal arrest and abduction of Mahal Baloch and other Baloch women's by Pakistani security forces.

#SaveBalochWomen

#ReleaseMahalBaloch https://t.co/TNf2VCojUA",IFazilaBaloch,Pro Ruling,pro ruling,balochistan,"[{'text': 'balochistan', 'score': 0.7017}, {'text': 'protestors', 'score': 0.3863}, {'text': 'women', 'score': 0.2587}]"
7320288,"Imran Khan thinks Pakistan will split into 3 parts. 1 part will go to India, 1 part will go to Afghanistan, 1 part will be Balochistan. And Imran Khan will go to the US and ask for political asylum.",taslimanasreen,Pro Ruling,pro ruling,balochistan,"[{'text': 'split', 'score': 0.4984}, {'text': 'pakistan', 'score': 0.4947}, {'text': 'asylum', 'score': 0.0754}]"
3995793,"This is how Baloch families celebrate Eid in Balochistan💔.

As Muslims around the world celebrate religious festival of #Eid,
Like every year these families gather in Quetta or Karachi, they protest for the release of their missing loved ones.
 https://t.co/0anLUjKHfJ",IFazilaBaloch,Pro Ruling,pro ruling,balochistan,"[{'text': 'balochistan', 'score': 0.5582}, {'text': 'muslims', 'score': 0.3774}, {'text': 'celebrate', 'score': 0.3654}]"
5825070,"No word against Pakistan sponsored terrorism or sympathy for innocent victims of Pakistani terrorism in Jammu &amp; Kashmir?

No word against Pakistan Army’s atrocities in Balochistan, KPK, PoK?

UN Geneva, working for peace, rights and well-being of terrorists in Pakistan? https://t.co/dsyN94xkY7",AdityaRajKaul,Pro Ruling,pro ruling,balochistan,"[{'text': 'pakistan', 'score': 0.6333}, {'text': 'victims', 'score': 0.1421}, {'text': 'army', 'score': 0.1064}]"
7108017,"Former Chief Minister of Pakistan-occupied #Balochistan, Sardar Ataullah Mengal’s message to #Baloch youth
cc. ⁦@ZaffarBaloch⁩ ⁦@BNMovement_⁩ ⁦@MehranMarri⁩ ⁦@BBugti⁩ ⁦@JavedMengal_⁩ ⁦@sakhtarmengal⁩ ⁦@BhawalMengal⁩ ⁦@HakeemWadhela⁩ https://t.co/v8Va9xQRaC",TarekFatah,Pro Ruling,pro ruling,balochistan,"[{'text': 'balochistan', 'score': 0.5982}, {'text': 'minister', 'score': 0.4366}, {'text': 'youth', 'score': 0.3028}]"
