source_row,tweet,original_author,tweet_label,_label_norm,keyword,subjects_scored
4673889,"@SpiritOfCongres Bhakts #WhatsApp University ia also down...

#WhatsAppDown",saraf_pankaj,Pro OPP,pro opposition,bhakts,"[{'text': 'down', 'score': 0.5279}, {'text': 'university', 'score': 0.4931}, {'text': 'bhakts', 'score': 0.3377}]"
6370221,Bhakts are trending #SupremeCourtIsCompromised today. Aren't they satisfied with Ram Mandir's design ?,RoflGandhi_,Pro OPP,pro opposition,bhakts,"[{'text': 'supreme', 'score': 0.4746}, {'text': 'bhakts', 'score': 0.4004}, {'text': 'compromised', 'score': 0.3302}]"
54534,"This is how walking into the trap looks like. Today, Modi Bhakts agree with Desh Bhakts that it should be ""Surrender"" .. because they know Modi has Surrendered!

Dumb people! 😂 #SurenderModi https://t.co/3d3vkvlaBA",WithCongress,Pro OPP,pro opposition,bhakts,"[{'text': 'surrender', 'score': 0.5925}, {'text': 'dumb', 'score': 0.3031}, {'text': 'trap', 'score': 0.2803}]"
7135706,"So the bhakt scientists, bhakt techies, bhakt doctors etc are also supporting that black magic talk or did anyone come out against it? Will anyone of them grow a spine pls?",AudaciousQuest_,Pro OPP,pro opposition,bhakts,"[{'text': 'black', 'score': 0.3436}, {'text': 'spine', 'score': 0.2593}, {'text': 'techies', 'score': 0.1133}]"
2013495,"Bhakts &amp; BJP workers who think that they have chosen Modi as the PM must clear their misconceptions.

The name of Modi was proposed by Adani&amp;Ambani with the condition, donation will be given only if Modi becomes the PM.
 
It is now clear why both wanted Modi as PM. Isn't it?",BhavikaKapoor5,Pro OPP,pro opposition,bhakts,"[{'text': 'chosen', 'score': 0.3108}, {'text': 'misconceptions', 'score': 0.2437}, {'text': 'workers', 'score': 0.1433}]"
2219482,"Dayan says 99% of videos and pics of Bengal violence are fake and 1% are from the areas where BJP got seats..media will be silent , BJP leaders will continue  their dharna in their homes and we Bhakts will cry for sometime .. and everyone will move on ..",ExSecular,Pro Ruling,pro ruling,bhakts,"[{'text': 'bengal', 'score': 0.4229}, {'text': 'videos', 'score': 0.3313}, {'text': 'fake', 'score': 0.2747}]"
3962361,"UP Govt has banned the sale and use of firecrackers in NCR.

Meanwhile Bhakts continue to abuse Virat Kohli for his video asking people not to burst crackers",Cryptic_Miind,Pro OPP,pro opposition,bhakts,"[{'text': 'firecrackers', 'score': 0.4669}, {'text': 'bhakts', 'score': 0.4039}, {'text': 'abuse', 'score': 0.1557}]"
520973,"""We believe Ram was our ancestor"", Muslim Ram Bhakts set to witness Bhoomi Pujan for grand Ram temple https://t.co/kpmKpUD2eC",OpIndia_com,Pro Ruling,pro ruling,bhakts,"[{'text': 'ram', 'score': 0.4796}, {'text': 'ancestor', 'score': 0.3401}, {'text': 'witness', 'score': 0.3119}]"
2285707,"'Mahant Yati Maharaj' blames 'Jihadi Juber' &amp; Arfa Khanum for editing a 'Live Video' posted by his friend on fb on July 4th.🤯
He knowns that bhakts would blindly believe if he takes our name.
He later goes on to accept that he was talking abt the dirt in the politics (Same no🤦🏾‍♂️) https://t.co/Lo6qXKWKmh",zoo_bear,Pro OPP,pro opposition,bhakts,"[{'text': 'jihadi', 'score': 0.5365}, {'text': 'blames', 'score': 0.4097}, {'text': 'video', 'score': 0.241}]"
7354372,These Andh Bhakts! https://t.co/c00Cr3BHju,JaipurDialogues,Pro Ruling,pro ruling,bhakts,"[{'text': 'these', 'score': 0.6291}, {'text': 'andh', 'score': 0.627}, {'text': 'bhakts', 'score': 0.6136}]"
2400277,"This is the reality of GDP growth , bhakts need tuition on this !! #EconomicsSamjhoFekendra https://t.co/b0qYigPZIx",SurrbhiM,Pro OPP,pro opposition,bhakts,"[{'text': 'economics', 'score': 0.5442}, {'text': 'bhakts', 'score': 0.2629}, {'text': 'gdp', 'score': 0.2199}]"
3262886,Bhakts who were promised land in Kashmir looking at 18 crore plot in Ayodhya https://t.co/C5OX15jkah,yippeekiyay_dk,Pro OPP,pro opposition,bhakts,"[{'text': 'ayodhya', 'score': 0.5398}, {'text': 'plot', 'score': 0.2691}, {'text': 'promised', 'score': 0.2539}]"
5023747,@BucketheadCase It's dumb enough for bhakts to get it and object,AdityaMenon22,Pro OPP,pro opposition,bhakts,"[{'text': 'bucketheadcase', 'score': 0.5111}, {'text': 'dumb', 'score': 0.4301}, {'text': 'bhakts', 'score': 0.3679}]"
214532,"First response of Bhakts on killing of sadhus in Maharashtra: Muslims must have done it.
First response of Bhakts on killing of sadhu in UP: silence. 

Hypocrisy is the second name of Bhakts.",DilliDurAst,Pro OPP,pro opposition,bhakts,"[{'text': 'sadhus', 'score': 0.4913}, {'text': 'muslims', 'score': 0.4063}, {'text': 'hypocrisy', 'score': 0.3415}]"
3733251,"🚨 1,562 Ram Bhakts donated Rs 28 Lakhs 

PAN of Sanjith ji's wife is awaited. 

We have also requested documents of parents 

Money will be transferred as soon as we have it. 

Thank you for your #DharmAnsh 

https://t.co/7dQ4F380DO",KreatelyMedia,Pro Ruling,pro ruling,bhakts,"[{'text': 'donated', 'score': 0.5087}, {'text': 'dharma', 'score': 0.3338}, {'text': 'soon', 'score': 0.1665}]"
3175911,"PR management started. Now, the lapdogs in the media will compete with each other to whitewash the sins of the emperor and his assistant. IT cell will amplify it and WA addicted bhakts will believe it. https://t.co/B0SEAbSws9",t_d_h_nair,Pro OPP,pro opposition,bhakts,"[{'text': 'media', 'score': 0.458}, {'text': 'lapdogs', 'score': 0.4278}, {'text': 'sins', 'score': 0.2041}]"
2685469,"-Javed Akhtar continuously attacks BJP &amp; participates in opposition party’s meeting : He’s a neutral eminent intellectual

-Prasoon Joshi once interviewed PM Modi : He’s a Bhakt,Sanghi,Bhajpai, hate monger",MrSinha_,Pro Ruling,pro ruling,bhakts,"[{'text': 'sanghi', 'score': 0.5059}, {'text': 'opposition', 'score': 0.4433}, {'text': 'attacks', 'score': 0.4136}]"
1760306,"Bhakts are angry on Sanjay Raut for using HARAMKHOR word for Kangana

The same bhakts abuse Swara Bhaskar day in and day out with the vilest &amp; sexist slang ever

Hypocrisy Much",Nher_who,Pro OPP,pro opposition,bhakts,"[{'text': 'bhaskar', 'score': 0.531}, {'text': 'slang', 'score': 0.3584}, {'text': 'hypocrisy', 'score': 0.3388}]"
3487371,Why do ‘liberal’ celebrities wish death upon ‘Bhakts’ to ‘teach them a lesson’? https://t.co/cKFWcSCr9d,OpIndia_com,Pro Ruling,pro ruling,bhakts,"[{'text': 'liberal', 'score': 0.417}, {'text': 'celebrities', 'score': 0.3624}, {'text': 'death', 'score': 0.3587}]"
4585657,"Question :- Where are the 24 AIIMS which Modi govt has built. 
Bhakts always jump on these 24 AIIMS..Where are these hospitals ??

#COVID19India #COVIDSecondWaveInIndia",BhavikaKapoor5,Pro OPP,pro opposition,bhakts,"[{'text': 'hospitals', 'score': 0.4108}, {'text': 'india', 'score': 0.4106}, {'text': 'wave', 'score': 0.1709}]"
