source_row,tweet,original_author,tweet_label,_label_norm,keyword,subjects_scored
757723,"@RahulGandhi It's become evident that #DeMoDisaster of 84% of the country's currency overnight, was a carefully planned, criminal financial scam,
with black money getting laundered while the economy was ruined &amp; citizens impoverished

 #DestructionByDemonetisation 

https://t.co/jPDewF5nHr",geetv79,Pro OPP,pro opposition,demonetisation,"[{'text': 'disaster', 'score': 0.523}, {'text': 'currency', 'score': 0.4861}, {'text': 'scam', 'score': 0.3435}]"
5400999,The masterstroke called Demonetisation https://t.co/anmYKlvsId,RanaAyyub,Pro OPP,pro opposition,demonetisation,"[{'text': 'demonetisation', 'score': 0.6524}, {'text': 'masterstroke', 'score': 0.5983}, {'text': 'called', 'score': 0.3584}]"
2491085,"They deserve Joint Noble Prize for inventing Nano Chip in Rs 2000 note.

#DemonetisationDisaster
 https://t.co/ObdvJCSCkt",indian_armada,Pro OPP,pro opposition,demonetisation,"[{'text': 'nano', 'score': 0.6152}, {'text': 'deserve', 'score': 0.1582}, {'text': 'joint', 'score': 0.0849}]"
6721801,"#SupremeCourt's Constitution Bench to shortly continue hearing petitions challenging #Demonetization of Rs 500 &amp; Rs 1000 currency notes by Central Govt in 2016. 

Attorney-General R Venkataramani to pick up from where he left off on Nov 25.

#SupremeCourtofIndia #Demonetisation https://t.co/eGHFpni70O",LiveLawIndia,Pro OPP,pro opposition,demonetisation,"[{'text': 'petitions', 'score': 0.5289}, {'text': 'currency', 'score': 0.3279}, {'text': 'india', 'score': 0.2165}]"
3729300,"The 5th anniversary of ""Organized Loot &amp; Legalized Plunder"" is coming up tomorrow. No accountability has been fixed yet for Modi's failure to achieve any of his own declared objectives.

The world's biggest scam. 
#ModiDemonetisationScam https://t.co/rfDsygLDMS",geetv79,Pro OPP,pro opposition,demonetisation,"[{'text': 'plunder', 'score': 0.4404}, {'text': 'anniversary', 'score': 0.3543}, {'text': 'legalized', 'score': 0.2593}]"
3728924,"#नोटबंदी_अर्थतंत्र_की_बरसी

After 5 long years of economic ruin, destruction of our informal &amp; MSME sectors and joblessness at historic highs, who do you believe?? 

#ModiLies or real economists? 

#ModiDemonetisationScam 
#DemonetisationDisaster https://t.co/FBsDCqLm8Z",geetv79,Pro OPP,pro opposition,demonetisation,"[{'text': 'economists', 'score': 0.4568}, {'text': 'disaster', 'score': 0.302}, {'text': 'joblessness', 'score': 0.2864}]"
1118928,"India developed only after 2014.
Demonetisation strengthened Indian economy and eliminated terrorism in J&amp;K.
Chinese army did not enter Ladakh.
Govt created two crore new jobs every year since 2014
And
India leading a successful fight against Coronavirus. https://t.co/31ys5MjyNL",t_d_h_nair,Pro OPP,pro opposition,demonetisation,"[{'text': 'india', 'score': 0.5116}, {'text': 'coronavirus', 'score': 0.2208}, {'text': 'strengthened', 'score': 0.2194}]"
689443,"RBI 2018 report said demonetisation led to steep fall in households’ financial assets. This destruction of household wealth led to the unprecedented fall🔻 in consumer demand, leading to the Modi made mandi unique to India. 

#SpeakUpAgainstDeMoDisaster 

 https://t.co/QGqsPV2VYT",geetv79,Pro OPP,pro opposition,demonetisation,"[{'text': 'demonetisation', 'score': 0.4911}, {'text': 'households', 'score': 0.3338}, {'text': 'steep', 'score': 0.1082}]"
2494356,"True maut ka saudagar : 

Action                  Result

Demonetisation - Deaths
Faulty GST        -  Deaths
Lockdown         -  Deaths 
Farm laws         - Deaths 
Covid MisMgt.  - Deaths

Do you agree with me?",BhavikaKapoor5,Pro OPP,pro opposition,demonetisation,"[{'text': 'deaths', 'score': 0.5626}, {'text': 'demonetisation', 'score': 0.4274}, {'text': 'farm', 'score': 0.1477}]"
3171286,"When will India say ça suffît? What perverted bent of mind allowed you to chose a fraudulent surgical strike, instead of rejecting the devastation of Demonetisation, Job Loss, Migrant deaths, messed up GST. #COVID19 is on your poor choices. Say no to Modi’s #7YearsIndiaInTears https://t.co/WwXZSXzKgP",nandtara,Pro OPP,pro opposition,demonetisation,"[{'text': 'india', 'score': 0.396}, {'text': 'perverted', 'score': 0.2395}, {'text': 'surgical', 'score': 0.2387}]"
