source_row,tweet,original_author,tweet_label,_label_norm,keyword,subjects_scored
5351223,"Union FM Smt. @nsitharaman highlighted the need for collective attention of #G20 on energy price volatility, #inflation pressure and the impact of the geopolitical tensions on the #globaleconomy. (3/3)",FinMinIndia,Pro Ruling,pro ruling,inflation,"[{'text': 'volatility', 'score': 0.5306}, {'text': 'g20', 'score': 0.4692}, {'text': 'nsitharaman', 'score': 0.2164}]"
6378605,‘People of Gujarat can tolerate inflation but not Rohingyas living next door.. what will you do with gas cylinders? Cook fish for Bengalis?.’ @SirPareshRawal in Gujarat campaign. Vote ke liye kuch bhee bolega is the mantra! #ElectionsOnMyPlate,sardesairajdeep,Pro OPP,pro opposition,inflation,"[{'text': 'rohingyas', 'score': 0.4265}, {'text': 'inflation', 'score': 0.3902}, {'text': 'cylinders', 'score': 0.168}]"
2173310,"Inflation of expenditure and under-reporting of revenue detected. The group has also been found to be indulging in unaccounted cash payments: IT Dept on searches at Design Boxed, Campaign management company that worked for Congress in Assam and other states",arvindgunasekar,Pro OPP,pro opposition,inflation,"[{'text': 'expenditure', 'score': 0.4977}, {'text': 'detected', 'score': 0.2963}, {'text': 'congress', 'score': 0.2865}]"
8202184,"What is liberal privilege?

In developed country like Sweden, shockingly high inflation of 9.7%

Do you know who economists are blaming?

Not the govt

They are blaming Beyonce's music concert!

Imagine the mocking if someone in India tried to blame SRK for inflation",AbhishBanerj,Pro Ruling,pro ruling,inflation,"[{'text': 'liberal', 'score': 0.4684}, {'text': 'inflation', 'score': 0.4284}, {'text': 'blaming', 'score': 0.3362}]"
7805928,"#GhulamNabiAzad said people are more concerned about problems like inflation and unemployment than whether the new Parliament building will be inaugurated by the President or the Prime Minister, accusing the opposition of making unnecessary noise.
https://t.co/SHowKAq8aF",the_hindu,Pro OPP,pro opposition,inflation,"[{'text': 'inflation', 'score': 0.4107}, {'text': 'noise', 'score': 0.2968}, {'text': 'ghulam', 'score': 0.1161}]"
5806862,"Absolutely unnecessary.

Precious little will be achieved on inflation by these ill-advised rate hikes even as the MPC risks derailing India’s growth recovery process. 

RBI is better off listening to external MPC members. https://t.co/b2W994NZRo",karanbhasin95,Pro Ruling,pro ruling,inflation,"[{'text': 'inflation', 'score': 0.4849}, {'text': 'india', 'score': 0.2732}, {'text': 'listening', 'score': 0.0742}]"
8125120,🚨 India's retail inflation eases to 4.25% in May from 4.70% in April.,IndianTechGuide,Pro Ruling,pro ruling,inflation,"[{'text': 'inflation', 'score': 0.4841}, {'text': 'retail', 'score': 0.2711}, {'text': 'india', 'score': 0.1528}]"
6513797,"#LeftRightCentre | Dr Naseer Hussain (@NasirHussainINC), Congress MP, on inflation impact on the common man https://t.co/adkbQBEt7o",ndtv,Pro OPP,pro opposition,inflation,"[{'text': 'inflation', 'score': 0.6013}, {'text': 'congress', 'score': 0.292}, {'text': 'nasirhussaininc', 'score': 0.2006}]"
1542127,"31 yrs after Safdar Hashmi’s death, his legacy lives on.

A Renowned Indian artist and a communist, Safdar pioneered street theater and founded the People's Theatre Front, which became popular for plays on inflation, worker rights, women’s empowerment, communalism &amp; corruption. https://t.co/4CJRfAlORS",Advaidism,Pro OPP,pro opposition,inflation,"[{'text': 'theatre', 'score': 0.4498}, {'text': 'communist', 'score': 0.2884}, {'text': 'inflation', 'score': 0.1184}]"
2182938,"Gandhis’ #Amethi  … 

Mr @RahulGandhi &amp; Ms @priyankagandhi led a march in  #Amethi against inflation today … https://t.co/Q6nDoBqrgc",Supriya23bh,Pro OPP,pro opposition,inflation,"[{'text': 'rahulgandhi', 'score': 0.5178}, {'text': 'mr', 'score': 0.3803}, {'text': 'inflation', 'score': 0.3734}]"
7158703,Thank god Manmohan Singh is not the Prime Minister today … he would’ve got abuses by the bucketloads after these inflation numbers https://t.co/7zKjegO3ZA,TheDeshBhakt,Pro OPP,pro opposition,inflation,"[{'text': 'minister', 'score': 0.4516}, {'text': 'inflation', 'score': 0.4269}, {'text': 'bucketloads', 'score': 0.212}]"
2867148,"US inflation is at a 40 year high

Remember that Harvard economists like Jason Furman said inflation is just a ""high class problem"" -- it does not affect ordinary people

And Biden's Chief of Staff quoted this Harvard economist

Can you ever trust Harvard economists again?",AbhishBanerj,Pro Ruling,pro ruling,inflation,"[{'text': 'inflation', 'score': 0.5747}, {'text': 'trust', 'score': 0.2021}, {'text': 'furman', 'score': -0.0047}]"
5934736,"Retail inflation under NDA in range of 5.5-6.5 % &amp; crossed 6% just few times due to Covid pandemic &amp; Global factors 
Under UPA, retail inflation more than 9% in 22/28 months from Jan 2012 to April 2014-inflation even crossed double-digits 9 times due to fiscal irresponsibility",Shehzad_Ind,Pro Ruling,pro ruling,inflation,"[{'text': 'inflation', 'score': 0.6392}, {'text': 'retail', 'score': 0.3455}, {'text': 'irresponsibility', 'score': 0.1401}]"
3745722,"Projection for CPI Inflation Rate

For Q4 (Jan to March) of current FY -  5.2 % 

For H1 (First Half) - 5.2 to 5%

For Q3 of Next Year - 4.3 %

- @RBI Governor @DasShaktikanta 

#MonetaryPolicy",PIBMumbai,Pro Ruling,pro ruling,inflation,"[{'text': 'inflation', 'score': 0.6403}, {'text': 'q4', 'score': 0.3768}, {'text': 'governor', 'score': 0.139}]"
7501450,"Is this the way to reach voters in 2024? Wouldn't it be better to talk about the government's achievements on issues of employment, economy, inflation, safety, education, health, and environment to attract people?",sampitroda,Pro OPP,pro opposition,inflation,"[{'text': 'voters', 'score': 0.4874}, {'text': '2024', 'score': 0.4317}, {'text': 'employment', 'score': 0.1097}]"
96269,"BJP Manifesto Checklist in #1YearofModi2

✅- GST
✅- CAA
✅- OROP
✅- Stable Govt
✅- Triple Talaq
✅- Ram Mandir
✅- Low inflation
✅- Low corruption
✅- Surgical Strikes
✅- Isolation of Pakistan
✅- Curbing Black money
✅- Removal of Article 370
✅- De-registered 14,800 NGOs",rishibagree,Pro Ruling,pro ruling,inflation,"[{'text': 'manifesto', 'score': 0.4597}, {'text': 'pakistan', 'score': 0.3785}, {'text': '1yearofmodi2', 'score': 0.2245}]"
5342345,"The headline inflation rate based on the retail Consumer Price Index (CPI) recorded a drop from 6.77 per cent in Oct.’22 to 5.88 per cent in Nov.’22, which is an 11-month low. The drastic decline in retail inflation is mainly due to a sharp decrease in food price inflation. (1/5)",FinMinIndia,Pro Ruling,pro ruling,inflation,"[{'text': 'inflation', 'score': 0.6009}, {'text': 'drop', 'score': 0.3572}, {'text': 'retail', 'score': 0.3474}]"
1886545,"India's inflation shows sharp rise. Retail inflation 6.3%, core inflation 6.5% (highest in 83 months), wholesale inflation 12.9%. With growth at record low, this is stagflation. We mustn't live in denial. All govt expenditure should be directed to help small business &amp; the poor.",kaushikcbasu,Pro OPP,pro opposition,inflation,"[{'text': 'inflation', 'score': 0.6375}, {'text': 'india', 'score': 0.331}, {'text': 'highest', 'score': 0.2124}]"
5563987,PM Modi : Despite corona food inflation was less than 3%. Opposition used to say world conditions are responsible for inflation during their term.,NewsArenaIndia,Pro Ruling,pro ruling,inflation,"[{'text': 'inflation', 'score': 0.6042}, {'text': 'opposition', 'score': 0.2305}, {'text': 'food', 'score': 0.1967}]"
942115,"What a moment of significance. The decade in which India turned the world economic order upside down.

The decade which started dismally under Congress (low growth, high inflation, hyper corruption) but ended brilliantly under Modi.

India is NOW 5th largest economy. Ahead of UK. https://t.co/pLGPseh9Kd",amishra77,Pro Ruling,pro ruling,inflation,"[{'text': 'india', 'score': 0.4681}, {'text': 'inflation', 'score': 0.2446}, {'text': 'upside', 'score': 0.2371}]"
1389246,Retail inflation rises to 7.34% in September - The Hindu https://t.co/QqquAy0kch,gops33,Pro OPP,pro opposition,inflation,"[{'text': 'inflation', 'score': 0.5044}, {'text': 'retail', 'score': 0.3387}, {'text': 'hindu', 'score': 0.1049}]"
6072058,"Erdogan has fired Turkey's head of the statistics bureau.
The agency has published figures showing that annual inflation is 36.1%, the highest level in 19 years. I am surprised that Erdogan took so long to learn from the Indian model.",ashoswai,Pro OPP,pro opposition,inflation,"[{'text': 'inflation', 'score': 0.4782}, {'text': 'turkey', 'score': 0.3592}, {'text': 'fired', 'score': 0.2262}]"
6192621,"How much is it because of inflation and imports?

As prices rise due to inflation, GST also increases pro-rata.

Higher imports mean higher GST, as IGST is levied on imports.

Trade deficit in Sept was $26.77 billion and is expected to be in same range in Oct, earning higher GST https://t.co/LxYUuT4Ni7",gurdeepsappal,Pro OPP,pro opposition,inflation,"[{'text': 'inflation', 'score': 0.3648}, {'text': 'imports', 'score': 0.2509}, {'text': 'levied', 'score': 0.0314}]"
5664862,Today's #Protest against rising #Inflation in Patiala... https://t.co/FDvuup2mUv,sherryontopp,Pro OPP,pro opposition,inflation,"[{'text': 'protest', 'score': 0.6969}, {'text': 'inflation', 'score': 0.5568}, {'text': 'patiala', 'score': 0.3667}]"
1883624,"'Congress leader Mr @RahulGandhi hits out at Govt over rise in fuel prices in India, Says “… It's #Diwali . Inflation is at its peak. It's not a joke. I wish the Modi government had a sensitive heart for the public…” 

https://t.co/ziowhg4pJ2 via @indiatoday",Supriya23bh,Pro OPP,pro opposition,inflation,"[{'text': 'inflation', 'score': 0.4919}, {'text': 'rahulgandhi', 'score': 0.3598}, {'text': 'peak', 'score': 0.3472}]"
7523419,"Pakistan :

Has No fuel
Has No food
Has No forex
Has No Electricity
Has Inflation at 25%
Has No Money to Repay debt
Hiked key interest rate to 18%

Yet 

Pakistan ranks way higher than India on the ""Global Hunger Index"", which speaks a lot about the credibility of these indices",rishibagree,Pro Ruling,pro ruling,inflation,"[{'text': 'pakistan', 'score': 0.466}, {'text': 'debt', 'score': 0.2584}, {'text': 'index', 'score': 0.2279}]"
