source_row,tweet,original_author,tweet_label,_label_norm,keyword,subjects_scored
6260674,"Arre wah, Islamists will teach us Vedas &amp;Hindu scriptures?
You can't even read or understand your own aasmani kitab.
Hindus and Christians are now helping Muslims understand the Quran, Hadees etc
Do follow Neeraj Atri ki Islam for Dummies &amp; read Ali Sina's Understanding Mohammad https://t.co/zDVGEF6LyY",madhukishwar,Pro Ruling,pro ruling,islamists,"[{'text': 'muslims', 'score': 0.6089}, {'text': 'teach', 'score': 0.3511}, {'text': 'will', 'score': 0.1799}]"
7663409,"WATCH | After Sambhajinagar and Vadodara, Islamists attacked #RamNavami procession in #Howrah; vehicles torched. Police personnel on the spot. https://t.co/XlklZ1FpFk",eOrganiser,Pro Ruling,pro ruling,islamists,"[{'text': 'islamists', 'score': 0.5863}, {'text': 'torched', 'score': 0.2965}, {'text': 'vehicles', 'score': 0.2003}]"
4454839,Ask any Rana or Arfa or Rathee - this is #FakeNews. Any negative news about #Islamists is fake and hate news. 😕 https://t.co/vVls2MSgvN,RatanSharda55,Pro Ruling,pro ruling,islamists,"[{'text': 'islamists', 'score': 0.6925}, {'text': 'fake', 'score': 0.3008}, {'text': 'negative', 'score': 0.2365}]"
5453437,"This is the reality of #KeralaModel , Commies dancing to the tune of Islamists. 
After PFI Complains, Durga Vahini Activists Charged Under Non Bailable Offences by Kerala Police for Organising a Rally via @eOrganiser https://t.co/HUY0hEmErJ",prafullaketkar,Pro Ruling,pro ruling,islamists,"[{'text': 'islamists', 'score': 0.5105}, {'text': 'organising', 'score': 0.325}, {'text': 'charged', 'score': 0.3237}]"
4351751,"‘Sooar ki paidayish’: Islamists abuse Congress leader Udit Raj, his mother and sister after he says Afghanistan women have been imprisoned in Burkha
https://t.co/ouIPAcu510",OpIndia_com,Pro Ruling,pro ruling,islamists,"[{'text': 'islamists', 'score': 0.6506}, {'text': 'imprisoned', 'score': 0.3467}, {'text': 'sister', 'score': 0.2231}]"
3323289,"Rihanna gets cancelled by Islamists for saying that Israeli and Palestinian lives are equal

https://t.co/fsIHbRKUVR",OpIndia_com,Pro Ruling,pro ruling,islamists,"[{'text': 'palestinian', 'score': 0.4516}, {'text': 'cancelled', 'score': 0.3271}, {'text': 'lives', 'score': 0.0855}]"
250678,There are no communists in India only Islamists!,Abhina_Prakash,Pro Ruling,pro ruling,islamists,"[{'text': 'islamists', 'score': 0.6011}, {'text': 'india', 'score': 0.3183}, {'text': 'only', 'score': 0.1821}]"
7880275,"Liberals and Islamists outrage against Himanta Biswa Sarma: How he was right and those outraging seem to be fighting for Jihadis’ dream to tear India apart

https://t.co/oJ3IFl5exr",OpIndia_com,Pro Ruling,pro ruling,islamists,"[{'text': 'jihadis', 'score': 0.6249}, {'text': 'india', 'score': 0.4437}, {'text': 'liberals', 'score': 0.3271}]"
5310004,"@vonbrauckmann @NupurSharmaBJP More than #Islamists, the threat to free speech in #India is from their “liberal” simps. #Islamimps",RanvirShorey,Pro Ruling,pro ruling,islamists,"[{'text': 'islamists', 'score': 0.5778}, {'text': 'india', 'score': 0.3616}, {'text': 'free', 'score': 0.1893}]"
2783235,"Morocco’s liberal RNI party has won most seats in the country’s parliamentary elections followed by another liberal party, PAM, while co-ruling moderate PJD Islamists suffered a crushing defeat, preliminary results showed on Thursday.

https://t.co/K0Oi8cFnO1",thewire_in,Pro OPP,pro opposition,islamists,"[{'text': 'morocco', 'score': 0.4515}, {'text': 'elections', 'score': 0.3467}, {'text': 'seats', 'score': 0.2103}]"
