source_row,tweet,original_author,tweet_label,_label_norm,keyword,subjects_scored
7510830,"#Kalanjali presented a unique spectacle where the patriotic tunes of ""दिल दिया है जान भी देंगे ऐ वतन तेरे लिए "" performed by the #CISF Brass Band at Central Vista, India Gate filled the hearts of every spectator with joy, pride &amp; glory. (1/2)

#CultureUnitesAll #AmritMahotsav https://t.co/BaPjPnE14s",MinOfCultureGoI,Pro Ruling,pro ruling,mahotsav,"[{'text': 'india', 'score': 0.4641}, {'text': 'pride', 'score': 0.4368}, {'text': 'tunes', 'score': 0.4005}]"
6790157,"Watch Live Coverage of the “Chief of Army Staff Annual Press Conference 2022” being conducted virtually, due to COVID pandemic, from 2 pm onwards on 12 Jan 22 on YouTube Channel ""ADGPI-INDIANARMY"".

#IndianArmy
#ArmyDay
#AmritMahotsav https://t.co/geEypKXxiB",adgpi,Pro Ruling,pro ruling,mahotsav,"[{'text': 'conference', 'score': 0.4304}, {'text': 'youtube', 'score': 0.2898}, {'text': 'indian', 'score': 0.2504}]"
6869343,"On the 73rd Republic Day Parade at Rajpath in Delhi,  Gujarat's Tableau exhibited the Freedom Movement of the Tribals in 1922. 

#AmritMahotsav 
#AzadiKaAmritMahotsav https://t.co/Bzi7loUQ4e",TribalAffairsIn,Pro Ruling,pro ruling,mahotsav,"[{'text': 'tribals', 'score': 0.525}, {'text': 'parade', 'score': 0.5037}, {'text': 'freedom', 'score': 0.3509}]"
5343959,"Team Dharohar thanks Hon’ble FM @nsitharaman for dedicating #CBICधरोहर to the nation. 

#AmritMahotsav 
#FinMinIconicWeek https://t.co/2a0I3R7x29",cbic_india,Pro Ruling,pro ruling,mahotsav,"[{'text': 'nsitharaman', 'score': 0.5927}, {'text': 'team', 'score': 0.3289}, {'text': 'fm', 'score': 0.2824}]"
3370513,"@CimGOI @PiyushGoyal @GJEPCIndia @raosaheboffice @Subhash_Desai @iAditiTatkare @micnewdelhi @FollowCII @ficci_india @ASSOCHAM4India @raosahebdanve @investindia @startupindia @TheOfficialSBI @BankofIndia_IN @AmritMahotsav @DIPPGOI @MahaDGIPR @IMC_India @PiyushGoyalOffc @DoC_GoI @PIB_India Union Minister @raosahebdanve and State Ministers @Subhash_Desai and @iAditiTatkare visiting the export exhibition set up at #VanijyaUtsav Export Conclave, Showcasing India as a Rising Economic Force, in Mumbai

#AzadiKaAmritMahotsav https://t.co/79358vji0T",PIBMumbai,Pro Ruling,pro ruling,mahotsav,"[{'text': 'india', 'score': 0.6756}, {'text': 'conclave', 'score': 0.2079}, {'text': 'doc_goi', 'score': 0.1744}]"
1983922,"RSS Chief @DrMohanBhagwat hoisted Tricolour to celebrate 75th #IndiaIndependenceDay at IES Raja Shivaji Vidyalaya in #Mumbai 

#IndiaAt75 #AzadiKaAmritMahotsav https://t.co/5tlmwdQJ5G",DDNewslive,Pro Ruling,pro ruling,mahotsav,"[{'text': 'tricolour', 'score': 0.4592}, {'text': 'celebrate', 'score': 0.3873}, {'text': 'drmohanbhagwat', 'score': 0.3762}]"
6179606,#KnowYourTiranga protocol: The National Flag must never be put on the ground. Our Flag is our pride &amp; should always fly high!  🇮🇳 #AmritMahotsav #HarGharTiranga #MomentsWithTiranga https://t.co/Wokmotu2Qk,PIBHomeAffairs,Pro Ruling,pro ruling,mahotsav,"[{'text': 'flag', 'score': 0.636}, {'text': 'india', 'score': 0.3596}, {'text': 'argh', 'score': 0.3133}]"
5532733,We must remember n respect  #PingaliVenkayya who designed our #Tiranga. By d same sentiment we must also respect n remember #Nehru who unfurled it d first time at #RedFort #AmritMahotsav,VinodSharmaView,Pro OPP,pro opposition,mahotsav,"[{'text': 'nehru', 'score': 0.477}, {'text': 'ping', 'score': 0.2507}, {'text': 'unfurled', 'score': 0.2257}]"
7409067,"Prime Minister @narendramodi to chair meeting of Chief Ministers and Deputy Chief Ministers on #AzadiKaAmritMahotsav in New Delhi today. 

#AmritMahotsav     

File Photo https://t.co/RzUyUzupuw",airnewsalerts,Pro Ruling,pro ruling,mahotsav,"[{'text': 'ministers', 'score': 0.4766}, {'text': 'narendramodi', 'score': 0.4035}, {'text': 'chair', 'score': 0.3052}]"
6507344,"Country observes #ShaheedDiwas today. On 23rd March 1931, Bhagat Singh, Rajguru and Sukhdev were hanged to death. 

📸Nehru Yuva Kendra Sangathan to observe #ShaheedDiwas in all 623 Districts across country as part of #AzadiKaAmritMahotsav https://t.co/UqZvQTfnfy",airnewsalerts,Pro Ruling,pro ruling,mahotsav,"[{'text': 'shaheed', 'score': 0.5662}, {'text': 'hanged', 'score': 0.3212}, {'text': 'districts', 'score': 0.2154}]"
