source_row,tweet,original_author,tweet_label,_label_norm,keyword,subjects_scored
534695,"Delhi Minorities Commission Chairman stands by his comments threatening Hindus, claims he is fighting to save the country and Constitution
https://t.co/yoiWthiqMO",OpIndia_com,Pro Ruling,pro ruling,minorities,"[{'text': 'hindus', 'score': 0.3842}, {'text': 'threatening', 'score': 0.2609}, {'text': 'chairman', 'score': 0.2534}]"
3429997,The irony of National Security Adviser of Islamic Republic of Pakistan talking about rise of ‘Hindu Rashtra’. He forgets that in his country minorities can be counted on fingers of a single hand. https://t.co/b9jr51mqIB,sunandavashisht,Pro Ruling,pro ruling,minorities,"[{'text': 'fingers', 'score': 0.4768}, {'text': 'pakistan', 'score': 0.4362}, {'text': 'minorities', 'score': 0.4092}]"
5388895,"Scare-mongering by some is done among so-called minorities that there is a danger to them because of us or organised Hindus. This is neither the nature of Sangh nor of Hindus.  Sangh has a steely resolve to stand on the side of brotherhood, amity and peace. #RSSVijayadashami2022",RSSorg,Pro Ruling,pro ruling,minorities,"[{'text': 'hindus', 'score': 0.5866}, {'text': 'scare', 'score': 0.427}, {'text': 'brotherhood', 'score': 0.2886}]"
4624021,"#Watch: Hamid Ansari could not give a straight answer when asked about minorities &amp; why they feel insecure in India.

#HamidAnsari https://t.co/5Rb95Ixv97",knowthenation,Pro Ruling,pro ruling,minorities,"[{'text': 'minorities', 'score': 0.4702}, {'text': 'ansari', 'score': 0.4669}, {'text': 'insecure', 'score': 0.4354}]"
5494416,"In my opinion, Kejriwal and AAP will always prove to be worse than BJP. They will treat the minorities, women, poor and marginalised worse than BJP. If you are against BJP, you should be more against AAP.",AudaciousQuest_,Pro OPP,pro opposition,minorities,"[{'text': 'worse', 'score': 0.355}, {'text': 'minorities', 'score': 0.2385}, {'text': 'will', 'score': 0.1226}]"
5468462,"""It has become abundantly clear what PM Modi and his colleagues really mean by their slogan 'maximum governance, minimum government.' It means targeting and brutalising minorities..."": Congress President Sonia Gandhi at the #CongressChintanShivir https://t.co/g6LPvpTO5z",ndtv,Pro OPP,pro opposition,minorities,"[{'text': 'governance', 'score': 0.4583}, {'text': 'minorities', 'score': 0.3445}, {'text': 'brutalising', 'score': 0.3214}]"
7214445,Minorities in Gujarat protested👇against AIMIM with slogans &amp; black flags. https://t.co/Isq8MEhzjV,geetv79,Pro OPP,pro opposition,minorities,"[{'text': 'protested', 'score': 0.5824}, {'text': 'gujarat', 'score': 0.4117}, {'text': 'black', 'score': 0.3418}]"
5553963,"“In an index of societal discrimination against minorities compiled by Bar Ilan University in Israel, India scores worse than Saudi Arabia and no better than Iran.”
https://t.co/xoKSgS6BWa  https://t.co/xoKSgS6BWa",DilliDurAst,Pro OPP,pro opposition,minorities,"[{'text': 'discrimination', 'score': 0.4905}, {'text': 'worse', 'score': 0.4471}, {'text': 'india', 'score': 0.3349}]"
2776247,"In 'State Persecution of Minorities and Underprivileged in India', N.C. Asthana provides his perception of how India's constitutional system is working. | Retd. Justice J. Chelameswar

https://t.co/YJfsOg2FK4",thewire_in,Pro OPP,pro opposition,minorities,"[{'text': 'india', 'score': 0.4757}, {'text': 'justice', 'score': 0.4684}, {'text': 'underprivileged', 'score': 0.4184}]"
6875629,"The Kashmir Pandit Sangarash Samiti (KPSS) has sought the intervention of #JammuandKashmir and #Ladakh High Court to direct the govt to relocate all religious minorities living in Kashmir to a safer place outside the Valley.
https://t.co/Tmp1YT52ZY",TheQuint,Pro OPP,pro opposition,minorities,"[{'text': 'kashmir', 'score': 0.3705}, {'text': 'relocate', 'score': 0.3559}, {'text': 'kpss', 'score': 0.2818}]"
1875063,"In Bangladesh, while the majority community is taking processions against fundamentalist attacks on minority community in the country, in Tripura, India majority community taking processions to attack minorities and their places of worship! https://t.co/MK8UThFBLm",ashoswai,Pro OPP,pro opposition,minorities,"[{'text': 'minority', 'score': 0.559}, {'text': 'india', 'score': 0.3132}, {'text': 'attack', 'score': 0.2423}]"
7923684,"Former United States President #BarackObama, on 22 June, said President #JoeBiden should raise issues of “protection of Muslim minorities in a majority Hindu India” during his interactions with PM #NarendraModi. @PranTxt writes. https://t.co/x6JNYuMsYY",TheQuint,Pro OPP,pro opposition,minorities,"[{'text': 'obama', 'score': 0.4102}, {'text': 'india', 'score': 0.2273}, {'text': 'raise', 'score': 0.1638}]"
3395315,"#IndiaNeedsCAA | All CAA says is that you get citizenship by two counts - by being born in India or by naturalisation. All Modi govt is saying is in case of persecuted minorities, naturalisation will be expedited: Sanju Verma, National Spokesperson, BJP https://t.co/NWgtMkjnrK https://t.co/IkSvwmSXOT",republic,Pro Ruling,pro ruling,minorities,"[{'text': 'india', 'score': 0.4849}, {'text': 'citizenship', 'score': 0.4569}, {'text': 'caa', 'score': 0.4164}]"
8063135,"The Sangh has nothing to do with this, blame this only on the BJP which is ever ready to throw Hindus under the bus to appease violent minorities just to secure temporary peace. https://t.co/3wefGVulac",AsYouNotWish,Pro Ruling,pro ruling,minorities,"[{'text': 'hindus', 'score': 0.5723}, {'text': 'bus', 'score': 0.148}, {'text': 'nothing', 'score': 0.0846}]"
7893943,"@Jairam_Ramesh Modi’s formula resembles Turkish President Recep Tayyip Erdoğan’s. Besides authoritarian tendencies, it emphasizes religious identity and the marginalization of minorities, demonization of secular cosmopolitanism, and hyper-nationalism. https://t.co/FRIarswj6E",INCTharoorian,Pro OPP,pro opposition,minorities,"[{'text': 'nationalism', 'score': 0.4955}, {'text': 'demonization', 'score': 0.4498}, {'text': 'formula', 'score': 0.261}]"
5519268,"Gotabaya Rajapaksa needs to be taken to International Criminal Court in the Hague. This will be an important step toward peace &amp; reconciliation in Sri Lanka &amp; will send an important message to the South Asian dictators, who are engaged in committing mass killings of minorities.",ashoswai,Pro OPP,pro opposition,minorities,"[{'text': 'sri', 'score': 0.3459}, {'text': 'court', 'score': 0.3455}, {'text': 'dictators', 'score': 0.2779}]"
3664646,"Well said. Though clueless global publications like Nytimes are writing that “violence against minorities” are on the rise in Southeast Asia. The truth is, a Pan Islamist agenda has been at work for many years now. The ‘Hindu communalism’ in India is largely a reaction to that https://t.co/jPsoAWHgXk",swati_gs,Pro Ruling,pro ruling,minorities,"[{'text': 'islamist', 'score': 0.5272}, {'text': 'india', 'score': 0.3422}, {'text': 'writing', 'score': 0.1755}]"
3196724,"Modi in UNGA speech says Afghanistan women children minorities need help from world. We must all rise to help. 
Our oceans should not be used for expansion and exclusion says Modi. Doesn't mention China but it is clear where his direction is.
UNGA reliability/relevance comes up. https://t.co/Z04TJb7Thk",smitaprakash,Pro Ruling,pro ruling,minorities,"[{'text': 'afghanistan', 'score': 0.432}, {'text': 'minorities', 'score': 0.3228}, {'text': 'oceans', 'score': 0.1873}]"
6300578,"Breaking - NawabMalik, NCP leader and Minorities Development Minister of Maharashtra remanded to Enforcement Directorate's custody till March 3. 

#NawabMalik",LiveLawIndia,Pro OPP,pro opposition,minorities,"[{'text': 'remanded', 'score': 0.5392}, {'text': 'nawab', 'score': 0.4819}, {'text': 'minorities', 'score': 0.1857}]"
5419364,"#LeftRightCentre | ""The anti-conversion law is religion-neutral. If anybody tries to convert someone from one religion to another using fraudulent means, then it is a punishable crime,"" says Political Analyst Desh Ratan Nigam (@drnigam15) on violence against minorities. https://t.co/9F8Li7tGTv",ndtv,Pro OPP,pro opposition,minorities,"[{'text': 'punishable', 'score': 0.4413}, {'text': 'minorities', 'score': 0.3476}, {'text': 'convert', 'score': 0.3469}]"
3703264,Put your hate for minorities aside &amp; think for a moment why four Indian billionaires went all out to project Narendra Modi as PM. They &amp; the media knew the shady lies on degrees &amp; marital status. Who benefited?,bainjal,Pro OPP,pro opposition,minorities,"[{'text': 'billionaires', 'score': 0.4052}, {'text': 'indian', 'score': 0.3276}, {'text': 'hate', 'score': 0.1234}]"
6548310,"Excellent must-read piece👌by @abhijitmajumder on the latest template of Hinduph0bia where one talks about ⬆️ h@te crimes against minorities in Modi’s India,without a shred of evidence while Modiji’s schemes have touched the lives of so many Muslims too
https://t.co/CSGtbzLUMx",pallavict,Pro Ruling,pro ruling,minorities,"[{'text': 'hinduph0bia', 'score': 0.5944}, {'text': 'crimes', 'score': 0.4546}, {'text': 'minorities', 'score': 0.4246}]"
130993,"Apologist speaking notes

1 #FranceBeheading is not about Islam - AL Jajeera 

2 Killer was  mentally unstable - BBC

3 The Killer has no religion - CNN

4 ""Minorities"" fear backlash - The Time

5  Misguided Youths - The WaPo

6 Right Forces will gain from #NiceAttack - Liberals",rishibagree,Pro Ruling,pro ruling,minorities,"[{'text': 'islam', 'score': 0.4456}, {'text': 'liberals', 'score': 0.3754}, {'text': 'fear', 'score': 0.2533}]"
1873984,"Those Who Attacked Hindu Temples ""Will Be Hunted Down"": Bangladesh PM

Kudos to Sheikh Hasina. Not many prime ministers speak up for religious minorities these days. They’d rather look away and harvest the violence for votes. 
https://t.co/6r0gAS56XK",DilliDurAst,Pro OPP,pro opposition,minorities,"[{'text': 'bangladesh', 'score': 0.4784}, {'text': 'ministers', 'score': 0.3497}, {'text': 'attacked', 'score': 0.2686}]"
1752455,"In the latest episode of 'Last Week Tonight', host John Oliver said, ""since Modi came to power there has been an overall rise in attacks against minorities. And it is incredibly depressing to see India heading in this direction."" 
https://t.co/akb51DBI8H",TheQuint,Pro OPP,pro opposition,minorities,"[{'text': 'india', 'score': 0.4426}, {'text': 'depressing', 'score': 0.3673}, {'text': 'attacks', 'score': 0.3668}]"
6041059,Now Minorities can’t even swindle money and con people under fascist Modi https://t.co/acYuVXQ21r,rishibagree,Pro Ruling,pro ruling,minorities,"[{'text': 'fascist', 'score': 0.4901}, {'text': 'minorities', 'score': 0.4774}, {'text': 'money', 'score': 0.2468}]"
6492713,"fascinating that #RishiSunak, Indian origin minority of colour and faith should be British PM. It’s also the moment for us to reflect on our declining minority representation and increasing verbal and physical attacks on minorities. Very different from the land that once ruled us",_sabanaqvi,Pro OPP,pro opposition,minorities,"[{'text': 'minorities', 'score': 0.5838}, {'text': 'british', 'score': 0.3861}, {'text': 'sun', 'score': 0.3268}]"
