source_row,tweet,original_author,tweet_label,_label_norm,keyword,subjects_scored
830907,Brilliant speech by @M_Lekhi Mam where she gave point by point rebuttal to opposition charges on #DelhiRiots2020 https://t.co/rXMspB0U77,rishibagree,Pro Ruling,pro ruling,msp,"[{'text': 'speech', 'score': 0.4991}, {'text': 'delhi', 'score': 0.3691}, {'text': 'charges', 'score': 0.2389}]"
361340,Congress Gen Secy Ms @priyankagandhi to lead UP Congress delegation in order to file a complaint with National Human Rights Commission (NHRC) tomorrow... Sources say petition will be filed “against the action of state police on protesters during demonstrations against #CAA_NRC” https://t.co/v5UoiVpA5A,Supriya23bh,Pro OPP,pro opposition,msp,"[{'text': 'protesters', 'score': 0.4717}, {'text': 'congress', 'score': 0.4404}, {'text': 'order', 'score': 0.0836}]"
142842,"The Kerala government is set to introduce a minimum support price (MSP) for 16 vegetables, starting from November 1.

https://t.co/cLzydh0IhJ",IndianExpress,Pro OPP,pro opposition,msp,"[{'text': 'vegetables', 'score': 0.3873}, {'text': 'price', 'score': 0.2498}, {'text': 'government', 'score': 0.1457}]"
765495,"Who would believe the verbal assurance of MSP of the government which despite being written in the GST law, can refuse to give rightful share of GST revenue to state governments ?

#SpeakUpForFarmers",BhavikaKapoor5,Pro OPP,pro opposition,msp,"[{'text': 'government', 'score': 0.364}, {'text': 'farmers', 'score': 0.1816}, {'text': 'share', 'score': 0.0005}]"
6797186,"Nine cops, one civilian injured as Muslims pelt stones, commit arson in Sweden over anti-immigration activists’ plan to burn a copy of the Quran.

Country’s PM says, “People expressing their good or bad opinions is part of democracy. No matter what, violence won’t be tolerated.”",AsYouNotWish,Pro Ruling,pro ruling,msp,"[{'text': 'muslims', 'score': 0.4367}, {'text': 'cops', 'score': 0.3393}, {'text': 'arson', 'score': 0.3362}]"
1186177,"Cabinet Committee on Economic Affairs approves the increase in the Minimum Support Prices (MSPs) for all mandated Kharif crops for marketing season 2020-21.
#CabinetDecisions",DDNewslive,Pro Ruling,pro ruling,msp,"[{'text': 'msps', 'score': 0.357}, {'text': 'prices', 'score': 0.3072}, {'text': 'crops', 'score': 0.2907}]"
8146151,⚡Congress slams PM Modi for not meeting people in strife-torn Manipur before US visit | Deccan Herald - https://t.co/JakbYZi8Yn,BhavikaKapoor5,Pro OPP,pro opposition,msp,"[{'text': 'manipur', 'score': 0.2961}, {'text': 'meeting', 'score': 0.276}, {'text': 'congress', 'score': 0.1865}]"
229944,"As on 10 Aug, only 1.1 crore #farmers had enrolled #PMFBY &amp; another 2.45 lakh under WBCIS during this kharif, against 1.87 Cr &amp; 15.23 lakh, in 2019

Delayed payments, poor implementation, no accountability of insurance Co's, 8 States not opting for PMFBY; seems PMFBY fizzling out https://t.co/EmloDpQ8jE",ramanmann1974,Pro OPP,pro opposition,msp,"[{'text': 'pmfby', 'score': 0.4289}, {'text': 'farmers', 'score': 0.3588}, {'text': 'insurance', 'score': 0.3125}]"
37356,"Answers to some of the questions being raised after the passage of the  #FarmBill2020.

1) If MSP will stay why not write it in the bill?

Because MSP has always been an administrative mechanism and NOT legislative. This allows flexibility to increase it as and when needed. 1/10",amishra77,Pro Ruling,pro ruling,msp,"[{'text': 'farmbill2020', 'score': 0.4253}, {'text': 'legislative', 'score': 0.2915}, {'text': 'stay', 'score': 0.2009}]"
535970,"Latest Update:
7 states CMs may go to Supreme Court to postpone the exams. Meeting still going on....

#HealthBeforeExams
#PostponeJEE_NEETinCOVID 
#PostponeNEETJEE_Today https://t.co/rMv6LbKPHb",LicypriyaK,Pro OPP,pro opposition,msp,"[{'text': 'postpone', 'score': 0.4987}, {'text': 'supreme', 'score': 0.3885}, {'text': 'exams', 'score': 0.3299}]"
3410677,"@INCIndia Had Problems with PM @narendramodi 's Photo on Vaccination Certificate, But Party is OK with Chhattisgarh Congress CM’s Photo on Vaccination Certificate. Hypocrisy is mastered by the dynastic party.  https://t.co/WVWis0nuhY via @eOrganiser",prafullaketkar,Pro Ruling,pro ruling,msp,"[{'text': 'incindia', 'score': 0.4373}, {'text': 'vaccination', 'score': 0.3847}, {'text': 'hypocrisy', 'score': 0.2935}]"
1406272,INPUT : Govt has agreed on MSP but Now Farmer leaders wants complete role back of Farm Laws,MeghUpdates,Pro Ruling,pro ruling,msp,"[{'text': 'farm', 'score': 0.4742}, {'text': 'leaders', 'score': 0.3523}, {'text': 'back', 'score': 0.1433}]"
7756574,"In 2009 The MSP on sugar cane was Rs 108 But sugar was sold at Rs 42/kg.

In 2023 The MSP on Sugarcane is Rs 330 yet sugar is sold at Rs 40/kg

Farmers are happy on getting 3x MSP.
Consumers are happy as they have to pay less for sugar

This is how Modi helped farmers &amp; consumers",rishibagree,Pro Ruling,pro ruling,msp,"[{'text': 'sugarcane', 'score': 0.5727}, {'text': '330', 'score': 0.1978}, {'text': 'pay', 'score': 0.1785}]"
2320886,"""Our cricket team, after initial setbacks made a grand comeback, winning the series in Australia. The hard work and teamwork of our players is inspirational.""

- PM Shri Narendra Modi.

#MannKiBaat #MKBQuotes https://t.co/B2MsPFY8wt",mannkibaat,Pro Ruling,pro ruling,msp,"[{'text': 'cricket', 'score': 0.5452}, {'text': 'inspirational', 'score': 0.4704}, {'text': 'setbacks', 'score': 0.3376}]"
648535,"The amount will flow to the account of the beneficiaries, held in destination banks, through the accredited bank of Department and sponsoring bank of the State/UT, using PFMS portal.
#PMKisan @nstomar @PRupala @KailashBaytu @nstomar @PMOIndia",AgriGoI,Pro Ruling,pro ruling,msp,"[{'text': 'bank', 'score': 0.5761}, {'text': 'beneficiaries', 'score': 0.5514}, {'text': 'pfms', 'score': 0.3275}]"
