source_row,tweet,original_author,tweet_label,_label_norm,keyword,subjects_scored
6011591,"President of India is pleased to appoint Justice Vipin Sanghi, the senior-most Judge of Delhi High Court to perform the duties of the office of Chief Justice of that High Court

@rashtrapatibhvn 

Read more: https://t.co/Yx2UslUAOX",PIB_India,Pro Ruling,pro ruling,sangh,"[{'text': 'appoint', 'score': 0.4514}, {'text': 'india', 'score': 0.2705}, {'text': 'high', 'score': 0.1115}]"
7827775,Samvidhan Bachao Sanghalp Satyagraha at Rajghat by @INCIndia ❤️ https://t.co/uam4UxvloS,vijaythottathil,Pro OPP,pro opposition,sangh,"[{'text': 'satyagraha', 'score': 0.6389}, {'text': 'incindia', 'score': 0.4452}, {'text': 'at', 'score': 0.3439}]"
5514773,"Even the 5 star Sanghis are riled up coz in my show I said-
if the BJP is defeated in this election, it’ll also be a defeat of the big money,big media,divisive propaganda; an indication of the revival of democracy &amp; restoration of constitutional order in UP.
Sach kadva hota hai!",khanumarfa,Pro OPP,pro opposition,sangh,"[{'text': 'defeat', 'score': 0.4805}, {'text': 'election', 'score': 0.438}, {'text': 'propaganda', 'score': 0.3948}]"
2549281,"Hello friends,it’s been a week since we have started online medical consultation

Happy to share we have empaneled few more docs,request everyone to avail our services &amp;spread the word

Pl direct your queries to @ProSevaSangh 

Please amplify🙏

@SheetalPronamo 
@CharanProNamo https://t.co/gMi05JUTfO",Pronamotweets,Pro Ruling,pro ruling,sangh,"[{'text': 'medical', 'score': 0.4907}, {'text': 'empaneled', 'score': 0.2931}, {'text': 'online', 'score': 0.2556}]"
3168376,"#JholaUthaoModiji will fall on deaf ears &amp; a shameless heart 

He will be packed off by his bosses in RSS when he has implemented their anti-democratic agenda
 
His replacement will be another, more brazen Sanghi who will have no need to pretend as he still has to do after 7 yrs.",geetv79,Pro OPP,pro opposition,sangh,"[{'text': 'sanghi', 'score': 0.491}, {'text': 'deaf', 'score': 0.3606}, {'text': 'democratic', 'score': 0.2111}]"
502085,Attempts by the Left to portray the puja as triumph only of Sangh is to reduce Ram to status of a factional leader. Construction of a #RamMandir is the shared dream of a billion. | @BJP4India @RSSorg @INCIndia @cpimspeak @narendramodi @PMOIndia | #MandirBhumiPuja,RShivshankar,Pro Ruling,pro ruling,sangh,"[{'text': 'ram', 'score': 0.5163}, {'text': 'leader', 'score': 0.3496}, {'text': 'left', 'score': 0.2862}]"
2905847,US Acting Ambassador Mr. Atul Keshap cordially met RSS SarSanghchalak Dr Mohan Bhagwat ji. https://t.co/Md8cmiut8R,friendsofrss,Pro Ruling,pro ruling,sangh,"[{'text': 'ambassador', 'score': 0.4663}, {'text': 'rss', 'score': 0.1841}, {'text': 'cordially', 'score': 0.1003}]"
73741,"Every since Rekha Sharma was exposed as a sanghi misogynist troll last night, @NCWIndia has disabled comments on its tweets.

Meanwhile, another reminder to @smritiirani to sack Rekha Sharma.

Don’t force us to go to court. Do your job for once &amp; prioritize women over your party.",SaketGokhale,Pro OPP,pro opposition,sangh,"[{'text': 'rekha', 'score': 0.5306}, {'text': 'misogynist', 'score': 0.4724}, {'text': 'tweets', 'score': 0.3033}]"
222091,"The highest result of education is tolerance.
-Helen Keller

PS: Sanghis are uneducated.",DeekshaNRaut,Pro OPP,pro opposition,sangh,"[{'text': 'uneducated', 'score': 0.6546}, {'text': 'tolerance', 'score': 0.5489}, {'text': 'highest', 'score': 0.1506}]"
7519766,"Shared some lighter moments at ""Chai Pe Charcha"" with Home Minister Shri @sanghaviharsh ji at my ancestral home. https://t.co/Gh3C4HwhrU",dhaval241086,Pro Ruling,pro ruling,sangh,"[{'text': 'chai', 'score': 0.5565}, {'text': 'home', 'score': 0.3712}, {'text': 'lighter', 'score': 0.2994}]"
476112,"Remember when Congress launched #QuitIndiaMovement , Savarakar and other sanghi cowards opposed it. 

Yes same savarakar who advocated R@pe as a political tool. 
Name and Shame them for their cowardice and for propagating hindutva filth https://t.co/I29oQhyx01",yippeekiyay_dk,Pro OPP,pro opposition,sangh,"[{'text': 'hindutva', 'score': 0.5156}, {'text': 'cowards', 'score': 0.3444}, {'text': 'congress', 'score': 0.2846}]"
5329730,Eidgah ground pe garba organise kar ke Ganga-Jamuni tehzeebians should show how big their hearts are to these hateful Sanghis.,nirwamehta,Pro Ruling,pro ruling,sangh,"[{'text': 'tehzeebians', 'score': 0.4546}, {'text': 'hateful', 'score': 0.4411}, {'text': 'hearts', 'score': 0.4225}]"
910874,Sanghi            Vs           Leftist https://t.co/aRhViccaP2 https://t.co/ehc03vrVN5,rishibagree,Pro Ruling,pro ruling,sangh,"[{'text': 'leftist', 'score': 0.606}, {'text': 'sanghi', 'score': 0.5235}, {'text': 'vs', 'score': 0.3956}]"
665624,"Sangh Parivar is busy spreading #CommunalVirus with religious profiling,identifying Hindu shops👇 with saffron flags

This is how a BJP-RSS Govt ""works""

After Nero's Gujarat massacre &amp; the recent Delhi violence, what are Sanghis plotting in Bengaluru?

 https://t.co/GMcrQTx6wJ",geetv79,Pro OPP,pro opposition,sangh,"[{'text': 'hindu', 'score': 0.6106}, {'text': 'virus', 'score': 0.3465}, {'text': 'saffron', 'score': 0.1854}]"
4624487,"Prime Minister @narendramodi pays homage to Jagannathrao Joshi, a senior leader of the Bharatiya Jana Sangh and Bharatiya Janata Party, on his 101st birth anniversary.",airnewsalerts,Pro Ruling,pro ruling,sangh,"[{'text': 'narendramodi', 'score': 0.5049}, {'text': 'anniversary', 'score': 0.4328}, {'text': 'birth', 'score': 0.2667}]"
4828460,The grotesque irony of the Sanghis 'lecturing about India's freedom struggle and sacrifice' is really something else. https://t.co/pvGQbKQbDz,INCTharoorian,Pro OPP,pro opposition,sangh,"[{'text': 'irony', 'score': 0.4849}, {'text': 'india', 'score': 0.4841}, {'text': 'freedom', 'score': 0.28}]"
8197565,"See from webpage of US national archives

Even in 1789, just 6% of US population could vote.

Ganasanghas were 2000 years older than that! https://t.co/74jL5ORGwn",AbhishBanerj,Pro Ruling,pro ruling,sangh,"[{'text': 'vote', 'score': 0.4388}, {'text': 'ganasanghas', 'score': 0.2322}, {'text': 'archives', 'score': 0.2267}]"
7336042,"Indian Passport rankings have been slipped by 14 places from 2014. Sanghi are celebrating this by spreading misinformation.

That's why people call them Anti-nationals.",saraf_pankaj,Pro OPP,pro opposition,sangh,"[{'text': 'passport', 'score': 0.4491}, {'text': 'indian', 'score': 0.3906}, {'text': 'misinformation', 'score': 0.3061}]"
3415919,"List 14

@shiva23109
@Fight4TrueIndia
@sanghism
@user4917_49
@sanghisuperhero
@Sanghi_wrath
@rajamaka
@sanghiDEXTER
@damn_sanghi
@Sassy_Hindu
@Kavita_M57
@kavitagupta21
@KavitaS57614104
@ItsPanditGirl1
@DrSurabhiS_
@SharmaAartiii
@AbhiSharma___
@Amrish2803
@iVimalPandey",FltLtAnoopVerma,Pro Ruling,pro ruling,sangh,"[{'text': 'sanghi_wrath', 'score': 0.6927}, {'text': 'user4917_49', 'score': 0.399}, {'text': 'list', 'score': 0.2509}]"
8272746,@umeshk1881 @RSSorg @friendsofrss @AjaatShatrruu @swapniltk @TheRSS_Piyussh @MatruBhakt @VidarbhaPutra @iNishant4 @CAPratikKarpe @malhar_pandey @SanghParivarOrg 👍👍👍That’s RSS mentality,pallavict,Pro Ruling,pro ruling,sangh,"[{'text': 'rssorg', 'score': 0.674}, {'text': 'friendsofrss', 'score': 0.4519}, {'text': 'vidarbhaputra', 'score': 0.3295}]"
5899345,"Every Sanghi without exception, has contempt for peace &amp; human lives.

#AAPisBJP 
#BJPkiAAP https://t.co/EllvDpOGFj",geetv79,Pro OPP,pro opposition,sangh,"[{'text': 'sanghi', 'score': 0.5319}, {'text': 'peace', 'score': 0.5239}, {'text': 'contempt', 'score': 0.406}]"
