source_row,tweet,original_author,tweet_label,_label_norm,keyword,subjects_scored
3577981,BREAKING : Supreme Court considering passing of interim orders in #Pegasus case after Centre told the Court today that it does not want to file affidavit on use of #Pegasus spyware. https://t.co/lab6bCbGJO,LiveLawIndia,Pro OPP,pro opposition,spyware,"[{'text': 'court', 'score': 0.3815}, {'text': 'spyware', 'score': 0.2737}, {'text': 'breaking', 'score': 0.0189}]"
2893487,"IT Minister @AshwiniVaishnaw 's statement in Rajya Sabha on “Alleged use of spyware #Pegasus to compromise phone data of some persons as reported in Media on 18th July 2021”

Read here👉 https://t.co/qfeOEAPggx",PIB_India,Pro Ruling,pro ruling,spyware,"[{'text': 'spyware', 'score': 0.6075}, {'text': 'alleged', 'score': 0.334}, {'text': '2021', 'score': 0.1504}]"
2781939,"Denied a discussion on the Pegasus snooping issue over the past three weeks of the Monsoon Session, the Opposition, used the debate on the Constitution Amendment bill for restoring states’ power to make their own OBC lists to raise the spyware issue.

https://t.co/bk0WKjL3rE",thewire_in,Pro OPP,pro opposition,spyware,"[{'text': 'debate', 'score': 0.3572}, {'text': 'spyware', 'score': 0.2922}, {'text': 'restoring', 'score': 0.0234}]"
2487505,"So @PMOIndia used weapons grade spyware Pegasus to snoop on journalists including me, rival leaders &amp; activists &amp; now his own handle got hacked. Ironical",bainjal,Pro OPP,pro opposition,spyware,"[{'text': 'spyware', 'score': 0.5831}, {'text': 'weapons', 'score': 0.3061}, {'text': 'leaders', 'score': 0.1534}]"
2203056,"With The Wire confirming @PrashantKishor's phone was hacked with Pegasus, and the targeting of @RahulG and Ashok Lavasa, it is clear that what's been attempted by the spyware operators is nothing short of subversion of electoral democracy. https://t.co/WcX1vVBFSx via @thewire_in",svaradarajan,Pro OPP,pro opposition,spyware,"[{'text': 'spyware', 'score': 0.5476}, {'text': 'electoral', 'score': 0.4293}, {'text': 'subversion', 'score': 0.2781}]"
2048334,"This is IT minister Ashwini Vaishnaw's statement in Rajya Sabha today.
The missing line : Government of India did not purchase/use Pegasus spyware sold by Israel's NSO. https://t.co/1hPbWr3Sje",vijaita,Pro OPP,pro opposition,spyware,"[{'text': 'spyware', 'score': 0.4941}, {'text': 'purchase', 'score': 0.2722}, {'text': 'israel', 'score': 0.2671}]"
3634026,"“Is spying on India’s Security Forces, Judiciary,Cabinet Ministers,Opposition Leaders (incl Rahul Gandhi),Journalists, other activists through a foreign entity’s spyware not ‘treason’ and inexcusable breach of National Security?”

- @rssurjewala in Congress PC on #PegasusProject",Zebaism,Pro OPP,pro opposition,spyware,"[{'text': 'spying', 'score': 0.7343}, {'text': 'india', 'score': 0.3681}, {'text': 'inexcusable', 'score': 0.1228}]"
4223433,"Pegasus spyware: Making allegation is not enough, proof of surveillance is needed 

https://t.co/mgFcCvBeeQ",RajatSharmaLive,Pro Ruling,pro ruling,spyware,"[{'text': 'spyware', 'score': 0.589}, {'text': 'allegation', 'score': 0.4223}, {'text': 'making', 'score': 0.0182}]"
6165286,"SG tells CJI court can examine what can be made public

CJI : COMMITTEE SAYS GOVT OF INDIA NOT COOPERATIVE

Reports @AneeshaMathur 

#PegasusSpyware case now after 4 weeks",Supriya23bh,Pro OPP,pro opposition,spyware,"[{'text': 'spyware', 'score': 0.4719}, {'text': 'india', 'score': 0.3088}, {'text': 'court', 'score': 0.2384}]"
4253355,"After NSO backlash, Israeli defense minister to visit France to discuss spyware scandal. #Pegasus https://t.co/Do2YZqNQiD",seemay,Pro OPP,pro opposition,spyware,"[{'text': 'spyware', 'score': 0.4142}, {'text': 'minister', 'score': 0.3064}, {'text': 'france', 'score': 0.2908}]"
2829141,Rahul Gandhi Selected as Potential Spyware Target in Run Up to 2019 Polls and After https://t.co/XAKEJrdEHn,mkvenu1,Pro OPP,pro opposition,spyware,"[{'text': 'spyware', 'score': 0.5011}, {'text': '2019', 'score': 0.201}, {'text': 'run', 'score': 0.157}]"
4200989,"Chhattisgarh CM Bhupesh Baghel claimed that his govt has authentic information that representatives of the Israeli company NSO, which manufactures the Pegasus spyware, had visited the state in a secret mission when it was being governed by the BJP.

https://t.co/BAgLgd4TEZ",thewire_in,Pro OPP,pro opposition,spyware,"[{'text': 'spyware', 'score': 0.5219}, {'text': 'israeli', 'score': 0.2228}, {'text': 'chhattisgarh', 'score': 0.199}]"
5425097,Congress youth wing @IYC to protest on #PegasusSpyware issue today in #Delhi https://t.co/mnF9nSusXo,Supriya23bh,Pro OPP,pro opposition,spyware,"[{'text': 'spyware', 'score': 0.441}, {'text': 'protest', 'score': 0.4098}, {'text': 'wing', 'score': 0.1514}]"
7507528,"𝗕𝗜𝗚 ..𝗕𝗜𝗚 ...𝗕𝗜𝗚 ! 💥🔥

Modi government seeks alternatives to Pegasus, the software made by NSO Group following snooping scandals around the world.

India is hunting for new spyware with a lower profile than the controversial Pegasus system blacklisted by the US… https://t.co/X3Pu0KC5Ha https://t.co/0PWZ51mmcQ",BhavikaKapoor5,Pro OPP,pro opposition,spyware,"[{'text': 'spyware', 'score': 0.4847}, {'text': '𝗕𝗜𝗚', 'score': 0.1994}, {'text': 'blacklisted', 'score': 0.0448}]"
3183176,Significantly the SC order on Pegasus also mandates the committee to go into how the same spyware  was used in 2019 to hack Whatapp accounts of citizens which the government admitted but did nothing about. It is an unending saga of inaction which needs to be investigated!,mkvenu1,Pro OPP,pro opposition,spyware,"[{'text': 'spyware', 'score': 0.603}, {'text': 'mandates', 'score': 0.2102}, {'text': 'nothing', 'score': 0.1361}]"
2480793,Indian journalists on target list for Pegasus spyware are furious at their own government - and Israel - read and share https://t.co/OWntAfswA8,paranjoygt,Pro OPP,pro opposition,spyware,"[{'text': 'journalists', 'score': 0.5226}, {'text': 'spyware', 'score': 0.3996}, {'text': 'israel', 'score': 0.3263}]"
6667378,".@OnReality_Check | ""#Pegasus was a key part of Israeli diplomacy,"" says Omer Benjakob (@omerbenj), technology and cyber reporter, Haaretz, on New York Times' latest report on the Pegasus spyware and how countries had bought it, including India. https://t.co/mPamCzWxC1",ndtv,Pro OPP,pro opposition,spyware,"[{'text': 'israeli', 'score': 0.5656}, {'text': 'spyware', 'score': 0.3584}, {'text': 'onreality_check', 'score': 0.2485}]"
2292647,"#Pegasus spyware exposes Apple’s security claims?

NDTV's Rajiv Makhni explains https://t.co/2rdQ1qHVLG",ndtv,Pro OPP,pro opposition,spyware,"[{'text': 'spyware', 'score': 0.7024}, {'text': 'apple', 'score': 0.4725}, {'text': 'claims', 'score': 0.1315}]"
1933560,"""Revealed: leak uncovers global abuse of cyber-surveillance weapon.
Spyware sold to authoritarian regimes used to target activists, politicians and journalists, data suggests.""
Many activists, journalists, politicians&amp; judges are targets in India. #Pegasus
https://t.co/HMLQO8oG7i",pbhushan1,Pro OPP,pro opposition,spyware,"[{'text': 'spyware', 'score': 0.5693}, {'text': 'india', 'score': 0.4268}, {'text': 'activists', 'score': 0.2943}]"
2289722,"#PegasusSnoopgate  Important news of the day : Supreme Court to pronounce judgment today at 10.30 AM on a batch of petitions seeking court-monitored probe into allegations of snooping using  #PegasusSpyware.

 A bench led by the Chief Justice of India reserved order on Sep 13. https://t.co/eRpec2dzyB",LiveLawIndia,Pro OPP,pro opposition,spyware,"[{'text': 'judgment', 'score': 0.4796}, {'text': 'spyware', 'score': 0.2514}, {'text': 'pronounce', 'score': 0.2109}]"
3807615,"#BJP_Rahul_से_डर_गई
The same #Darpok56Inch who misused a military grade spyware to spy on @RahulGandhi &amp; dodges RG's questions on jobs, Rafale scam, China &amp;  #PegasusSnoopgate has now arm-twisted @Twitter into wholesale blocking of Congress accounts. #BJPFearsRahulGandhi https://t.co/bI47eB8WWz",geetv79,Pro OPP,pro opposition,spyware,"[{'text': 'spy', 'score': 0.5638}, {'text': 'china', 'score': 0.2369}, {'text': 'arm', 'score': 0.1072}]"
4271243,German Government Admits Its Police Secretly Bought Pegasus Spyware https://t.co/uDYgktUqjl via @thewire_in,svaradarajan,Pro OPP,pro opposition,spyware,"[{'text': 'spyware', 'score': 0.5411}, {'text': 'government', 'score': 0.1983}, {'text': 'german', 'score': 0.1696}]"
2047752,"BREAKING — Snoop List Has 40 Indian Journalists, Forensic Tests Confirm Presence of Pegasus Spyware on Some 

@AnujSrivas and @kabira_tweeting report for The Wire and #PegasusProject

https://t.co/sqJHIdJLcO via @thewire_in",svaradarajan,Pro OPP,pro opposition,spyware,"[{'text': 'spyware', 'score': 0.6008}, {'text': '40', 'score': 0.169}, {'text': 'kabira_tweeting', 'score': 0.1179}]"
2206474,"Sibal refers to the question asked by @asadowaisi in Parliament on #Pegasus and the reads out the answer. 
Govt has not disputed that 121 users from Indian were targeted. ""This is the Minister's statement itself"", he adds.

#SupremeCourt #PegausSpyware",LiveLawIndia,Pro OPP,pro opposition,spyware,"[{'text': 'spyware', 'score': 0.4469}, {'text': 'indian', 'score': 0.3818}, {'text': 'court', 'score': 0.1266}]"
3983265,"Pegasus: Journalist, Wife Targeted by NSO Spyware, Finds Belgium’s Military Intelligence https://t.co/0qWgLKZrir via @thewire_in",svaradarajan,Pro OPP,pro opposition,spyware,"[{'text': 'spyware', 'score': 0.5578}, {'text': 'journalist', 'score': 0.4311}, {'text': 'wife', 'score': 0.2198}]"
2152829,"#PegasusProject

After exposing the use of Pegasus spyware to target the mobile phones of  journalists and human rights defenders in India on Day 1, here are the revelations of day 2. 

https://t.co/8M0pFvjQSc https://t.co/6vZSsnqQw2",thewire_in,Pro OPP,pro opposition,spyware,"[{'text': 'revelations', 'score': 0.4418}, {'text': 'spyware', 'score': 0.4249}, {'text': 'mobile', 'score': 0.2573}]"
2848897,"Arvind Kejriwal Govt was installing CCTVs across Delhi to provide Safety and Security to Delhi citizens.  BJP was opposing it as surveillance!!

Narendra Modi is hiring foreign companies for phone tapping and spyware surveillance.  BJP is defending this act of the COWARD!!",DaaruBaazMehta,Pro OPP,pro opposition,spyware,"[{'text': 'cctvs', 'score': 0.5426}, {'text': 'delhi', 'score': 0.372}, {'text': 'coward', 'score': 0.1196}]"
3837071,Human Rights activists claim some of the jokes were placed into his system’s folders using advanced spyware probably accidentally downloaded while surfing certain websites 😬 https://t.co/jYqW9hzXDf,Shehzad_Ind,Pro Ruling,pro ruling,spyware,"[{'text': 'spyware', 'score': 0.5104}, {'text': 'jokes', 'score': 0.4479}, {'text': 'activists', 'score': 0.2547}]"
5380676,"The Israeli spyware #Pegasus and a missile system were the “centerpieces” of a roughly $2 billion deal of sophisticated weapons and intelligence gear between #India and #Israel in 2017, according to a report in The New York Times.
https://t.co/PWjTohCEp4",the_hindu,Pro OPP,pro opposition,spyware,"[{'text': 'spyware', 'score': 0.5113}, {'text': 'israel', 'score': 0.3919}, {'text': 'gear', 'score': 0.1768}]"
