source_row,tweet,original_author,tweet_label,_label_norm,keyword,subjects_scored
273246,"#भाजपा_है_तो_धोखा_है

BJP-JDU scrapped Mandis in Bihar in 2006, leading to less than 1% grain procurement of targets, widespread poverty, migration of Biharis &amp; farmer suicides. 

Now Bihar farmers want Mandis back, ""like Punjab"" https://t.co/CS4vDAtyhg",geetv79,Pro OPP,pro opposition,suicides,"[{'text': 'mandis', 'score': 0.3706}, {'text': 'poverty', 'score': 0.2244}, {'text': 'migration', 'score': 0.1508}]"
4677627,"What’s the problem @TwitterIndia? My Follower counts being curtailed to cut down my reach? 

Just because I highlight issues of #PaddyProcurement, #ParliamentSession #FarmerSuicides #WomensRights #FarmLaws #journalism?

@paraga @Twitter",KotaNeelima,Pro OPP,pro opposition,suicides,"[{'text': 'twitterindia', 'score': 0.6183}, {'text': 'farmer', 'score': 0.2315}, {'text': 'cut', 'score': 0.1618}]"
6683621,"AAP tricked Punjab, especially Punjabi farmers. 

#BJPkiAAP in Punjab has presided over:

👉 Arrest warrants against 2000 farmers for outstanding farm loans
👉14 farmer suicides in 25 days 
👉Lowest govt purchase of wheat crops in last 15 yrs 
#AAPisBJP 

https://t.co/pRUZ6egDJ2",geetv79,Pro OPP,pro opposition,suicides,"[{'text': 'farmers', 'score': 0.4548}, {'text': 'warrants', 'score': 0.1939}, {'text': 'suicides', 'score': 0.0959}]"
59004,"This is atrocious reporting.
1. He did not ""commit"" suicide. 
2. You don't have the right to violate his privacy. He may/not have wanted his illness &amp; treatment details revealed publicly.
3.#SuicideReporting guidelines say don't reveal details of method etc for celebrity suicides https://t.co/FPEYOVn1P5",netshrink,Pro OPP,pro opposition,suicides,"[{'text': 'suicides', 'score': 0.4521}, {'text': 'celebrity', 'score': 0.3248}, {'text': 'privacy', 'score': 0.3023}]"
1511236,"Incident :-  #Demonetization on 8th Nov 2016 

Result :- Banks, Real Estate, Manufacturing devastation, increased unemployment, poverty &amp; farmer suicides, declined demand, High US $, low GDP growth rate, Riots &amp; intl insult

Response :- Nehru did it, Cong is responsible

😑😑😑",BhavikaKapoor5,Pro OPP,pro opposition,suicides,"[{'text': 'monetization', 'score': 0.455}, {'text': 'riots', 'score': 0.3197}, {'text': 'low', 'score': 0.1904}]"
1152411,This is a series of drawings by @soumencreative to draw farmer suicides into focus. It’s titled “Land Of A Thousand Tears” &amp; brings sharp recall to a tragedy forgotten &amp; untended during Covid by the callous @BJP4India government #PMLiesIndiaCries We shall not forgive or forget 😢 https://t.co/YHrTMSwhJy,nandtara,Pro OPP,pro opposition,suicides,"[{'text': 'tragedy', 'score': 0.4907}, {'text': 'india', 'score': 0.4388}, {'text': 'farmer', 'score': 0.3734}]"
144958,"There was a shocking murder of a businessman in Mahoba in Uttar Pradesh. He had earlier accused the area SP, an IPS officer, of extortion. Forget even questioning the cop, @Uppolice now says Indra Kant Tripathi committed suicide. Welcome to Ram Rajya. Here murders become suicides",rohini_sgh,Pro OPP,pro opposition,suicides,"[{'text': 'murder', 'score': 0.4662}, {'text': 'pradesh', 'score': 0.4078}, {'text': 'extortion', 'score': 0.258}]"
4205649,".#FarmerSuicides rise by 18% among farm labourers (NCRB,2020)

Past research findings:
▪️Farmers cannot repay old loans and don’t get new ones
▪️Moneylenders charge 24-36% interest
▪️Banks don’t lend to landless poor who have no security

(Institute of Perception Studies) https://t.co/mQX1Htv6wo",KotaNeelima,Pro OPP,pro opposition,suicides,"[{'text': 'farmers', 'score': 0.4521}, {'text': 'suicides', 'score': 0.4516}, {'text': 'moneylenders', 'score': 0.1396}]"
35245,"Every year thousands of farmers commit suicide,we are the bread basket of the world but our farmers are the poorest,every year I read and see hundreds of strikes by farmers for reforms,agar sab itne satisfied hain existing structure se toh phir suicides n strikes kaun karta hai? https://t.co/IwNTIIGQlB",KanganaTeam,Pro Ruling,pro ruling,suicides,"[{'text': 'farmers', 'score': 0.5038}, {'text': 'suicides', 'score': 0.3424}, {'text': 'itne', 'score': 0.1978}]"
7868048,"CM Adityanath Claims ‘No Farmer Suicides in Last 6 Years In UP’, Data Show 398 Cases https://t.co/QXevOa8yqM",paranjoygt,Pro OPP,pro opposition,suicides,"[{'text': 'suicides', 'score': 0.4389}, {'text': 'farmer', 'score': 0.256}, {'text': 'data', 'score': 0.1599}]"
