source_row,tweet,original_author,tweet_label,_label_norm,keyword,subjects_scored
1754478,"@RahulGandhi youth behind you,dont succumb to pressure and be prepared for worst,you can revive hence expose openly all without fearing and also dont use any politician in yr legal cases,either withdraw cases from them or retire them from politics @KapilSibal @DrAMSinghvi",Ajaykumar00009,Pro OPP,pro opposition,ucc,"[{'text': 'rahulgandhi', 'score': 0.4454}, {'text': 'fearing', 'score': 0.3319}, {'text': 'retire', 'score': 0.1906}]"
470365,"6n understand be it partition, be it Shaheen Bagh, be it #NizamuddinMarkaz, every government has succumbed to this kind of blackmail. Consequently they backup position has and will always remain one of obstinacy - no matter what the law, because every law is an opportunity...",Iyervval,Pro Ruling,pro ruling,ucc,"[{'text': 'government', 'score': 0.4678}, {'text': 'backup', 'score': 0.2603}, {'text': 'nizamuddin', 'score': 0.194}]"
4034611,"Success in disease control, economy recovery in a year, says CM

• Support extended by mass media is commendable : Chief Minister Shri Shivraj Singh Chouhan

• Success in campaign against mafia: CM

#CMMadhyaPradesh https://t.co/30RjKZ6K5q",CMMadhyaPradesh,Pro Ruling,pro ruling,ucc,"[{'text': 'success', 'score': 0.4273}, {'text': 'media', 'score': 0.3832}, {'text': 'pradesh', 'score': 0.3206}]"
4129395,".@ArvindKejriwal of 2021 is very dangerous for the BJP and Congress

Kejriwal of 2021 has A successful Governance Model

He has a successful Healthcare, Education Model

Janta has seen him work and admire his Honest Governance. He is strong.

Hence BJP trying to curb his powers",DaaruBaazMehta,Pro OPP,pro opposition,ucc,"[{'text': '2021', 'score': 0.3729}, {'text': 'congress', 'score': 0.2593}, {'text': 'strong', 'score': 0.2105}]"
6456835,"05 Dec 1971

#LiberationWar1971

Major Kuldip Singh Chandpuri successfully defended his company locality at #Laungewala against a massive attack by enemy infantry &amp; tanks. Displayed exemplary leadership and conspicuous courage. Awarded #MahaVirChakra.

https://t.co/VoPY8dI27o https://t.co/FVmvtjPoEM",adgpi,Pro Ruling,pro ruling,ucc,"[{'text': 'chandpuri', 'score': 0.5647}, {'text': 'infantry', 'score': 0.3761}, {'text': 'leadership', 'score': 0.3484}]"
1106254,"United will get Justice for Sushant Singh Rajput!

After 1st digital protest- #Candle4SSR &amp; 2nd on #Warriors4SSR 

The lobby of paid PR fails &amp; 3rd digital is massive success, No.1 since morning already 2,25,000 tweets of
#Revolution4SSR

Post pics at 6 pm with Red band!

Tag Me!",ishkarnBHANDARI,Pro Ruling,pro ruling,ucc,"[{'text': 'united', 'score': 0.4041}, {'text': 'tweets', 'score': 0.357}, {'text': 'candle', 'score': 0.2584}]"
2173173,"When Bapu was in prison in South Africa Ba fell seriously ill, felt she would succumb. Bapu’s associates suggested he apologise &amp; seek clemency from Government so he could be with Ba when end came. He refused, said it would be a betrayal of the cause. #NoAppologyNoMercy.",TusharG,Pro OPP,pro opposition,ucc,"[{'text': 'bapu', 'score': 0.4982}, {'text': 'clemency', 'score': 0.3922}, {'text': 'apologise', 'score': 0.3259}]"
159208,"Big success by @DRDO_India -- Mach 6 test of hypersonic vehicle. Only US, Russia, China have done.

Will go into hypersonic cruise missile that can't be intercepted. Later, hypersonic aircraft that can transport troops across length of India in 25 minutes

https://t.co/yZes4QWcSW",ajaishukla,Pro OPP,pro opposition,ucc,"[{'text': 'hypersonic', 'score': 0.5571}, {'text': 'drdo_india', 'score': 0.4177}, {'text': 'length', 'score': 0.1241}]"
7736957,Pradhan Mantri Bhartiya Janaushadhi Pariyojana has been successful in making a remarkable impact on the common masses in its endeavour to provide quality medicines at an affordable price. #JanAushadhiDiwas2023 https://t.co/zdm0IBxyB1,mygovindia,Pro Ruling,pro ruling,ucc,"[{'text': 'medicines', 'score': 0.4797}, {'text': 'janaushadhidiwas2023', 'score': 0.4576}, {'text': 'affordable', 'score': 0.3179}]"
7152597,"This is Bollywood being frank and open about #BollywoodKiGandagi in its biggest annual gathering

Big beef guy named himself after Lakshmi Mata in this vulgar act 

Same Filmfare did not invite @vivekagnihotri this year despite his film being most successful

Soft power my foot https://t.co/APELZeioaN",GemsOfBollywood,Pro Ruling,pro ruling,ucc,"[{'text': 'bollywood', 'score': 0.6107}, {'text': 'beef', 'score': 0.3964}, {'text': 'foot', 'score': 0.1822}]"
