source_row,tweet,original_author,tweet_label,_label_norm,keyword,subjects_scored
5315369,"Pooja started crying while speaking to @INikhatAli on Unemployment in UP. Do listen.
CC : Godi Media, @myogiadityanath @yadavakhilesh @Mayawati @priyankagandhi https://t.co/7RpFRYEELh",zoo_bear,Pro OPP,pro opposition,unemployment,"[{'text': 'crying', 'score': 0.5048}, {'text': 'unemployment', 'score': 0.4904}, {'text': 'pooja', 'score': 0.4685}]"
3049284,"#Movid_Economy of Moodi ji and his 18-18 hours of work, made India a sinking ship.😥

Unemployment High &amp; lowest GDP 🧐 https://t.co/lMzBcV5ffs",saraf_pankaj,Pro OPP,pro opposition,unemployment,"[{'text': 'economy', 'score': 0.436}, {'text': 'india', 'score': 0.4183}, {'text': 'sinking', 'score': 0.2636}]"
3375381,"Yes, Didi we agree with you. West Bengal under you is not Gujarat.

It is a 'growth model' truly:
- Growing unemployment
- Growing violence
- Growing debts
Everything is growing!

#MamataBanerjee #WestBengal #GujaratOnFastTrack #GujaratModel https://t.co/d0PmLRyPlb",knowthenation,Pro Ruling,pro ruling,unemployment,"[{'text': 'gujarat', 'score': 0.5323}, {'text': 'growing', 'score': 0.336}, {'text': 'unemployment', 'score': 0.2523}]"
8035829,"Modi government's incompetence and failure at improving the standard of living is a distant dream - be prepared for much worse, literally hitting our stomachs. 

Growing inflation, unemployment and crime are Modi's gifts to India. https://t.co/BZwz2c8Izf",abhinandita_m,Pro OPP,pro opposition,unemployment,"[{'text': 'inflation', 'score': 0.4121}, {'text': 'india', 'score': 0.3652}, {'text': 'incompetence', 'score': 0.2587}]"
1768438,"My concerns will remain &amp; will continue tweet about :- 

- Economy disaster
- Unemployment disaster 
- Covid19 disaster 
- China intrusion disaster
- Adani Ambani loot
- Hate Speech 

Friends, I appeal to all to remain focussed on above issues. The BJP  govt is on backfoot",BhavikaKapoor5,Pro OPP,pro opposition,unemployment,"[{'text': 'concerns', 'score': 0.5029}, {'text': 'tweet', 'score': 0.3084}, {'text': 'unemployment', 'score': 0.1748}]"
6351976,"Urban Jobless rate drops to 7.2% which is the lowest recorded unemployment rate since 2017 when the NSO index was formed.

This is at a time when jobless rates are going up sharply in western economies https://t.co/M2NcBQsTPh",rishibagree,Pro Ruling,pro ruling,unemployment,"[{'text': 'unemployment', 'score': 0.6128}, {'text': 'lowest', 'score': 0.3712}, {'text': 'urban', 'score': 0.3053}]"
627649,India's Unemployment rate compared to developed World. https://t.co/Y0yJljAoqj,rishibagree,Pro Ruling,pro ruling,unemployment,"[{'text': 'unemployment', 'score': 0.6584}, {'text': 'india', 'score': 0.4392}, {'text': 'rate', 'score': 0.2484}]"
5905109,"#Opinion: It is imperative to break the vicious cycle of unemployment through sincere and sympathetic policy interventions, which cannot be accomplished by simply adopting frivolous and populist measures, writes @BhupinderSHooda
https://t.co/vQeNvOZsMm",thetribunechd,Pro OPP,pro opposition,unemployment,"[{'text': 'unemployment', 'score': 0.6022}, {'text': 'populist', 'score': 0.3198}, {'text': 'sympathetic', 'score': 0.2182}]"
2585333,"When they talk about unemployment and economy and youth..... Look at here Rahul Gandhi how your bharat bandh affecting ""आज का युवा"" 
 @narendramodi ji 
@PMOIndia https://t.co/dtkm8yil7D",ankitasood13,Pro Ruling,pro ruling,unemployment,"[{'text': 'narendramodi', 'score': 0.4709}, {'text': 'unemployment', 'score': 0.3692}, {'text': 'youth', 'score': 0.334}]"
1980160,Modi did say make pakodas #NationalUnemploymentDay17Sept https://t.co/vJS9eAgjQb,nandtara,Pro OPP,pro opposition,unemployment,"[{'text': 'unemployment', 'score': 0.567}, {'text': 'day17sept', 'score': 0.3081}, {'text': 'did', 'score': 0.1435}]"
6751963,"#WhoLetIndiaDown? 
Who destroyed crores of existing jobs by his assault on our MSME &amp; unorganized  sector?

Who failed to generate 2 crore jobs/year as he promised?

Who achieved unemployment rate at a 45 yr high by 2018?
 
Who has increased joblessness higher every year? https://t.co/WRk90IyGaB",geetv79,Pro OPP,pro opposition,unemployment,"[{'text': 'india', 'score': 0.433}, {'text': 'joblessness', 'score': 0.3223}, {'text': 'high', 'score': -0.0154}]"
7197248,"@RahulGandhi India needs a new &amp; practical vision, not Modi mirages which turned our demographic dividend into demographic disaster with unemployment brought to a 45 yr record high by 2018.

Not just big business, MSMEs need support for pvt sector job creation.

#कांग्रेस_का_भर्ती_विधान https://t.co/U1KQ85VaGO",geetv79,Pro OPP,pro opposition,unemployment,"[{'text': 'india', 'score': 0.4806}, {'text': 'msmes', 'score': 0.2654}, {'text': 'dividend', 'score': 0.1861}]"
5428589,"Rahul Gandhi says that he will remove unemployment from Uttar Pradesh if elected to Power.

Current CMIE Unemployment rate : 

2.7% - BJP ruled Uttar Pradesh 
32.3% - Congress ruled Rajasthan",rishibagree,Pro Ruling,pro ruling,unemployment,"[{'text': 'unemployment', 'score': 0.4752}, {'text': 'pradesh', 'score': 0.4016}, {'text': 'remove', 'score': 0.3545}]"
7709525,"Sources : 

Congress to make vision document 2024 based on following the largest-ever mass contact programme, which will encompass issues of unemployment, eradication of poverty, inflation, women empowerment, job creation, national security",Supriya23bh,Pro OPP,pro opposition,unemployment,"[{'text': '2024', 'score': 0.4535}, {'text': 'congress', 'score': 0.4431}, {'text': 'vision', 'score': 0.3286}]"
4491787,"3 years and 10,290 deaths due to unemployment. 
The youth of this country and its great potential is being wasted on the friendships of 4 men https://t.co/0ZOBocuDkw",nehajoychauhan,Pro OPP,pro opposition,unemployment,"[{'text': 'unemployment', 'score': 0.6021}, {'text': 'deaths', 'score': 0.4276}, {'text': 'friendships', 'score': 0.251}]"
2446529,"🇺🇸 : Unemployment allowance.

🇮🇳 : ₹2",SurrbhiM,Pro OPP,pro opposition,unemployment,"[{'text': 'unemployment', 'score': 0.724}, {'text': 'allowance', 'score': 0.6255}]"
1926600,"Watch camera obsessed leader unveiling his #HallOfFame with his applauding morons. Actually his list of horrors is way lengthier than the #FuelHike so meme needs include Demonetisation, GST, Unemployment, Covid mismanagement, Farmer distress, religious persecution, GDP ++ https://t.co/EK0WEPA9PC",nandtara,Pro OPP,pro opposition,unemployment,"[{'text': 'leader', 'score': 0.547}, {'text': 'horrors', 'score': 0.5066}, {'text': 'fuel', 'score': 0.1177}]"
3104955,"#युवा_मांगे_रोजगार
Unemployment Rate in 
2017-18 👉6.1% (45 Yr High)
2019 👉 7.8%
2020 👉10.3% 

Now it's at👉9.1% 

Remember: 
Before Modi in 2013- 14 under Congress it was just 👉4.9% 

#ModinomicsDestroysIndia 
#BJPDestroysEconomy https://t.co/q74zXWueMU",geetv79,Pro OPP,pro opposition,unemployment,"[{'text': 'unemployment', 'score': 0.5933}, {'text': 'india', 'score': 0.3263}, {'text': 'high', 'score': 0.0995}]"
2094238,"Highest unemployment in last 45 years. @narendramodi must resign.

 #railway_groupd_examdate",HansrajMeena,Pro OPP,pro opposition,unemployment,"[{'text': 'unemployment', 'score': 0.5845}, {'text': 'narendramodi', 'score': 0.4102}, {'text': 'highest', 'score': 0.2234}]"
5490158,"Rahul Gandhi says that he will remove unemployment from India if elected to Power.

Current CMIE Unemployment rate : 

1.7%    -   BJP ruled Gujarat 
30.7%  - Congress-ruled Rajasthan",rishibagree,Pro Ruling,pro ruling,unemployment,"[{'text': 'unemployment', 'score': 0.5037}, {'text': 'india', 'score': 0.4389}, {'text': 'remove', 'score': 0.3576}]"
3331444,"PM ask Mamata if she wants ""Vikas for Bengal""

the same Vikas that took GDP to - 23%, Unemployment to 45 yrs high, Petrol to 100 and India to partly democracy.",Nher_who,Pro OPP,pro opposition,unemployment,"[{'text': 'mamata', 'score': 0.4521}, {'text': 'unemployment', 'score': 0.2864}, {'text': 'democracy', 'score': 0.2403}]"
6988461,"Unemployment (especially youth unemployment with advanced level education) is a serious matter. 

If people don't raise this issue seriously then in the next 5-10 years there will be riots for shelter, food and money plus there will be a high rise in crimes &amp; the use of drugs.",BhavikaKapoor5,Pro OPP,pro opposition,unemployment,"[{'text': 'unemployment', 'score': 0.5709}, {'text': 'riots', 'score': 0.4385}, {'text': 'drugs', 'score': 0.1474}]"
7360397,Inflation and unemployment among B grade celebrities who used to tweet praises for the best CM.. https://t.co/koPQjR1pWA,FrustIndian,Pro Ruling,pro ruling,unemployment,"[{'text': 'inflation', 'score': 0.4894}, {'text': 'celebrities', 'score': 0.4536}, {'text': 'tweet', 'score': 0.2855}]"
2105700,"Problems in UP:
Women's safety
Unemployment
Poverty
Education
Healthcare

Issue raised by CM:
Abba-dabba-jabba.",Pun_Starr,Pro OPP,pro opposition,unemployment,"[{'text': 'unemployment', 'score': 0.5135}, {'text': 'safety', 'score': 0.2542}, {'text': 'jabba', 'score': 0.1788}]"
3428512,India's unemployment rates hits lowest in the decade after Mamata Banerjee hired all jobless politicians.,rishibagree,Pro Ruling,pro ruling,unemployment,"[{'text': 'unemployment', 'score': 0.5089}, {'text': 'lowest', 'score': 0.3918}, {'text': 'india', 'score': 0.2247}]"
2067606,"#राष्ट्रीय_बेरोजगार_दिवस

Not only did #ModiMadeDisaster destroy millions of jobs + incomes, he also took decisive steps to sharply increase the cost of living, while impoverishing crores of Indians. 
#WorldFekuDay 
#NationalUnemploymentDay https://t.co/63cNyzKVPx",geetv79,Pro OPP,pro opposition,unemployment,"[{'text': 'disaster', 'score': 0.4641}, {'text': 'indians', 'score': 0.3464}, {'text': 'incomes', 'score': 0.3145}]"
5968362,"In an interview with @khanumarfa, @ShankersinhBapu discusses how the politics of communalism is the 'marketing' for the right wing, disguising the real concerns going unaddressed - bad healthcare, unemployment, and underdevelopment. 

https://t.co/bHa7HEG6rs https://t.co/MfifzO68Tu",thewire_in,Pro OPP,pro opposition,unemployment,"[{'text': 'communalism', 'score': 0.5693}, {'text': 'underdevelopment', 'score': 0.3537}, {'text': 'khanumarfa', 'score': 0.3363}]"
2094233,I declare next birthday day of @narendramodi on 17 September once again should be celebrated as national unemployment day. #railway_groupd_examdate https://t.co/hrtpgMw7dy,HansrajMeena,Pro OPP,pro opposition,unemployment,"[{'text': 'birthday', 'score': 0.5093}, {'text': 'unemployment', 'score': 0.443}, {'text': 'narendramodi', 'score': 0.3949}]"
5387030,"India had invented zero, so Indian media can invent this graph to show yearly suicide deaths due to unemployment! https://t.co/bOuyMBFApS",ashoswai,Pro OPP,pro opposition,unemployment,"[{'text': 'unemployment', 'score': 0.4869}, {'text': 'indian', 'score': 0.2712}, {'text': 'media', 'score': 0.2271}]"
163962,The voiceover and content of  Doordarshan video is similar to this nuclear video of another great Saint &amp; former BJP ally. #NationalUnemploymentDay https://t.co/HqDSzxGBp9 https://t.co/Bn8z1d3o4H,RoflGandhi_,Pro OPP,pro opposition,unemployment,"[{'text': 'video', 'score': 0.5618}, {'text': 'doordarshan', 'score': 0.5123}, {'text': 'unemployment', 'score': 0.3763}]"
1355362,"Modi's Sarkar has no intention of providing jobs to Indians. 

Recruitments &amp; appointments for even existing vacancies have been frozen.

#NationalUnemploymentDay 
#राष्ट्रीय_बेरोजगार_दिवस https://t.co/h0Un1DPWfx",geetv79,Pro OPP,pro opposition,unemployment,"[{'text': 'unemployment', 'score': 0.4809}, {'text': 'indians', 'score': 0.3623}, {'text': 'frozen', 'score': 0.1044}]"
4012963,"ANSWER the nation instead on unemployment, tax extortion on fuel, high prices of essentials, collapse of consumer confidence &amp; demand, China inside Indian territory, sacking your MoS who instigated murder, terrorist   killings in Union Territory of J&amp;K &amp; other #ModiMadeDisaster https://t.co/GocX6mzne5",geetv79,Pro OPP,pro opposition,unemployment,"[{'text': 'nation', 'score': 0.4339}, {'text': 'killings', 'score': 0.3269}, {'text': 'extortion', 'score': 0.1481}]"
1937932,"Target: 1 crore tweets!

Friends whatever we trend for tomorrow, please participate in it, we want more than 1 crore tweets for tomorrow

World should know Indian youth is celebrating their PM's birthday by declaring it National Unemployment Day! 

 #कल_बेरोजगार_दिवस_है",HansrajMeena,Pro OPP,pro opposition,unemployment,"[{'text': 'birthday', 'score': 0.4868}, {'text': 'unemployment', 'score': 0.3926}, {'text': 'tweets', 'score': 0.3771}]"
5410746,"OUR AIM
To end Unemployment
To fight Inflation
To eliminate Poverty!

#1MonthOfBharatJodoYatra
#BharatJodoYatra 🇮🇳 https://t.co/hyC5VoxclS",yuvadesh,Pro OPP,pro opposition,unemployment,"[{'text': 'unemployment', 'score': 0.6089}, {'text': 'inflation', 'score': 0.5261}, {'text': '1monthofbharatjodoyatra', 'score': 0.241}]"
2088528,"Mr. @narendramodi promised to offer 2 crore jobs every year.

India is now suffering from highest unemployment in last 45 years 

Where is 2 crore Jobs every year?

#railway_groupd_examdate",HansrajMeena,Pro OPP,pro opposition,unemployment,"[{'text': 'unemployment', 'score': 0.5056}, {'text': 'narendramodi', 'score': 0.4361}, {'text': 'every', 'score': 0.112}]"
5460325,"After 3 years of abrogation of Art 370, the unemployment rate in Kashmir has reached 32.8%. The unemployment rate among educated youth is even much worse: 46.3%",ashoswai,Pro OPP,pro opposition,unemployment,"[{'text': 'unemployment', 'score': 0.5544}, {'text': 'kashmir', 'score': 0.3535}, {'text': 'worse', 'score': 0.2442}]"
5398254,"""Why does this inflation differ from anything that we've had in the past? These steep high prices are different because 83% of India has reported an erosion in their wages and unemployment levels are very high"": @SupriyaShrinate, Congress spokesperson https://t.co/5YrzzWasYr",ndtv,Pro OPP,pro opposition,unemployment,"[{'text': 'inflation', 'score': 0.6237}, {'text': 'supriyashrinate', 'score': 0.1671}, {'text': 'congress', 'score': 0.1605}]"
155775,"After 15 yrs, the people of Bihar are worse off than before. 
The BJP-RSS-Nitish regime has failed on all fronts from unemployment, corruption, mismanagement of Covid, women security, floods to farmer issues

Time for this govt to go.

#SpeakUpBihar 

https://t.co/zlRxfemH9X",geetv79,Pro OPP,pro opposition,unemployment,"[{'text': 'mismanagement', 'score': 0.4224}, {'text': 'rss', 'score': 0.2841}, {'text': 'floods', 'score': 0.1618}]"
93752,"मोदी रोज़गार पर एक शब्द नहीं कहते @RahulGandhi Modi has destroyed millions of jobs along with destruction of the economy&amp; brought unemployment to a 45 yr high. He can speak nothing on job creation, because he has no plan &amp; no track record #NaukariKiBaat

 https://t.co/6zoaqcBObf",geetv79,Pro OPP,pro opposition,unemployment,"[{'text': 'unemployment', 'score': 0.4621}, {'text': 'rahulgandhi', 'score': 0.3679}, {'text': 'destroyed', 'score': 0.3601}]"
2614629,"Unemployment Rate

Rajasthan : 20.4%
Uttar Pradesh : 4.8%
Uttarakhand : 3.1%

(CMIE Data for Nov'21)

Petrol Rates

Rajasthan : ₹ 107.06 / L
Uttar Pradesh : ₹ 95.14 / L
Uttarakhand : ₹ 94.02 / L

(Rates for 16-Dec-2021)",go4avinash,Pro Ruling,pro ruling,unemployment,"[{'text': 'unemployment', 'score': 0.499}, {'text': 'pradesh', 'score': 0.4402}, {'text': 'petrol', 'score': 0.1835}]"
741082,"Congress leader Mr @RahulGandhi : 
There is going to be Massive Financial Backlash. You are going to see the first waves of unemployment and then that will spiral. You will see massive pressure on our financial system #Corona https://t.co/lIMBPCGQUG",Supriya23bh,Pro OPP,pro opposition,unemployment,"[{'text': 'backlash', 'score': 0.4262}, {'text': 'unemployment', 'score': 0.2832}, {'text': 'waves', 'score': 0.2542}]"
2087266,Unemployment is bigger than a political party. It is a national danger and a national scandal. #modi_rojgar_दो https://t.co/QjbQFmropP,HansrajMeena,Pro OPP,pro opposition,unemployment,"[{'text': 'unemployment', 'score': 0.6383}, {'text': 'political', 'score': 0.3562}, {'text': 'bigger', 'score': 0.195}]"
6963765,"The unemployment rate in the country grew to 7.83 per cent in April from 7.60 per cent in March, according to the Centre for Monitoring Indian Economy (CMIE) data. 

Jai Ho! 
#ModiHaitoMumkinHai https://t.co/ForosHt50y",vijaythottathil,Pro OPP,pro opposition,unemployment,"[{'text': 'unemployment', 'score': 0.5715}, {'text': 'grew', 'score': 0.2873}, {'text': 'modihaitomumkinhai', 'score': -0.1561}]"
95098,"Best wishes to @narendramodi ji on his birthday. Govt operated @DDNational has made this beautiful video as a tribute to our PM.  #TeamBaan please send your love there, PM sir will be directly receiving your greetings. #NationlUnemploymentDay  https://t.co/rTz0qwcQOW",RoflGandhi_,Pro OPP,pro opposition,unemployment,"[{'text': 'narendramodi', 'score': 0.5586}, {'text': 'birthday', 'score': 0.4695}, {'text': 'unemployment', 'score': 0.2728}]"
1886523,"Hindutva is terrified of Islam and Christianity but it is not terrified of unemployment, economic collapse, disease, death, polluted rivers, Chinese invasion.....",devduttmyth,Pro OPP,pro opposition,unemployment,"[{'text': 'hindutva', 'score': 0.4691}, {'text': 'terrified', 'score': 0.3408}, {'text': 'unemployment', 'score': 0.0933}]"
5902326,"Hand in Hand against inflation 
Shoulder to shoulder against unemployment.
India Walks united against hate and division! 
#BharatJodoYatra 🇮🇳 https://t.co/xyu34J0yvu",yuvadesh,Pro OPP,pro opposition,unemployment,"[{'text': 'india', 'score': 0.4994}, {'text': 'inflation', 'score': 0.4545}, {'text': 'hate', 'score': 0.2822}]"
908067,"Disgraceful #MaunModiMissing 
Maun &amp; missing on China&amp; even Nepal 
Maun &amp; missing on 0% growth 
Maun &amp; missing on 25% unemployment 
Maun &amp; missing on direct cash benefits
Maun &amp; missing on failed lockdown 
Maun &amp; missing on soaring Covid infections
Maun &amp; missing on PMCaresFraud https://t.co/yq6DItFRkM",geetv79,Pro OPP,pro opposition,unemployment,"[{'text': 'missing', 'score': 0.3958}, {'text': 'pmcaresfraud', 'score': 0.2137}, {'text': 'lockdown', 'score': 0.1557}]"
2139993,India on the brink of unprecedented unemployment crisis: CMIE report https://t.co/V2Xd5RAG7M,paranjoygt,Pro OPP,pro opposition,unemployment,"[{'text': 'unemployment', 'score': 0.5124}, {'text': 'india', 'score': 0.4229}, {'text': 'brink', 'score': 0.2188}]"
8313431,"The unemployment rate is peaking! 
But the CRYPM is only concerned about the rate at which he receives Gaalis! 

Wahh Modi Ji, Wahh! https://t.co/AB19eXu0DR",yuvadesh,Pro OPP,pro opposition,unemployment,"[{'text': 'unemployment', 'score': 0.5599}, {'text': 'rate', 'score': 0.3484}, {'text': 'wahh', 'score': 0.2955}]"
