source_row,tweet,tweet_label,_label_norm,keyword,subjects_scored
2381463,Is this a Indo China war? https://t.co/uwgetcEB37,Pro OPP,pro opposition,china,"[{'text': 'china', 'score': 0.6794}, {'text': 'war', 'score': 0.4459}, {'text': 'indo', 'score': 0.3844}]"
2809890,"Govt is busy trying to remove farmers camping at Singhu border.

Meanwhile, China has built a whole village at Arunachal border.",Pro OPP,pro opposition,china,"[{'text': 'china', 'score': 0.5133}, {'text': 'camping', 'score': 0.3815}, {'text': 'remove', 'score': 0.1951}]"
8590,"Troop disengagement agreed at Hot Springs and Pangong Tso, but on terms that allow Chinese to remain on Indian soil.

After 1 km conceded to China in Galwan; now 1-3 km in Hot Spring, and 8-10 km in Pangong Tso. God only knows how much will go in Depsang!

https://t.co/heacNP4pEd",Pro OPP,pro opposition,china,"[{'text': 'china', 'score': 0.4825}, {'text': 'springs', 'score': 0.299}, {'text': 'remain', 'score': 0.1626}]"
5860740,"EAM Jaishankar highlights how rise of China impacts the World, calls Brexit a ""wild card"" https://t.co/jVhnRVIYJO",Pro Ruling,pro ruling,china,"[{'text': 'china', 'score': 0.4628}, {'text': 'brexit', 'score': 0.3341}, {'text': 'impacts', 'score': 0.3065}]"
861505,China is enemy nation. Those Indians toeing China line are enemies of India. #ChinaMustPay for the Wuhan virus and for attack on India.,Pro Ruling,pro ruling,china,"[{'text': 'china', 'score': 0.6146}, {'text': 'india', 'score': 0.3673}, {'text': 'enemy', 'score': 0.3246}]"
9275,"In @bsindia here's the history of China's moves in Galwan River valley. Beijing first spelt out its claim line in 1956, expanded it in 1960, expanded further in 1962, crossed it on May 5th, and has now claimed the entire Galwan valley. Highly significant.

https://t.co/p46RdRL5d8",Pro OPP,pro opposition,china,"[{'text': 'china', 'score': 0.5374}, {'text': 'river', 'score': 0.2545}, {'text': 'moves', 'score': 0.2154}]"
2865942,Big Tech Companies are exiting China over CCP’s draconian censorship laws. First LinkedIn and now Yahoo has exited China after refusing to share user data with the Authoritarian regime. Many more to follow suit. https://t.co/Qb2TNLSIUT,Pro Ruling,pro ruling,china,"[{'text': 'china', 'score': 0.5022}, {'text': 'exited', 'score': 0.3136}, {'text': 'linkedin', 'score': 0.1206}]"
109137,We need to send China packing from our territory that they have Occupied. We need our government &amp; @PMOIndia to tell us about the Chinese aggression &amp; not just manage “perceptions” &amp; headline via a putative media https://t.co/4DdjxNm2g5,Pro OPP,pro opposition,china,"[{'text': 'china', 'score': 0.6219}, {'text': 'government', 'score': 0.3249}, {'text': 'send', 'score': 0.2389}]"
3056849,"*Pulwama par politics kabhi China par*

Rashṭriya Suraksha aur Rashtra niti par Rajniti Kyu?

5:30pm Live",Pro Ruling,pro ruling,china,"[{'text': 'china', 'score': 0.5863}, {'text': 'politics', 'score': 0.4923}, {'text': 'suraksha', 'score': 0.3905}]"
3696457,"China delivers 800 oxygen concentrators, promises another 10,000. Where are the people who were banning China? This govt has made you beggars. India used to be self-dependent more and relied on others less before 2014. Now our situation is worse than Pakistan and Bangladesh.",Pro OPP,pro opposition,china,"[{'text': 'china', 'score': 0.5141}, {'text': 'oxygen', 'score': 0.4419}, {'text': '800', 'score': 0.0828}]"
2613965,China Biggest Captor for Journalists; 127 jailed just for questioning govt: RSF Report,Pro Ruling,pro ruling,china,"[{'text': 'china', 'score': 0.5034}, {'text': 'journalists', 'score': 0.4824}, {'text': 'biggest', 'score': 0.2503}]"
3024438,Really why did @PMOIndia give China a clean chit with his “koi ghusa nahi hain aur Naah hum kahein gusse hain” https://t.co/vLf7zftEAy,Pro OPP,pro opposition,china,"[{'text': 'china', 'score': 0.6351}, {'text': 'pmoindia', 'score': 0.3519}, {'text': 'clean', 'score': 0.2921}]"
6447652,"Main kaise phansa? What nonsense!

Sahi baat boli hai maine, aur aap log bhaade ke tattu ho jo Modi ko bachaane nikle ho. Is that clear, @TimesNow? 

I stand by my question and absolutely insist that Modi and Shah denounce China openly. Have you all forgotten #IndiaFirst? https://t.co/IumvVu5kVx",Pro OPP,pro opposition,china,"[{'text': 'china', 'score': 0.5026}, {'text': 'india', 'score': 0.4165}, {'text': 'denounce', 'score': 0.2933}]"
7547009,This Sengol thing would serve a better purpose on the disputed China border where our soldiers are denied access to 26 of the 65 patrolling points in Ladakh itself.,Pro OPP,pro opposition,china,"[{'text': 'china', 'score': 0.417}, {'text': 'soldiers', 'score': 0.3016}, {'text': 'access', 'score': 0.1511}]"
173793,"Attack on Jio towers must be seen as war against National Security.
5G is bigger than mobile connectivity.

Ambani is great threat to Chinese 5G &amp; for 5G China can do anything.

China wants Indian 5G, Jio is alternate to it in Bharat &amp; US. This is bigger than what we can imagine.",Pro Ruling,pro ruling,china,"[{'text': 'china', 'score': 0.4587}, {'text': '5g', 'score': 0.4097}, {'text': 'attack', 'score': 0.3199}]"
2083541,"BJP cannot deal with China. 

But they are making two important strategic NE states fight each other. 

#AssamMizoramBorder",Pro OPP,pro opposition,china,"[{'text': 'china', 'score': 0.5526}, {'text': 'fight', 'score': 0.2747}, {'text': 'cannot', 'score': 0.1618}]"
7532500,"""We funded AAP""
""We have office in Beijing to seek CCP support.. If China takes Sikkim our job is done""
""If Modi win (2019) election, RSS will go on crazy tour""

Gurcharan Singh, the one who was threatening an elderly Gujarati, was caught in a sting op by Republic TV in 2018.

1/ https://t.co/ZuAh9e4eBw https://t.co/1aGvOoNqa8",Pro Ruling,pro ruling,china,"[{'text': 'china', 'score': 0.4032}, {'text': 'election', 'score': 0.3139}, {'text': 'elderly', 'score': 0.1441}]"
7323469,"Modi govt is trying to hide the Chinese threat .

China is preparing for war there preparation is not for incursion.

- Rahul Gandhi https://t.co/MMoXlysyA4",Pro OPP,pro opposition,china,"[{'text': 'china', 'score': 0.6404}, {'text': 'threat', 'score': 0.3818}, {'text': 'preparing', 'score': 0.1868}]"
5590663,"Mr 56"" hasn't officially commented on the latest incident in Tawang and is hiding as his usual self on critical issues.
When China captured Indian territories in Ladakh, Modi said, ""Na koi hamari seema mein ghus aaya hai, na hi koi ghusa hua hai...""
But Adani's new TV Channel👇 https://t.co/ry8jIBct4g",Pro OPP,pro opposition,china,"[{'text': 'china', 'score': 0.5257}, {'text': 'captured', 'score': 0.3094}, {'text': 'tv', 'score': 0.1177}]"
2229315,"Well said, ""If #USA can't control third rate power like #Pakistan what chance does it have in confronting China?"" https://t.co/LIQycxJUS2",Pro Ruling,pro ruling,china,"[{'text': 'china', 'score': 0.4583}, {'text': 'pakistan', 'score': 0.3792}, {'text': 'power', 'score': 0.3072}]"
5481795,"According to the report of The Klaxon:

China had suffered a devastating loss in the Galwan Valley clash in 2020.

Chinese Army (PLA) lost atleast 38 soldiers and not 4 as claimed by China.",Pro Ruling,pro ruling,china,"[{'text': 'china', 'score': 0.4669}, {'text': 'loss', 'score': 0.3918}, {'text': 'soldiers', 'score': 0.2996}]"
188409,"Strong Message! #IndiaChinaFaceoff
@newssting1 cartoon https://t.co/fWAHuxsql6",Pro OPP,pro opposition,china,"[{'text': 'china', 'score': 0.6449}, {'text': 'newssting1', 'score': 0.4295}, {'text': 'faceoff', 'score': 0.3981}]"
1410822,"First, China didn’t intrude India.

Now, China didn’t capture our soldiers.

Next, Chinese soldiers didn’t attack and kill our 20 soldiers ?! https://t.co/8kdf74CPWw",Pro OPP,pro opposition,china,"[{'text': 'china', 'score': 0.4814}, {'text': 'soldiers', 'score': 0.2901}, {'text': 'didn', 'score': 0.2508}]"
5094358,@rahulroushan concentration camp mein daal kar gujju bana diya sab ko! shame on china!,Pro Ruling,pro ruling,china,"[{'text': 'china', 'score': 0.6637}, {'text': 'shame', 'score': 0.4008}, {'text': 'camp', 'score': 0.3061}]"
110416,"The most shocking aspect of the Chinese intrusions is this: Many Indians clearly love @narendramodi more than they love their country.

They would close their eyes and allow China to capture chunks of Indian territory, rather than admit such a thing had happened on Modi’s watch.",Pro OPP,pro opposition,china,"[{'text': 'china', 'score': 0.5981}, {'text': 'indians', 'score': 0.3701}, {'text': 'shocking', 'score': 0.269}]"
7044835,"At UNSC, China has blocked proposal by US &amp; India to list Sajid Mir as international terrorist; Mir was responsible for 26/11 terror attacks",Pro Ruling,pro ruling,china,"[{'text': 'china', 'score': 0.4245}, {'text': 'terrorist', 'score': 0.4071}, {'text': 'proposal', 'score': 0.1873}]"
7486391,"#LeftRightCentre | ""In recent years, strengthening of QUAD, border infrastructure, and increased movement of India in the South China Sea (have been taken to push back against the Chinese)"": BJP's Ranbir Singh Pathania on the #TawangClash turning into a Nehru vs Modi debate https://t.co/IpQQLZGg46",Pro OPP,pro opposition,china,"[{'text': 'china', 'score': 0.5447}, {'text': 'india', 'score': 0.4495}, {'text': 'push', 'score': 0.2506}]"
