source_row,tweet,tweet_label,_label_norm,keyword,subjects_scored
7525324,"Scenes outside the polling station in Karnataka 🔥

#CongressWinning150 https://t.co/0q06K9TLbE",Pro OPP,pro opposition,congress,"[{'text': 'congress', 'score': 0.5443}, {'text': 'winning', 'score': 0.4089}, {'text': 'station', 'score': 0.2523}]"
5240325,"If it's Regional Party vs BJP : BJP loses

If it's Congress vs BJP : BJP wins

Congress is the reason for BJP's win

High time, Opposition consolidates without Congress

Let the vote katua Rahul Gandhi fight alone!!",Pro OPP,pro opposition,congress,"[{'text': 'congress', 'score': 0.4578}, {'text': 'loses', 'score': 0.2554}, {'text': 'high', 'score': 0.1259}]"
2263226,See how Congress treats little kids.. especially young women.. this is at their marathon in Jhansi !! https://t.co/cwkMXl1liF,Pro Ruling,pro ruling,congress,"[{'text': 'congress', 'score': 0.5201}, {'text': 'young', 'score': 0.3074}, {'text': 'marathon', 'score': 0.2536}]"
6392732,"They are reducing the Congress organisation to shell from which the spirit of service and sacrifice has been empted.

- Rajiv Gandhi at Congress Centenary Session (1985)",Pro OPP,pro opposition,congress,"[{'text': 'congress', 'score': 0.5045}, {'text': 'reducing', 'score': 0.3577}, {'text': 'spirit', 'score': 0.2338}]"
2229441,"Pls don't fall in this Congress vs TMC game designed by Prashant Kishore.

Don't forget that, it was Congress who had to transfer its vote share to TMC in Bengal to get that extra edge over BJP.

BJP was 8% behind Mamata, whr Mamata had to import 4-5% from Congress

PK mind games",Pro Ruling,pro ruling,congress,"[{'text': 'congress', 'score': 0.4939}, {'text': 'mamata', 'score': 0.2971}, {'text': 'games', 'score': 0.2614}]"
4678119,"#JaiCongress 

This is the way... https://t.co/ZpsIXNxSyT",Pro OPP,pro opposition,congress,"[{'text': 'congress', 'score': 0.6568}, {'text': 'way', 'score': 0.4175}, {'text': 'is', 'score': 0.3446}]"
7902359,The Congress on Friday asked Prime Minister Narendra Modi to fulfil his duty towards violence-hit Manipur instead of being busy in election campaign in Karnataka. https://t.co/F8lI5L4EIe,Pro OPP,pro opposition,congress,"[{'text': 'congress', 'score': 0.4114}, {'text': 'narendra', 'score': 0.2887}, {'text': 'hit', 'score': 0.0389}]"
2425065,"LIVE: Special Congress Party Briefing by Shri @rssurjewala, GS &amp; I/c, Communication, AICC, via Video Conferencing.

#BJP_का_श्रीराम_को_धोखा 

https://t.co/XnTi2iP34A",Pro OPP,pro opposition,congress,"[{'text': 'congress', 'score': 0.5743}, {'text': 'video', 'score': 0.4097}, {'text': 'rssurjewala', 'score': 0.397}]"
2200875,"Read the #CongressToolkit to understand what is it that we are looking at, if not @narendramodi. I have a 100 issues with @BJP4India but at least it is not a sell-out for power! #CongressToolkitExposed",Pro Ruling,pro ruling,congress,"[{'text': 'congress', 'score': 0.5403}, {'text': 'bjp4india', 'score': 0.3867}, {'text': 'sell', 'score': 0.0579}]"
7076955,Anurag Thakur : Himachal Congress is like Baraat without a groom.🤣🤣,Pro Ruling,pro ruling,congress,"[{'text': 'congress', 'score': 0.4903}, {'text': 'himachal', 'score': 0.4453}, {'text': 'groom', 'score': 0.3561}]"
