source_row,tweet,tweet_label,_label_norm,keyword,subjects_scored
7356102,“I would go to any extent for my country and my culture”: The producer of the smash hit of the year ‘The Kashmir Files’ in an exclusive interview with @anupamnawada https://t.co/DcIXcZE4tR,Pro Ruling,pro ruling,kashmir,"[{'text': 'kashmir', 'score': 0.592}, {'text': 'producer', 'score': 0.3178}, {'text': 'smash', 'score': 0.2256}]"
6166074,"Happy to meet dear friend and batchmate Sujit Kumar Singh, DIG Central Kashmir. You are such a great soul and fighter @sujitpchauhan https://t.co/jKb1hO78pt",Pro OPP,pro opposition,kashmir,"[{'text': 'kashmir', 'score': 0.5413}, {'text': 'happy', 'score': 0.3846}, {'text': 'batchmate', 'score': 0.0233}]"
4436954,And these buggers want Kashmir.... https://t.co/ibVjoLLaHA,Pro Ruling,pro ruling,kashmir,"[{'text': 'kashmir', 'score': 0.5915}, {'text': 'buggers', 'score': 0.2019}, {'text': 'want', 'score': 0.1865}]"
998334,Huge success for security forces in Kashmir https://t.co/mUuJSQcaEH,Pro OPP,pro opposition,kashmir,"[{'text': 'kashmir', 'score': 0.5106}, {'text': 'success', 'score': 0.3909}, {'text': 'forces', 'score': 0.3206}]"
7807850,"16- Nishat Garden Kashmir

The beautiful Nishat Bagh built in 1633 by Asaf Khan, elder brother of Nur Jahan and the Grand Vizier to Mughal emperor Shah Jahan. 17/n https://t.co/18M2QlOghy",Pro OPP,pro opposition,kashmir,"[{'text': 'kashmir', 'score': 0.5182}, {'text': 'garden', 'score': 0.2907}, {'text': 'elder', 'score': 0.2659}]"
1650848,Huge success for security forces in #Kashmir. Chief Commander of #HizbulMujahideen 'Dr' Saifullah killed in an encounter with security forces in #Srinagar. Reminded of what Lt Gen @Tiny_Dhillon said in an interview in #Kashmir 'Kitne Ghazi Aaye Aur Kitne Ghazi Gaye..' #IndiaFirst https://t.co/rJlDMbefxW,Pro Ruling,pro ruling,kashmir,"[{'text': 'kashmir', 'score': 0.5305}, {'text': 'killed', 'score': 0.3063}, {'text': 'dr', 'score': 0.158}]"
3687437,"08 July 1948

#JammuAndKashmir

Subedar Mohammad Ibrahim led three counter-attacks against enemy, forcing enemy to withdraw with heavy losses. Displayed extraordinary #courage &amp; #bravery. Awarded #VirChakra.

https://t.co/vK10ivh1Wg https://t.co/GnSAvoHqYC",Pro Ruling,pro ruling,kashmir,"[{'text': 'kashmir', 'score': 0.5086}, {'text': 'bravery', 'score': 0.418}, {'text': 'counter', 'score': 0.1171}]"
487532,Minimum aur Maximum ki samajh nahi.. aur in bhikhariyon ko Kashmir chahiye.. https://t.co/t5dAZRbqDx,Pro Ruling,pro ruling,kashmir,"[{'text': 'kashmir', 'score': 0.5969}, {'text': 'bhikhariyon', 'score': 0.5031}, {'text': 'maximum', 'score': 0.3861}]"
2183023,Save Kashmir!,Pro OPP,pro opposition,kashmir,"[{'text': 'kashmir', 'score': 0.7039}, {'text': 'save', 'score': 0.4172}]"
6760761,"Online booking system at Cineworld South Ruislip, London, showed house full for Kashmir Files. Either the cinema manager is a Harmful and tampered with the bookings, or the local Harmful population has booked and cancelled at the last minute. Entire community is in war mode 24/7. https://t.co/vrcY9YxwH6",Pro Ruling,pro ruling,kashmir,"[{'text': 'kashmir', 'score': 0.4773}, {'text': 'bookings', 'score': 0.3611}, {'text': 'tampered', 'score': 0.1631}]"
5378356,"On this day 19 years ago, 24 Kashmiri Pandits, which included toddlers, were brutally massacred in Nadimarg of South Kashmir by Islamist terrorists. Prayers for those who left us on that day for a better world. One of the masterminds, Zia Mustafa of Lashkar, was killed last year. https://t.co/5RjQuvjzzn",Pro Ruling,pro ruling,kashmir,"[{'text': 'kashmir', 'score': 0.5446}, {'text': 'killed', 'score': 0.3796}, {'text': 'toddlers', 'score': 0.229}]"
5727720,"BJP ecosystem is promoting #TheKashmirFiles.Facts — 

— BJP, an ally of VP Singh prevailed upon him to dismiss INC-NC Govt then &amp; that Jagmohan becomes Guv J&amp;K

— Kashmiri Pandits left J&amp;K during Jagmohan

— BJP has been in Central Govt for 13 years, since. Done zilch for Pandits",Pro OPP,pro opposition,kashmir,"[{'text': 'kashmir', 'score': 0.6505}, {'text': 'promoting', 'score': 0.1448}, {'text': 'dismiss', 'score': 0.0835}]"
7748360,New India's new Kashmir becomes an embodiment of inclusion and global harmony. https://t.co/GewqAmOJUY,Pro Ruling,pro ruling,kashmir,"[{'text': 'kashmir', 'score': 0.5734}, {'text': 'inclusion', 'score': 0.294}, {'text': 'harmony', 'score': 0.2826}]"
438143,"#NationalismInKashmir | Kashmiris want freedom from mis-governance, from corruption. They want equal rights before the Constitution of India: Nupur Sharma- Spokesperson, BJP &amp; Advocate https://t.co/p6IBvSCI7z",Pro Ruling,pro ruling,kashmir,"[{'text': 'kashmir', 'score': 0.6172}, {'text': 'nationalism', 'score': 0.5332}, {'text': 'constitution', 'score': 0.2923}]"
5722770,"MUST WATCH

@ArvindKejriwal speaks to @navikakumar about the politics revolving around #TheKashmirFiles. Listen in ⏬

 https://t.co/TZBwPk282s",Pro OPP,pro opposition,kashmir,"[{'text': 'kashmir', 'score': 0.577}, {'text': 'politics', 'score': 0.4103}, {'text': 'watch', 'score': 0.305}]"
5613104,History of Kashmir began in 1901? There was no Kashmir before 1901? What university has this Twitter handle acquired education from? https://t.co/h62e3xEQfp,Pro Ruling,pro ruling,kashmir,"[{'text': 'kashmir', 'score': 0.4891}, {'text': 'education', 'score': 0.3622}, {'text': '1901', 'score': 0.3142}]"
6706539,"#Viral picture from a  #KFC Store 

KFC store puts a banner on their counter which says,  “Entire Kashmir including POK is an integral part of India.” 

#Kashmir https://t.co/9mYX0ulXsB",Pro Ruling,pro ruling,kashmir,"[{'text': 'kashmir', 'score': 0.603}, {'text': 'counter', 'score': 0.1241}, {'text': 'viral', 'score': 0.0768}]"
3656109,Sad news from Sunderbani in Jammu &amp; Kashmir. Indian Army soldiers Nb Sub Sreejith M and Sep Maruprolu Jaswanth Reddy killed in action and made supreme sacrifice fighting terrorists today at LoC with Pakistan in Sunderbani sector. Rest In Peace. 🇮🇳 https://t.co/mTSUuH0kv3,Pro Ruling,pro ruling,kashmir,"[{'text': 'kashmir', 'score': 0.5464}, {'text': 'soldiers', 'score': 0.3595}, {'text': 'killed', 'score': 0.3243}]"
3527457,Watch @Nitin_Rivaldo https://t.co/fiFoRd6taY,Pro Ruling,pro ruling,kashmir,"[{'text': 'kashmir', 'score': 0.7417}, {'text': 'files', 'score': 0.4554}, {'text': 'watch', 'score': 0.4108}]"
2650159,"1 September 1965

#JammuAndKashmir

Major Bhaskar Roy commanding a squadron of tanks, held enemy advance &amp; destroyed several enemy tanks in Chhamb Sector. Awarded #MahaVirChakra.

https://t.co/HIRzfgnKyp https://t.co/EcOzDogeuW",Pro Ruling,pro ruling,kashmir,"[{'text': 'kashmir', 'score': 0.4372}, {'text': 'chhamb', 'score': 0.4115}, {'text': 'squadron', 'score': 0.2861}]"
7535708,"When u make a Kannadiga do Punjab’s Bhangra in Kashmir … 

@SachinAhimsa https://t.co/qWOkWFCQTn",Pro OPP,pro opposition,kashmir,"[{'text': 'kashmir', 'score': 0.6867}, {'text': 'bhangra', 'score': 0.5091}, {'text': 'make', 'score': 0.2399}]"
2254590,"What are the actual facts of the Kashmir case where a Sikh woman has eloped with a Muslim man? So far, have found only allegations by activists or protesters. Any ground report by a journalist?",Pro Ruling,pro ruling,kashmir,"[{'text': 'kashmir', 'score': 0.4311}, {'text': 'allegations', 'score': 0.3612}, {'text': 'protesters', 'score': 0.244}]"
787486,"#BREAKING: Encounter underway between terrorists and security forces in Yamrach of Kulgam in South Kashmir. CASO was underway in the area since midnight. 2-3 terrorists likely trapped. J&amp;K Police, Indian Army and CRPF on the job. More details are awaited.",Pro Ruling,pro ruling,kashmir,"[{'text': 'kashmir', 'score': 0.5385}, {'text': 'police', 'score': 0.3941}, {'text': 'midnight', 'score': 0.2032}]"
1796374,"JUST IN: Awantipora Police in Kashmir have arrested four terrorist associates linked to proscribed terror outfit Jaish e Muhammad. They have been identified as Shabir Ahmad Parray, Sheeraz Ahmad Dar, Shafat Ahmad Mir and Ishfaq Ahmad Shah residents of Bathen area of Khrew.",Pro Ruling,pro ruling,kashmir,"[{'text': 'kashmir', 'score': 0.4846}, {'text': 'arrested', 'score': 0.3173}, {'text': 'associates', 'score': 0.2159}]"
2165163,"BREAKING: Meeting began with MoS Jitendra Singh inviting J&amp;K leaders to speak. They said, what is the agenda of the meeting? Government should speak first. MoS said, no, you tell us what is on your mind about Jammu and Kashmir.",Pro OPP,pro opposition,kashmir,"[{'text': 'kashmir', 'score': 0.4319}, {'text': 'meeting', 'score': 0.4201}, {'text': 'breaking', 'score': 0.1445}]"
4157298,"Pakistani terrorist Ali Babar caught alive by the Indian Army urges Pakistan Army to reunite him with his mum in Okara.

Says the ISI radicalised him with the jihadist doctrine of Islam being under threat in India that he found to be all skewed agitprop on his arrival in Kashmir.",Pro Ruling,pro ruling,kashmir,"[{'text': 'kashmir', 'score': 0.4477}, {'text': 'caught', 'score': 0.2797}, {'text': 'radicalised', 'score': 0.1566}]"
1885589,Syed Geelani is dead. I normally remain silent on death of a person. The truth however does not change that he was instrumental in radicalising the youth of Kashmir to hate India. He was a propagator of Islamic terror.,Pro Ruling,pro ruling,kashmir,"[{'text': 'kashmir', 'score': 0.4266}, {'text': 'dead', 'score': 0.3645}, {'text': 'radicalising', 'score': 0.1655}]"
7515272,". @vivekagnihotri ‘s #Kashmirfiles which depicted the genocide of #KashmiriHindus in d late 80’s &amp; early 90’s is like an earth quake on these #UrbanNaxals like #PrakashRaj . 
The effect still continues . 
The entire cabal hd tried their best to hide ds biggest human tragedies. https://t.co/aM1bfiRk1g",Pro Ruling,pro ruling,kashmir,"[{'text': 'kashmir', 'score': 0.5593}, {'text': 'quake', 'score': 0.436}, {'text': '80', 'score': 0.1756}]"
