source_row,tweet,tweet_label,_label_norm,keyword,subjects_scored
6142554,"@RahulGandhi The love and respect he is getting from the public is mind-blowing 🔥

#BharatJodoYatra https://t.co/w8HSrnDORX",Pro OPP,pro opposition,rahulgandhi,"[{'text': 'rahulgandhi', 'score': 0.6428}, {'text': 'respect', 'score': 0.4514}, {'text': 'blowing', 'score': 0.2534}]"
2740942,"Don't forget to watch Shri @RahulGandhi in Kerala
#SwagathamRahulGandhi https://t.co/YOsU23d0Bj",Pro OPP,pro opposition,rahulgandhi,"[{'text': 'rahulgandhi', 'score': 0.6775}, {'text': 'watch', 'score': 0.4949}, {'text': 'swag', 'score': 0.2904}]"
2084516,"NSUI starts #Sahyog campaign for #Covid patients

Mr @Neerajkundan : 

As per @RahulGandhi ji’s instructions
we have started this Free #Oxygen support enabled Ambulance Service in Delhi

(PS : Contact numbers issued by NSUI for this service:
9756266887
9560000910
9169515455 ) https://t.co/0GkypcPrcy",Pro OPP,pro opposition,rahulgandhi,"[{'text': 'rahulgandhi', 'score': 0.4408}, {'text': 'patients', 'score': 0.3585}, {'text': 'oxygen', 'score': 0.323}]"
5309582,"Wishing @RahulGandhi many more happy returns of the day! 

May God bless you with good health &amp; give you enough strength to fight this fascist force to save our nation.

Dedicating this picture drawn by my friend Abhilash Thiruvoth for this special day!
#HappyBirthdayRahulGandhi https://t.co/pxIkT5mjaH",Pro OPP,pro opposition,rahulgandhi,"[{'text': 'rahulgandhi', 'score': 0.5311}, {'text': 'fascist', 'score': 0.3997}, {'text': 'returns', 'score': 0.2276}]"
1996911,Congress President Mrs Sonia Gandhi &amp; Mr @RahulGandhi at AICC headquarters today https://t.co/nNOcDuMTcr,Pro OPP,pro opposition,rahulgandhi,"[{'text': 'rahulgandhi', 'score': 0.5893}, {'text': 'congress', 'score': 0.4943}, {'text': 'headquarters', 'score': 0.4345}]"
5373387,"“PM can't change my behavior by making me sit in ED office”, says Mr @RahulGandhi adding, “My behaviour is shaped by my affection for people of my country. It can’t never b shaped by my opponents or my enemies”

Mr Gandhi was addressing a rally in #Wayanad
https://t.co/D2nS9Tjwdk",Pro OPP,pro opposition,rahulgandhi,"[{'text': 'rahulgandhi', 'score': 0.4542}, {'text': 'rally', 'score': 0.3008}, {'text': 'office', 'score': 0.2452}]"
1126138,"Mr @SATAVRAJEEV : @RahulGandhi ji is our boss 

( Mr Gandhi at AICC headquarters) https://t.co/FdT4ToqePx",Pro OPP,pro opposition,rahulgandhi,"[{'text': 'rahulgandhi', 'score': 0.6421}, {'text': 'boss', 'score': 0.4718}, {'text': 'our', 'score': 0.3217}]"
100429,"Capt Amarinder Singh : 

Electoral defeats could not be yardstick for leadership change

Gandhis are the right fit for this role

Mrs Sonia Gandhi should continue at helm of Congress

and then @RahulGandhi should thereafter take over as he is fully competent to lead the party https://t.co/HhCF7hFp7m",Pro OPP,pro opposition,rahulgandhi,"[{'text': 'rahulgandhi', 'score': 0.4771}, {'text': 'leadership', 'score': 0.4492}, {'text': 'congress', 'score': 0.3673}]"
7550730,Here is GVK group VC refuting @RahulGandhi ‘s allegation about Adani forcibly buying Mumbai AirPort from GVK group - Rahul Gandhi is a congenital liar! https://t.co/ZNl6dZDN3r,Pro Ruling,pro ruling,rahulgandhi,"[{'text': 'rahulgandhi', 'score': 0.5084}, {'text': 'liar', 'score': 0.4303}, {'text': 'airport', 'score': 0.2379}]"
5383461,Former RBI Governor Raghuram Rajan with @RahulGandhi in #BharatJodaYatra https://t.co/KaI5dy0EQG,Pro OPP,pro opposition,rahulgandhi,"[{'text': 'rahulgandhi', 'score': 0.5689}, {'text': 'governor', 'score': 0.206}, {'text': 'with', 'score': 0.1564}]"
