source_row,tweet,tweet_label,_label_norm,keyword,subjects_scored
77202,"Sonia gave the cry to hit the streets. Umar Khalid exhorted mobs to attack the day Trump arrived. Harsh Mander said no faith in SC, the street will decide. ShaheenBagh protesters lionised. Global media &amp; its Indian toadies spread fake narrative of fascist India #DelhiRiotTruth https://t.co/NtYq1aatDj",Pro Ruling,pro ruling,shaheen bagh,"[{'text': 'khalid', 'score': 0.474}, {'text': 'protesters', 'score': 0.4288}, {'text': 'toadies', 'score': 0.0988}]"
672658,"Women at #Malerkotla have been protesting in solidarity with the women of #ShaheenBagh. With Sikh farmers joining in, a rally is planned on February 16.  Malerkotla stands for inter-faith harmony https://t.co/n5Wo5w6fZW",Pro OPP,pro opposition,shaheen bagh,"[{'text': 'sikh', 'score': 0.4915}, {'text': 'rally', 'score': 0.4631}, {'text': 'women', 'score': 0.4169}]"
1044141,"Growing fear among residents of Sarita Vihar, Friends Colony Sukhdev Vihar etc that #ShaheenBaghLumpens might implement #SharjeelIslam formula of cutting off these areas from rest of Delhi to unleash mayhem on Hindu population.Does @DelhiPolice have any back up plan @AmitShah ji?",Pro Ruling,pro ruling,shaheen bagh,"[{'text': 'delhi', 'score': 0.5998}, {'text': 'fear', 'score': 0.2548}, {'text': 'cutting', 'score': 0.1664}]"
954733,"Khalid Saifi who was arrested by the Delhi police for masterminding Delhi riots had travelled to Malaysia to meet Zakir Naik.

Saifi was also seen with Umer Khalid in Shaheen Bagh. Huge funds were transferred from Singapore to Umer Khalid’s NGO, allegedly from a PFI associate.",Pro Ruling,pro ruling,shaheen bagh,"[{'text': 'khalid', 'score': 0.4808}, {'text': 'arrested', 'score': 0.3084}, {'text': 'funds', 'score': 0.093}]"
76893,"Shocking!
About 500-600 uncouth hijabis have collected at Shaheen Bagh demanding Police to return their place of protest after they were made to vacate d illegally occupied road!
They seriously think Delhi is under Sharia rule&amp; will do what they want?
Taking advantage of being M? https://t.co/fjxqyrkULl",Pro Ruling,pro ruling,shaheen bagh,"[{'text': 'hijabis', 'score': 0.4877}, {'text': 'police', 'score': 0.3474}, {'text': 'protest', 'score': 0.2702}]"
471209,"Shaheen Bagh is a franchise model- now that it seems SC may ask Shaheen Bagh prayog to shift - the biryani &amp; shernis have shifted to a new outlet in #Jafrabad 

Live on @TimesNow at 9pm",Pro Ruling,pro ruling,shaheen bagh,"[{'text': 'bagh', 'score': 0.5265}, {'text': 'shift', 'score': 0.3364}, {'text': 'franchise', 'score': 0.2326}]"
1650254,"Rohit Vemula's mother Radhika Vemula, Junaid's mother and the Dadis (grndmothers) of #ShaheenBagh hoisted the national flag at the protest venue.
See the sea of people cheering..
Video: @zafarabbaszaidi https://t.co/D9w9eKZufj",Pro OPP,pro opposition,shaheen bagh,"[{'text': 'flag', 'score': 0.6002}, {'text': 'zafarabbaszaidi', 'score': 0.4352}, {'text': 'video', 'score': 0.234}]"
503971,"Understand #ShaheenBagh protestors WANT you to see this. Why? Cuz their protest is fizzling, like the JNU registration blockade. What’s the obvious next step? Like JNU, to either start violence or force the state to act, so they can play the victim card to redeem their failure. https://t.co/9f5QnYavyS",Pro Ruling,pro ruling,shaheen bagh,"[{'text': 'protest', 'score': 0.5781}, {'text': 'next', 'score': 0.2789}, {'text': 'card', 'score': 0.097}]"
84012,"Revolutionary salute!

Women have been fighting for the last 28 days in Shaheen Bagh to protect the Constitution, she is struggling for herself, for her country, and for the coming generation, you are writing an immortal history of independent India. Thank you!

#सलाम_शाहीन_बाग https://t.co/P1J0uIAjSc",Pro OPP,pro opposition,shaheen bagh,"[{'text': 'revolutionary', 'score': 0.4333}, {'text': 'women', 'score': 0.4086}, {'text': 'india', 'score': 0.3851}]"
1955033,"""andolanjeevis have brought the country to a standstill."" 

So true, right from the shaheen bagh kudrati dharna success, the left thinks it has found a winning formula. https://t.co/gd37fGPgrJ",Pro Ruling,pro ruling,shaheen bagh,"[{'text': 'winning', 'score': 0.4975}, {'text': 'standstill', 'score': 0.3267}, {'text': 'andolanjeevis', 'score': 0.3208}]"
