source_row,tweet,tweet_label,_label_norm,keyword,subjects_scored
353808,#ProfAshokGulati: “Repealing these farm laws would be like robbing more than 90% of farmers — who never gained from the #MSP system &amp; are largely small &amp; marginal — of their rights.” #FarmersProtest,Pro Ruling,pro ruling,farm laws,"[{'text': 'farmers', 'score': 0.5352}, {'text': 'repealing', 'score': 0.3187}, {'text': 'marginal', 'score': 0.2857}]"
4241647,"CM @ArvindKejriwal reaches Punjab

Talks to Media at the airport.

AAP to hold a Mega Rally today in Punjab to support Farmers in their fight against the Three Farm Laws https://t.co/UIsoXwLVH5",Pro OPP,pro opposition,farm laws,"[{'text': 'rally', 'score': 0.3963}, {'text': 'farmers', 'score': 0.2226}, {'text': 'airport', 'score': 0.1404}]"
2811639,BJP spokespersons ran a propaganda that Kerala had no APMC mandis  &amp; thus questioned ruling Left’s stand on farm laws. Here is Kerala’s  record. You decide who is distorting facts. https://t.co/0AP7ocxggK,Pro OPP,pro opposition,farm laws,"[{'text': 'farm', 'score': 0.2647}, {'text': 'apmc', 'score': 0.2061}, {'text': 'distorting', 'score': 0.1186}]"
563053,"#ModiGovt seems to be in ego clash with #Farmers, Govt must repeal farm laws, says #RaghavChadha 
#AAP #FarmersProtest 
https://t.co/9p6QBzHBa7",Pro OPP,pro opposition,farm laws,"[{'text': 'farmers', 'score': 0.5341}, {'text': 'chadha', 'score': 0.2086}, {'text': 'protest', 'score': 0.1481}]"
604944,"With Ranjeet Singh, who is at the forefront of #FarmersProtests at Rajasthan-Haryana border at #Shahjahanpur, around 4 thousand farmers have gathered at the border to protest against the #FarmLaws ! https://t.co/e3D95WL3di",Pro OPP,pro opposition,farm laws,"[{'text': 'farmers', 'score': 0.5677}, {'text': 'protests', 'score': 0.3693}, {'text': 'border', 'score': 0.2905}]"
1295511,"Farmers protesting against the Centre's new farm laws at the Singhu border banged utensils. Farm leaders had urged people to beat utensils during PM's 'Mann Ki Baat' radio programme, the same way the prime minister had asked people in March to beat 'thalis' (steel plates). https://t.co/hqhL8Rl4M7",Pro OPP,pro opposition,farm laws,"[{'text': 'farmers', 'score': 0.5215}, {'text': 'protesting', 'score': 0.4251}, {'text': 'utensils', 'score': 0.3334}]"
627058,"Make the New farm Laws optional for the States :

States which want to keep their farmers in 19th century era can opt out and those states which wants to take their farmers to 21st century can implement it.",Pro Ruling,pro ruling,farm laws,"[{'text': 'farmers', 'score': 0.469}, {'text': 'states', 'score': 0.4081}, {'text': 'optional', 'score': 0.277}]"
2781800,"Anil Ghanawat joined the Shetkari Sanghatana after Bobde, as a Nagpur lawyer, stopped representing the group but veterans from the time question his inclusion in the farm laws committee appointed by the SC. | @Pavan_Dahat

https://t.co/VbWmqgKnPv",Pro OPP,pro opposition,farm laws,"[{'text': 'ghanawat', 'score': 0.4355}, {'text': 'anil', 'score': 0.3415}, {'text': 'veterans', 'score': 0.2808}]"
4049271,"Scared of losing elections, Narendra Modi Modi govt repeals 3 farm laws #जीता_किसान_हारा_अभिमान #FarmLaws #Farmers https://t.co/fxhBtQJiWS",Pro OPP,pro opposition,farm laws,"[{'text': 'farmers', 'score': 0.4916}, {'text': 'repeals', 'score': 0.3498}, {'text': 'scared', 'score': 0.1697}]"
3679120,"Repost | #PMModi on 19 November announced that the three #farmlaws will be repealed. In light of this event, here's revisiting this rendition of 'Hum Dekhenge' by Indora Brothers that was used to pay tribute to the farmer's protesting in India. https://t.co/5SeOXPWe9Q",Pro OPP,pro opposition,farm laws,"[{'text': 'repealed', 'score': 0.5538}, {'text': 'farm', 'score': 0.4361}, {'text': 'light', 'score': -0.0165}]"
2838124,"RJD MP Mr @manojkjhadu gives adjournment notice in Rajya Sabha to discuss #FarmersProtest against #FarmLaws 

#MonsoonSession https://t.co/B1eNJIkFyu",Pro OPP,pro opposition,farm laws,"[{'text': 'adjournment', 'score': 0.4446}, {'text': 'farmers', 'score': 0.3565}, {'text': 'monsoon', 'score': 0.332}]"
763778,Veteran actor #Dharmendra on Friday said he was pained to see farmers suffering and urged the central government to find a solution to their protests over the #farmlaws https://t.co/Vtw1nDCIF7,Pro OPP,pro opposition,farm laws,"[{'text': 'suffering', 'score': 0.466}, {'text': 'farmers', 'score': 0.4391}, {'text': 'government', 'score': 0.0735}]"
2347537,"News Media should bring out the ground reality, ensuring transparency &amp; accountability of elected officials,  but Aaj Tak &amp; Godi Media are serving as PR Team of Modi Govt. 

Why these channels don't question about the unconstitutional farm laws?
#AajTak_दलाल_मोदी_का https://t.co/aPRBfRIVk9",Pro OPP,pro opposition,farm laws,"[{'text': 'media', 'score': 0.54}, {'text': 'unconstitutional', 'score': 0.2079}, {'text': 'farm', 'score': 0.1511}]"
1929829,"Hello Padhe-Likhe @sudhirchaudhary 👋👋 #Farmlawsrepealed
https://t.co/brPRptBOLK",Pro OPP,pro opposition,farm laws,"[{'text': 'repealed', 'score': 0.5757}, {'text': 'farm', 'score': 0.4139}, {'text': 'sudhirchaudhary', 'score': 0.3652}]"
1433972,The government asked protesting #farmer unions to specify their concerns over its earlier proposal of amendments in the new #FarmLaws and choose a convenient date for the next round of talks so that the ongoing agitation could end at the earliest.  https://t.co/QuB3JfxLlC,Pro OPP,pro opposition,farm laws,"[{'text': 'protesting', 'score': 0.363}, {'text': 'unions', 'score': 0.3423}, {'text': 'farmer', 'score': 0.3389}]"
1744641,Rahul Gandhi tweets to fuel farmers’ protests: Here is how Congress had promised similar farm laws in 2019 election manifesto https://t.co/02LNBibtjK,Pro Ruling,pro ruling,farm laws,"[{'text': 'farmers', 'score': 0.4646}, {'text': 'congress', 'score': 0.4538}, {'text': 'tweets', 'score': 0.3507}]"
1994947,"Good morning. Here's the front page of The Telegraph for you. 

Read more at https://t.co/vvOWWc6Re5

#unputdownable #telegraphfrontpage #politicalnews #covid19 #FarmLaws  #FarmLawsRepealed #FarmersProtest #indiangovt https://t.co/etRNahZlzK",Pro OPP,pro opposition,farm laws,"[{'text': 'telegraph', 'score': 0.5202}, {'text': 'siddiqui', 'score': 0.3466}, {'text': 'frontpage', 'score': 0.2581}]"
4934829,Govt-Farmer talks inconclusive. Next round on Jan 8. Farmers know perfectly well govt will not repeal farm laws. They want to carry on talking &amp; agitating at least till Jan 26.,Pro Ruling,pro ruling,farm laws,"[{'text': 'farmer', 'score': 0.5024}, {'text': 'inconclusive', 'score': 0.31}, {'text': 'talks', 'score': 0.27}]"
2563155,"#FarmLawsRepealed | It is a very strange situation for the Opposition, they are like a rudderless ship. Their problem is not with the farm laws, it's with Narendra Modi: @gauravbh - National Spokesperson, BJP &amp; Sr. Advocate, SC

Watch here - https://t.co/RZHKU3wOei https://t.co/AjUdztlUlp",Pro Ruling,pro ruling,farm laws,"[{'text': 'farm', 'score': 0.4998}, {'text': 'repealed', 'score': 0.4009}, {'text': 'rudderless', 'score': 0.1972}]"
165242,"Delhi Police stop sportspersons marching towards Rashtrapati Bhavan to return their awards to the President in protest against the new farm laws. 

""30 sportspersons from Punjab and some others want to return their awards,"" says wrestler Kartar Singh 

(Source: ANI) https://t.co/E6neAZqIIN",Pro OPP,pro opposition,farm laws,"[{'text': 'marching', 'score': 0.4294}, {'text': 'awards', 'score': 0.3197}, {'text': 'delhi', 'score': 0.2114}]"
2604909,"#IndiaAgainstPropaganda | Last week we had IMF's Chief Economist Gita Gopinath backing the farm laws. None of these people retweeted her then, but now that Rihanna, Greta and Mia Khalifa are tweeting they're very excited: @sambitswaraj, National Spokesperson, BJP #IndiaTogether",Pro Ruling,pro ruling,farm laws,"[{'text': 'propaganda', 'score': 0.4664}, {'text': 'india', 'score': 0.4015}, {'text': 'farm', 'score': 0.2605}]"
239412,"For anyone who wishes to understand the new farm laws without ideological lenses, here is an excellent explainer:https://t.co/V4uAit8YIh",Pro OPP,pro opposition,farm laws,"[{'text': 'farm', 'score': 0.555}, {'text': 'laws', 'score': 0.4117}, {'text': 'lenses', 'score': 0.0846}]"
3509831,"Aftr the repeal of farm laws, guaranteed MSP is wht is demand to end the protest
Govt must listen &amp; fulfil ths demand
#MSP_लाओ_किसान_बचाओ",Pro OPP,pro opposition,farm laws,"[{'text': 'repeal', 'score': 0.443}, {'text': 'mspल', 'score': 0.3487}, {'text': 'farm', 'score': 0.311}]"
3933642,"This ANI headline is completely misleading . This is actual draft by the US.

NO MENTION OF FARM LAWS https://t.co/MJIMSXSHTf https://t.co/nHdoEObZ5Y",Pro OPP,pro opposition,farm laws,"[{'text': 'farm', 'score': 0.4627}, {'text': 'draft', 'score': 0.4019}, {'text': 'headline', 'score': 0.3504}]"
3243208,"In North Karnataka, Jola (Jowar or Sorghum) is a staple food.

MSP is ₹2640.
Open market rate: Up to ₹3600 in Davanagere, ₹3700 in Viajayapura, ₹3500 in Kalaburagi, ₹4000 in Bidar etc..

50% of the farmers have sold in open market!

Show to those opposing #FarmLaws2020
#VK https://t.co/ke1bMdmj5v",Pro Ruling,pro ruling,farm laws,"[{'text': 'market', 'score': 0.4238}, {'text': 'jowar', 'score': 0.3725}, {'text': 'food', 'score': 0.2976}]"
2083168,"Ms @priyankagandhi reaches 12 Tuglak Lane to meet Punjab MPs/MLAs 

#FarmLaws https://t.co/oCfewE5kR2",Pro OPP,pro opposition,farm laws,"[{'text': 'lane', 'score': 0.2951}, {'text': 'priyankagandhi', 'score': 0.2844}, {'text': 'farm', 'score': 0.1602}]"
373688,"Intentions, policies of Centre are towards welfare of farmers: #NarendraSinghTomar All India Kisan Coordination Committee members

#FarmersProtests #FarmLaws 

https://t.co/ox4Vde93cE",Pro Ruling,pro ruling,farm laws,"[{'text': 'farmers', 'score': 0.5968}, {'text': 'protests', 'score': 0.2595}, {'text': 'welfare', 'score': 0.2508}]"
