source_row,tweet,tweet_label,_label_norm,keyword,subjects_scored
5787182,J&amp;K LG Manoj Sinha has ordered enquiry into tear gas shelling &amp; lathicharge against protesting Kashmiri Pandits in Budgam. Police had used tear gas against KPs protesting against the killing of KP Govt. employee Rahul Bhat. Senior officer who ordered it needs to be shunted out.,Pro Ruling,pro ruling,kashmiri pandits,"[{'text': 'tear', 'score': 0.3545}, {'text': 'gas', 'score': 0.2462}, {'text': 'employee', 'score': 0.1176}]"
2993016,"#Bengal was an election of low margins

TMC won 92 seats with margin less than 2,500

BJP won 27

If demographics is the reason then Minority voted as one &amp; Majority separated.

Now all #Hindus in Bengal are in peril Kashmiri Pandits

What will BJP do?

It is truly #BengalBurning https://t.co/7qzI7DaGJm",Pro Ruling,pro ruling,kashmiri pandits,"[{'text': 'hindus', 'score': 0.4868}, {'text': 'election', 'score': 0.3999}, {'text': 'seats', 'score': 0.1799}]"
6482345,"#KashmiriPandits demand SIT probe into ‘illegal lease, sale’ of temple properties in Valley
https://t.co/KUT4mGs61d",Pro OPP,pro opposition,kashmiri pandits,"[{'text': 'temple', 'score': 0.4238}, {'text': 'sit', 'score': 0.2994}, {'text': 'lease', 'score': 0.2738}]"
7755101,"Once Barkha Dutt even justified the gruesome Kashmiri Pandit's genocide

 https://t.co/5N1EwLUEQb",Pro Ruling,pro ruling,kashmiri pandits,"[{'text': 'genocide', 'score': 0.5863}, {'text': 'pandit', 'score': 0.4141}, {'text': 'justified', 'score': 0.2086}]"
5460586,"State administration? You mean “Union Territory administration” right? 

Which party runs the Union Govt of India? Who is the Union Home Minister? 

Yes they’re complicit in the persecution of Kashmiri Pandits as you’ve rightly said. 

Question is - why so afraid of naming them? https://t.co/xnBy1EqMgv",Pro OPP,pro opposition,kashmiri pandits,"[{'text': 'india', 'score': 0.3948}, {'text': 'union', 'score': 0.3455}, {'text': 'minister', 'score': 0.2773}]"
5796588,Arm them !! #KashmiriPandits,Pro Ruling,pro ruling,kashmiri pandits,"[{'text': 'pandits', 'score': 0.6419}, {'text': 'them', 'score': 0.5399}, {'text': 'arm', 'score': 0.4469}]"
5546829,"Did you know ?

Kashmiri Pandits were without ration for 3 months in 2016.

Out of this 3 month, J&amp;K was under Governor rule for 2 month and 1 month under PDP- BJP government https://t.co/DsmLHEb6rt",Pro OPP,pro opposition,kashmiri pandits,"[{'text': 'ration', 'score': 0.3389}, {'text': 'governor', 'score': 0.2053}, {'text': 'pdp', 'score': 0.1804}]"
4116589,Sis Ganj Sahib Gurudwara marks the place where Guru Tegh Bahadur was beheaded on orders of Aurangzeb for saving Kashmiri Pandits who refused to convert to Islam. Respects to Guru Tegh Bahadur. https://t.co/32tIuHZ7e1,Pro Ruling,pro ruling,kashmiri pandits,"[{'text': 'gurudwara', 'score': 0.6196}, {'text': 'beheaded', 'score': 0.4635}, {'text': 'refused', 'score': 0.0888}]"
6923916,Why are tear gas shells being fired on Kashmiri Pandits asks Delhi CM @ArvindKejriwal .. https://t.co/vo3JHsJ4WB,Pro OPP,pro opposition,kashmiri pandits,"[{'text': 'delhi', 'score': 0.4227}, {'text': 'fired', 'score': 0.3995}, {'text': 'gas', 'score': 0.2479}]"
1454358,"Rajiv as PM:

1984: Sikh Genocide 
1984: Bhopal Gas Tragedy, helped Anderson escape
1985: Denied Shah Bano rights by rejecting SC verdict for vote bank
1987: Bofors Scam
1989: LTTE Blunder
1990: Exodus of Kashmiri Pandits

Is this why he got Bharat Ratna?
#RememberingRajivGandhi",Pro Ruling,pro ruling,kashmiri pandits,"[{'text': 'shah', 'score': 0.5254}, {'text': 'exodus', 'score': 0.282}, {'text': 'scam', 'score': 0.1849}]"
1174736,"Kashmiri Hindu Genocide by Izlamic fundamentalists is the most brutal, cruel   act of ethnic cleansing of recent times
Kashmiri pandits have spent last 30 years without a home that they always yearned for..
And what @VVCFilms did?
HE CHEATED KPs by patronising xihadis!
For Money? https://t.co/S6lfSEjzY5",Pro Ruling,pro ruling,kashmiri pandits,"[{'text': 'genocide', 'score': 0.5125}, {'text': 'fundamentalists', 'score': 0.2264}, {'text': 'kps', 'score': 0.1268}]"
5417403,"BJP Toolkit Gang suddenly becomes hyper active when their film is criticized. 

But when Kashmiri Pandits actually raise their issues, they switch to silent mode.",Pro OPP,pro opposition,kashmiri pandits,"[{'text': 'pandits', 'score': 0.3215}, {'text': 'criticized', 'score': 0.3136}, {'text': 'raise', 'score': 0.0204}]"
5723240,"Centre not in favour of moving Kashmiri Pandits/Hindus to Jammu to avoid a repeat of the situation in the 1990s when thousands migrated under government’s watch. Security agencies anticipate more attacks in the coming days, I report  https://t.co/7ZOAr4snSb",Pro OPP,pro opposition,kashmiri pandits,"[{'text': 'hindus', 'score': 0.4009}, {'text': 'security', 'score': 0.282}, {'text': 'moving', 'score': 0.2502}]"
5317036,"Reading Hanuman Chalisa, turning off loudspeakers won't solve Kashmiri Pandits' issue: Shiv Sena's Sanjay Raut

#shivsena #sanjayraut #hanumanchalisarow #KashmiriPandits 
https://t.co/ptrsYk1YPz",Pro OPP,pro opposition,kashmiri pandits,"[{'text': 'pandits', 'score': 0.4692}, {'text': 'loudspeakers', 'score': 0.4563}, {'text': 'turning', 'score': 0.1935}]"
5111233,"Jagati camp, where Kashmiri Pandits have been staying as refugees. This camp is on the way to Katra. But Rahul Gandhi didn't bother to visit them.

This is called Secularism !",Pro Ruling,pro ruling,kashmiri pandits,"[{'text': 'camp', 'score': 0.4544}, {'text': 'pandits', 'score': 0.4153}, {'text': 'secularism', 'score': 0.3896}]"
925007,"Doctors and paramedics seen here trying to revive Kashmiri Pandit Sarpanch Ajay Pandita who was attacked by terrorists earlier this afternoon in Anantnag, Kashmir. Yet another cold blooded murder in Kashmir exposing Islamist terrorism backed by Pakistan. https://t.co/D0s5ez4wLa",Pro Ruling,pro ruling,kashmiri pandits,"[{'text': 'murder', 'score': 0.4602}, {'text': 'paramedics', 'score': 0.3569}, {'text': 'pandit', 'score': 0.2951}]"
798304,"The historic Shankracharya Temple of Srinagar, Kashmir over the Zabarwan Range has been illuminated on #MahaShivaratri or as Kashmiri Pandits call Herath. It looks so beautiful. I visit the abode of Lord Shiva every time I am in Kashmir. There is a feeling of calm one gets there. https://t.co/aNzXMIPmFl",Pro Ruling,pro ruling,kashmiri pandits,"[{'text': 'srinagar', 'score': 0.6004}, {'text': 'illuminated', 'score': 0.4266}, {'text': 'calm', 'score': 0.2015}]"
7292145,"What’s vulgar about #NadavLapid’s “total apology” to #KashmiriPandits is he doesn’t utter a word condemning #Pak-backed jihadis who terrorised Pandits, killed the men, raped their women &amp; forced peace loving Pandit families into exile. Critique the movie but condemn the terrorist https://t.co/ZOqJIEj2UR",Pro Ruling,pro ruling,kashmiri pandits,"[{'text': 'jihadis', 'score': 0.4845}, {'text': 'apology', 'score': 0.4214}, {'text': 'pandit', 'score': 0.2607}]"
5520699,"Nearly 1,700 Kashmiri Pandits appointed in various government departments by the J&amp;K administration since abrogation of Art 370: Govt in Rajya Sabha",Pro Ruling,pro ruling,kashmiri pandits,"[{'text': 'pandits', 'score': 0.3823}, {'text': 'appointed', 'score': 0.3511}, {'text': '700', 'score': 0.1911}]"
2620570,"#BREAKING | Jammu &amp; Kashmir Government starts an online portal where migrants whose properties have been illegally occupied can file complaints. 
@manojsinha_ 
#JammuAndKashmir #KashmiriPandits",Pro Ruling,pro ruling,kashmiri pandits,"[{'text': 'portal', 'score': 0.4334}, {'text': 'illegally', 'score': 0.3454}, {'text': 'complaints', 'score': 0.2848}]"
1804340,"Kashmiri Pandits tweet ""pledge to return home"" with #HumWapasAayenge. https://t.co/wuiPDcyyJW https://t.co/P5HzWsH6iU",Pro OPP,pro opposition,kashmiri pandits,"[{'text': 'home', 'score': 0.3917}, {'text': 'tweet', 'score': 0.3795}, {'text': 'wap', 'score': 0.2847}]"
7401325,"Home Minister Amit Shah, J-K LG to hold meetings on June 3 on killing of Kashmiri Pandits

Read @ANI Story | https://t.co/1TcMMhtbuc
#KashmiriPandits #AmitShah #JammuAndKashmir https://t.co/n546IrrYcv",Pro Ruling,pro ruling,kashmiri pandits,"[{'text': 'meetings', 'score': 0.5087}, {'text': 'kashmir', 'score': 0.4256}, {'text': 'killing', 'score': 0.172}]"
5781788,"Massive crowd at Faridabad to watch #TheKashmirFiles right now. This screening is special because it has been hosted by Kashmiri Pandits who suffered genocide and led a movement since 2006 against Yasin Malik and Bitta Karate. Thank you Amal Magazine, Rashneek Kher and others. https://t.co/K6xdbTmXB9",Pro Ruling,pro ruling,kashmiri pandits,"[{'text': 'faridabad', 'score': 0.6174}, {'text': 'watch', 'score': 0.3624}, {'text': 'files', 'score': 0.2763}]"
5643645,You know it's possible to stand with Kashmiri Pandits without creating hatred against Muslims.,Pro OPP,pro opposition,kashmiri pandits,"[{'text': 'muslims', 'score': 0.5115}, {'text': 'pandits', 'score': 0.2898}, {'text': 'without', 'score': 0.1667}]"
7694101,"Speaking at an event in UK Parliament campus, UK MP @BobBlackman terms Exodus of Kashmiri Pandits from the valley as ""ethnic cleansing"" https://t.co/kyvlWEtGNL https://t.co/73xblVr2AH",Pro Ruling,pro ruling,kashmiri pandits,"[{'text': 'exodus', 'score': 0.5299}, {'text': 'valley', 'score': 0.3893}, {'text': 'bobblackman', 'score': 0.1568}]"
6458416,"""I killed Satish Tickoo because he was from the RSS. I killed 40 or more Kashmiri Pandits"" said Bitta Karate (Farooq Dar) in a TV interview. And where is he after confessing to systematically murdering Hindus? In jail? No. This ""butcher of Pandits"" remains a free man. Sickening.",Pro Ruling,pro ruling,kashmiri pandits,"[{'text': 'hindus', 'score': 0.5774}, {'text': 'killed', 'score': 0.3511}, {'text': 'farooq', 'score': 0.2759}]"
5402602,"Respected @narendramodi Ji. 🙏
I request you to visit Jagti Refugee camp of #KashmiriPandits during your Jammu Visit. 
It will enhance &amp; boost our  morale. 
Sadly we are living in pathetic conditions in this camp. .",Pro Ruling,pro ruling,kashmiri pandits,"[{'text': 'narendramodi', 'score': 0.5004}, {'text': 'refugee', 'score': 0.4972}, {'text': 'pathetic', 'score': 0.1882}]"
7906441,"NIA has attached properties of Terr0rist Organisation Hizbul Mujahideen Chief Syed Salahuddin under UAPA!

Who is he?

🔸He is “Misguided Old Man"" in @ndtv language.
🔸He is one who used to enjoy Cocktail Parties with Then CM Farooq Abdullah after Kashmiri Pandits Exodus from… https://t.co/x1NgqV88Xh",Pro Ruling,pro ruling,kashmiri pandits,"[{'text': 'salahuddin', 'score': 0.5196}, {'text': 'ndtv', 'score': 0.3504}, {'text': 'under', 'score': 0.167}]"
6299832,"A total of 64,827 families left after 1990 due to militancy… Read it again 64,827  families left when asked in an RTI, after 1990 how many #KashmiriPandits left the state.
Still they wud keep harping nothing happened and #kashmirifiles is a bunch of lies. https://t.co/kqWvF4nmYI",Pro Ruling,pro ruling,kashmiri pandits,"[{'text': 'families', 'score': 0.3613}, {'text': 'militancy', 'score': 0.2201}, {'text': 'harping', 'score': 0.0532}]"
1118231,"My twitter dp for today !! 
#KashmiriPandits 
#MySupport https://t.co/0N5KjAdfnn",Pro Ruling,pro ruling,kashmiri pandits,"[{'text': 'twitter', 'score': 0.5419}, {'text': 'support', 'score': 0.3974}, {'text': 'dp', 'score': 0.2758}]"
6260970,"🔸 The 25th anniversary of forgotten massacre of Kashmiri Hindus of Barshalla, Kishtwar

#KashmiriPandits  https://t.co/yWP2MtoKN2",Pro Ruling,pro ruling,kashmiri pandits,"[{'text': 'hindus', 'score': 0.6494}, {'text': 'massacre', 'score': 0.5717}, {'text': 'forgotten', 'score': 0.3316}]"
7294843,"While speaking on Kashmiri Pandits, Rajdeep says also important to highlight trauma of Kashmiri Muslims who suffered in ""cycle of violence""

Cycle of violence?

Which Kashmiri Pandit was ever accused of violence against Muslims?

Shocking misrepresentation

Rajdeep MUST apologize",Pro Ruling,pro ruling,kashmiri pandits,"[{'text': 'trauma', 'score': 0.4748}, {'text': 'muslims', 'score': 0.3481}, {'text': 'misrepresentation', 'score': 0.1897}]"
7804046,Let’s demand a transfer policy for Kashmiri Pandits https://t.co/SEz40mXyqk,Pro OPP,pro opposition,kashmiri pandits,"[{'text': 'transfer', 'score': 0.5695}, {'text': 'pandits', 'score': 0.3248}, {'text': 'policy', 'score': 0.2847}]"
2240024,"Midnight, 30th January 1948, 
8000 Maharashtrian Brahmins were killed. Women raped, houses, offices set on fire after Gandhi was sh0£ dead by Nathuram Godse.

Bl00dy Ahimsawadi Party @INCIndia.

Eveyone talks about Sikh, Kashmiri Pandit's Genocide but no mention about this. Why?",Pro Ruling,pro ruling,kashmiri pandits,"[{'text': 'sikh', 'score': 0.5087}, {'text': 'killed', 'score': 0.428}, {'text': 'midnight', 'score': 0.2762}]"
2240439,"@_sayema This a common bullshit line peddled by Islamists.

Kashmiri Pandits were Kashmiri People, they also faced the same what Bihari vendors are facing.

If it's Kashmiri vs Non-Kashmiri thing... Why outsider Rohingyas are welcomed by open arms?",Pro Ruling,pro ruling,kashmiri pandits,"[{'text': 'islamists', 'score': 0.4057}, {'text': 'rohingyas', 'score': 0.3338}, {'text': 'welcomed', 'score': 0.1758}]"
