keyword,ruling_favor_pct,opp_favor_pct,ruling_count,opp_count,favor_diff,category
aatmanirbhar,86.60325648879575,21.875,6203,128,64.72825648879575,pro_ruling_favored
ayodhya,73.70929308975377,20.596458527493013,3777,1073,53.11283456226076,pro_ruling_favored
balochistan,50.14492753623189,11.11111111111111,690,18,39.033816425120776,pro_ruling_favored
bhakts,70.29972752043598,15.439739413680782,367,1535,54.859988106755196,pro_ruling_favored
caa,52.89664252797893,10.30230708035004,3038,2514,42.59433544762889,pro_ruling_favored
china,12.601230968577907,5.855986119144014,9261,6916,6.745244849433893,pro_ruling_favored
congress,9.458740017746228,39.7577560560986,22540,37648,-30.29901603835237,pro_opposition_favored
democracy,54.668335419274094,39.10775566231984,3995,7285,15.560579756954255,pro_ruling_favored
demonetisation,69.56521739130434,8.228730822873082,138,717,61.33648656843126,pro_ruling_favored
dictatorship,1.2903225806451613,0.7905138339920948,155,506,0.4998087466530664,neutral
farm laws,65.24105754276827,10.223855663214167,1286,2993,55.01720187955411,pro_ruling_favored
farmers protests,16.76829268292683,73.72384937238495,328,1195,-56.95555668945812,pro_opposition_favored
gdp,51.86084142394822,10.57204923968139,1236,1381,41.28879218426683,pro_ruling_favored
hathras,17.506874427131073,10.797132011809364,1091,2371,6.70974241532171,pro_ruling_favored
hindu,75.67488477577,31.759999999999998,41007,12500,43.91488477577,pro_ruling_favored
hindutva,71.02382485511912,11.502984264785676,1553,1843,59.52084059033344,pro_ruling_favored
inflation,29.573590096286107,7.254788160185723,727,1723,22.318801936100385,pro_ruling_favored
islamists,2.7242524916943522,0.0,1505,19,2.7242524916943522,neutral
kashmir,59.81870867077792,39.331570996978854,13459,5296,20.48713767379907,pro_ruling_favored
kashmiri pandits,87.91946308724832,58.00316957210776,894,631,29.91629351514056,pro_ruling_favored
lynching,4.406779661016949,4.133858267716536,885,508,0.2729213933004129,neutral
mahotsav,74.29588362735996,41.66666666666667,6462,168,32.629216960693284,pro_ruling_favored
minorities,55.32994923857868,69.23913043478261,985,920,-13.909181196203932,pro_opposition_favored
modi,75.48206971172424,12.73593965532294,103512,57271,62.7461300564013,pro_ruling_favored
msp,39.564472718375335,18.25990579107786,4087,3609,21.304566927297476,pro_ruling_favored
muslim,23.340851616430864,70.70538157494678,14631,13156,-47.36452995851592,pro_opposition_favored
new parliament,72.45508982035929,8.16831683168317,835,404,64.28677298867612,pro_ruling_favored
rahulgandhi,23.06805074971165,71.58256337360815,9537,25326,-48.51451262389651,pro_opposition_favored
ram mandir,88.20786142571619,22.89855072463768,1501,345,65.30931070107852,pro_ruling_favored
sangh,55.62189054726369,5.717220130092434,2010,2921,49.90467041717125,pro_ruling_favored
shaheen bagh,13.900589721988204,59.68882602545968,1187,707,-45.78823630347148,pro_opposition_favored
sharia,5.409153952843273,7.142857142857142,721,42,-1.7337031900138697,neutral
spyware,10.256410256410255,1.0940919037199124,39,457,9.162318352690344,pro_ruling_favored
suicides,4.672897196261682,9.688581314878892,107,289,-5.01568411861721,pro_opposition_favored
ucc,34.208840486867395,11.088709677419354,7805,3472,23.120130809448042,pro_ruling_favored
unemployment,29.468599033816425,9.177755032412147,414,2931,20.290844001404277,pro_ruling_favored
