keyword,tweet,_label_norm,original_author,language
modi,"PM Modi tops list of most popular world leaders with 75 pc rating: Survey

Read @ANI Story | https://t.co/y4WfH36Iih
#popularLeaders #NarendraModi #75PCRating #Worldleader https://t.co/4rmhi0O4zb",pro ruling,ani_digital,english
modi,Had genuinely thought my dear Sanjay Jha wanted real change in the Congress till he started batting for double yuvraj RJD-Cong-MGB alliance &amp; wanted Tejashwi as CM because in his opinion a non-dynastic @narendramodi did a bad job! His next revolt May not have many takers now :( https://t.co/j8Ccre3jES,pro ruling,Shehzad_Ind,english
modi,Data Shows Coronavirus Is Becoming Less Deadly: This Is Final Evidence We Need To Declare Modi‘s Lockdown Strategy A Success https://t.co/tOXnP7dEfk,pro ruling,TVMohandasPai,english
modi,"@ANI Announced lots of freebie &amp; now asking money from central govt. 
AAP govt won't do anything &amp; will put all the blames on Modi ji... 

Typical Kejriwal style politics...",pro ruling,MrSinha_,english
modi,"⚡️Modi Govt starts process of eviction &amp; sale of enemy properties (immovable assets) left behind by people who have taken citizenship of Pakistan &amp; China

There are a total of 12,611 establishments called enemy property, roughly estimated to be worth over Rs 1 lakh crore",pro ruling,MeghUpdates,english
modi,"PM @narendramodi greets &amp; congratulates #DroupadiMurmu on being elected as the new President of India. 

#PresidentialElections2022 https://t.co/HvUVsf0qhy",pro ruling,DDNewslive,english
modi,"Meetings of Registration Committee held through VC during lockdown period and 4544 Certificate of Registration (CR) issued. To promote Make in India, 4047 CR issued to indigenous manufacture and 454 CR issued for Exports.
#AatmaNirbharKrishi 
@PMOIndia @narendramodi",pro ruling,AgriGoI,english
modi,"Watch | PM @narendramodi reaches official residence of French President @EmmanuelMacron in Paris

#PMEuropeVisit 
#PMModiinFrance https://t.co/oAiBevIpf2",pro ruling,DDNewslive,english
modi,"How dare any judge interfere with Mo-Sha implementing the GujModel in Delhi ? 
#LoyalOrLoya 

#AmitShahIstifaDo 
#ShahMustResign 
#ResignModi https://t.co/Id9hxkyDm5",pro opposition,geetv79,english
modi,Tejaswi Surya I Govt asks Twitter to remove tweet by BJP MP Tejasvi Surya linking terrorists and Islam | India News imagine the global embarrassment genius @TejaswiSurya is that the Modi govt asks for his tweet to be deleted https://t.co/YNN1WALCy2,pro opposition,bainjal,english
modi,"All the fuss created over 1 ventilator with “photoshopped sticker” tells you the level of venomous lies BJP is ready to spew, to keep the cloak of unaccountability on #PMCaresFund.

#OneNationOneVentilator
#ModiBetrayedIndia 
#ModiHaiTohMumkinHai 
#bjpfailedindia https://t.co/36HrJS2uri",pro opposition,DeekshaNRaut,english
modi,"The burning train on February 27, 2002 – and the lies and false narratives built around it – kept Narendra Modi in power in Gujarat, and started him on the road to becoming the prime minister of India. https://t.co/0FvMgaZRcy",pro opposition,thewire_in,english
modi,"Before the much-awaited cabinet expansion of the #Modigovt, an important meeting is going on at PM's residence for which #BJP National President #JPNadda has arrived https://t.co/o8be0pfe1i",pro opposition,NH_India,english
modi,"Ok. 
1. We became republic 26thJanuary 1950, and Sardar Patel died in Dec 1950. So, your logic is foolishness. 
You and Modi both idiots to the core. 

2. If he were alive for few more years he would have eradicated RSS from roots. Don't forget he banned RSS for terrorism. https://t.co/ytZdVIhIrb",pro opposition,BhavikaKapoor5,english
modi,"On the 1st anniversary of the abrogation of Article 370, Kashmir is under curfew.

Neither Modi nor Shah have had the guts to visit Kashmir &amp; answer the people in this entire past year.

The atrocities inflicted upon Kashmiris are a textbook definition of crimes against humanity.",pro opposition,SaketGokhale,english
modi,"@sjp_ntl @rahulkanwal @narendramodi Particularly I’m sure, Mr. “OMG we’re down One”, when the narcissist-in-chief makes it all about YET ANOTHER photo op. The @PMOIndia with no substance, just all about self 🙄",pro opposition,nandtara,english
hindu,Bangladesh: Muslim High School Headmaster Marries Minor Hindu Student as His Fourth Wife https://t.co/0DQP8WFJH9 https://t.co/Brr8AzIpz6,pro ruling,jihadwatchRS,english
