keyword,samples,accuracy,f1_macro
Aatmanirbhar Bharat,21,0.8571428571428571,0.8440476190476192
Ayodhya,20,0.7,0.6866096866096866
Balochistan,10,0.5,0.2380952380952381
Bhakts,20,0.95,0.6521739130434783
Democracy,20,0.9,0.6057142857142858
Demonitisation,20,0.9,0.6167557932263814
Dictatorship,19,0.7894736842105263,0.425
GDP,20,0.8,0.7218782249742001
Hathras,20,0.65,0.4102564102564103
Inflation,20,0.75,0.6616541353383458
Islamists,20,0.95,0.3247863247863248
Lynching,20,0.55,0.35555555555555557
MSP,20,0.3,0.310754604872252
Mahotsav,20,0.7,0.6868686868686869
Minorities,20,0.5,0.45543345543345537
Sangh,20,0.7,0.5850931677018633
Sharia,20,0.7,0.4338624338624338
Spyware,20,0.7,0.6227743271221532
Suicides,20,0.9,0.8013888888888889
Unemployment,20,0.7,0.571604938271605
